outer_target,method,policy,mask_replicate,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,expert:prior_separated,drop_advanced,0,303.0,0.45874587458745875,0.7165730829970169,0.6514278467549284,0.6313270665152485,0.6370938833714934,0.21976064518388458,0.22256137756240646,0.6864686468646864,0.6769170029829794,0.6215139442231076,0.6964285714285714,0.5611510791366906,0.5179856115107914,0.14011086968599282,1.934792257326637,0.2647568474807992
cleveland,expert:prior_separated,drop_exercise,0,303.0,0.45874587458745875,0.7754430601859976,0.775430953417426,0.5956085818607868,0.5927610588273866,0.2032923237496779,0.20200595799055526,0.6996699669966997,0.7006273030356203,0.6851211072664359,0.66,0.7122302158273381,0.6402877697841727,-0.3312093385218075,1.9222316831898834,0.18614654225458838
cleveland,expert:prior_separated,drop_routine,0,303.0,0.45874587458745875,0.778075100894894,0.7115422357996382,0.607855900370409,0.6097882993501649,0.2080058036080496,0.2089886352461289,0.7656765676567657,0.7599578873486577,0.7300380228136882,0.7741935483870968,0.6906474820143885,0.697841726618705,-0.0032128102918678094,2.4932505010333013,0.23648916468983716
cleveland,expert:prior_separated,empirical_source,0,303.0,0.45874587458745875,0.7201263379540269,0.688883987863016,0.6259628895363605,0.6291303267487381,0.2171997909274794,0.21875629789932177,0.6864686468646864,0.6807553956834532,0.6415094339622641,0.6746031746031746,0.6115107913669064,0.539568345323741,-0.007428849736799791,1.8264708668163276,0.25474829540489263
cleveland,expert:prior_separated,mar_age_sex_30,0,303.0,0.45874587458745875,0.7494735918582207,0.7132463097462941,0.6105608285966465,0.6118263620018113,0.2100259225860661,0.21069030191125354,0.7161716171617162,0.7103877873311107,0.6742424242424242,0.712,0.6402877697841727,0.5611510791366906,-0.09158926583558026,1.8501829961446612,0.2237382157134155
cleveland,expert:prior_separated,mcar_10,0,303.0,0.45874587458745875,0.7506580101772241,0.7188544570149986,0.6083748871707328,0.6121169106287676,0.20870843790286858,0.21056002769281773,0.7293729372937293,0.7220345674679769,0.6821705426356589,0.7394957983193278,0.6330935251798561,0.6402877697841727,0.052691412421606014,2.012178208092282,0.2305098549212142
cleveland,expert:prior_separated,mcar_30,0,303.0,0.45874587458745875,0.686523951570451,0.6300072550253712,0.6420578055450896,0.6455421486313333,0.22498591379951047,0.22671932915847068,0.6501650165016502,0.6422837339884191,0.5891472868217055,0.6386554621848739,0.5467625899280576,0.4172661870503597,-0.04710022626272912,1.2602356722504438,0.3033689576003737
cleveland,expert:prior_separated,mcar_50,0,303.0,0.45874587458745875,0.7027110019301631,0.6466881541272667,0.6364788680466702,0.6370341734619085,0.22239122937692546,0.22274579952896167,0.6633663366336634,0.6599622740831725,0.6277372262773723,0.6370370370370371,0.6187050359712231,0.460431654676259,-0.13905858408682376,1.287749706176176,0.2819109016915563
cleveland,expert:prior_separated,natural,0,303.0,0.45874587458745875,0.7679856115107914,0.7318587187379341,0.6005293906106974,0.604608463060467,0.20485508092482585,0.20684832324616878,0.7392739273927392,0.7306325671170381,0.6877470355731226,0.7631578947368421,0.6258992805755396,0.6330935251798561,0.09518355136535499,2.210207610939322,0.21457326903835505
cleveland,expert:stable_anchor,drop_advanced,0,303.0,0.45874587458745875,0.8556325671170381,0.8538396562712015,0.4764680149100317,0.48732597145062595,0.1529875518412687,0.156518637817525,0.7755775577557755,0.7718459378838393,0.7481481481481481,0.7709923664122137,0.7266187050359713,0.7338129496402878,0.176293744267381,0.9073316275666642,0.12118950867815145
