accuracy,precision,recall,f1,auc,fold,train_time,test_time
0.8586956521739131,0.8490566037735849,0.9,0.8737864077669902,0.8976190476190475,1,0.09511041641235352,0.0013904571533203125
0.8478260869565217,0.8363636363636363,0.9019607843137255,0.8679245283018868,0.9148732663797225,2,0.11797142028808594,0.0017130374908447266
0.8152173913043478,0.8148148148148148,0.8627450980392157,0.8380952380952381,0.8742228598756575,3,0.1082468032836914,0.0015690326690673828
0.8478260869565217,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8981348637015782,4,0.09657478332519531,0.0015416145324707031
0.7934782608695652,0.8076923076923077,0.8235294117647058,0.8155339805825242,0.8546150167384027,5,0.10167455673217773,0.0015990734100341797
0.8478260869565217,0.8363636363636363,0.9019607843137255,0.8679245283018868,0.9000478240076519,6,0.10790562629699707,0.001947164535522461
0.7717391304347826,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.8565279770444764,7,0.08353996276855469,0.0014524459838867188
0.7717391304347826,0.7884615384615384,0.803921568627451,0.7961165048543689,0.8488761358201817,8,0.07239365577697754,0.0016276836395263672
0.8043478260869565,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.8436154949784791,9,0.0818643569946289,0.0012726783752441406
0.8695652173913043,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.9363940698230512,10,0.07435131072998047,0.0015902519226074219
