accuracy,precision,recall,f1,auc,repeat,fold,train_time,test_time
0.8478260869565217,0.8333333333333334,0.9,0.8653846153846154,0.9119047619047619,1,1,0.0076444149017333984,0.0017733573913574219
0.8804347826086957,0.8571428571428571,0.9411764705882353,0.897196261682243,0.9435676709708274,1,2,0.006703376770019531,0.0016951560974121094
0.8152173913043478,0.84,0.8235294117647058,0.8316831683168316,0.8833094213295074,1,3,0.006844997406005859,0.00199127197265625
0.8043478260869565,0.8666666666666667,0.7647058823529411,0.8125,0.9244380679100909,1,4,0.00565648078918457,0.0010633468627929688
0.8043478260869565,0.8113207547169812,0.8431372549019608,0.8269230769230769,0.8895265423242468,1,5,0.004660844802856445,0.0010662078857421875
0.8478260869565217,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.9038737446197992,1,6,0.0042035579681396484,0.0009813308715820312
0.7391304347826086,0.7755102040816326,0.7450980392156863,0.76,0.8498326159732186,1,7,0.003925323486328125,0.0009481906890869141
0.782608695652174,0.8163265306122449,0.7843137254901961,0.8,0.8541367766618841,1,8,0.004067659378051758,0.0008966922760009766
0.8043478260869565,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.8574844571975131,1,9,0.003761768341064453,0.0009045600891113281
0.8695652173913043,0.8679245283018868,0.9019607843137255,0.8846153846153846,0.9359158297465326,1,10,0.004282474517822266,0.0009710788726806641
0.8260869565217391,0.8863636363636364,0.78,0.8297872340425532,0.9147619047619048,2,1,0.004338979721069336,0.0009260177612304688
0.8804347826086957,0.9,0.8823529411764706,0.8910891089108911,0.9344811095169775,2,2,0.003412961959838867,0.0008487701416015625
0.7934782608695652,0.8076923076923077,0.8235294117647058,0.8155339805825242,0.8842659014825441,2,3,0.0034127235412597656,0.0008320808410644531
0.7934782608695652,0.82,0.803921568627451,0.8118811881188119,0.8531802965088474,2,4,0.003482341766357422,0.0007898807525634766
0.8804347826086957,0.9,0.8823529411764706,0.8910891089108911,0.9215686274509804,2,5,0.0033807754516601562,0.0007498264312744141
0.8369565217391305,0.8461538461538461,0.8627450980392157,0.8543689320388349,0.9029172644667622,2,6,0.004034757614135742,0.0007717609405517578
0.7934782608695652,0.7758620689655172,0.8823529411764706,0.8256880733944955,0.8565279770444763,2,7,0.003194093704223633,0.0007369518280029297
0.8152173913043478,0.7931034482758621,0.9019607843137255,0.8440366972477065,0.850310856049737,2,8,0.0032973289489746094,0.0007336139678955078
0.7717391304347826,0.7678571428571429,0.8431372549019608,0.8037383177570093,0.87948350071736,2,9,0.002892017364501953,0.0007002353668212891
0.8804347826086957,0.8571428571428571,0.9411764705882353,0.897196261682243,0.9497847919655666,2,10,0.002912759780883789,0.0007491111755371094
0.8260869565217391,0.8148148148148148,0.88,0.8461538461538461,0.8938095238095238,3,1,0.003369569778442383,0.0007038116455078125
0.7934782608695652,0.82,0.803921568627451,0.8118811881188119,0.8900047824007652,3,2,0.003061532974243164,0.0007262229919433594
0.8260869565217391,0.8301886792452831,0.8627450980392157,0.8461538461538461,0.8866571018651362,3,3,0.002997159957885742,0.0006911754608154297
0.8695652173913043,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.9316116690578671,3,4,0.0028603076934814453,0.0006940364837646484
0.7717391304347826,0.8125,0.7647058823529411,0.7878787878787878,0.8584409373505499,3,5,0.0028645992279052734,0.0007205009460449219
0.8369565217391305,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9201339072214252,3,6,0.0028922557830810547,0.0006582736968994141
0.717391304347826,0.7272727272727273,0.7843137254901961,0.7547169811320755,0.836441893830703,3,7,0.002665281295776367,0.0007369518280029297
0.8804347826086957,0.8846153846153846,0.9019607843137255,0.8932038834951457,0.9263510282161646,3,8,0.003875255584716797,0.0006256103515625
0.8369565217391305,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9081779053084648,3,9,0.0027272701263427734,0.0006368160247802734
0.8152173913043478,0.8695652173913043,0.7843137254901961,0.8247422680412371,0.8952654232424677,3,10,0.0029306411743164062,0.0006475448608398438
0.8260869565217391,0.8541666666666666,0.82,0.8367346938775511,0.9228571428571428,4,1,0.0028638839721679688,0.0006864070892333984
0.7934782608695652,0.7857142857142857,0.8627450980392157,0.822429906542056,0.8737446197991392,4,2,0.003632783889770508,0.0006477832794189453
0.8043478260869565,0.8113207547169812,0.8431372549019608,0.8269230769230769,0.912960306073649,4,3,0.002733945846557617,0.0006403923034667969
0.8369565217391305,0.875,0.8235294117647058,0.8484848484848485,0.9230033476805357,4,4,0.0034155845642089844,0.0006911754608154297
