accuracy,precision,recall,f1,auc,fold,train_time,test_time
0.8586956521739131,0.8490566037735849,0.9,0.8737864077669902,0.899047619047619,1,0.28960609436035156,0.006284236907958984
0.8260869565217391,0.8070175438596491,0.9019607843137255,0.8518518518518519,0.9158297465327594,2,0.10091900825500488,0.005429983139038086
0.8369565217391305,0.86,0.8431372549019608,0.8514851485148515,0.8737446197991392,3,0.10176706314086914,0.004730224609375
0.8478260869565217,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.9053084648493545,4,0.10288882255554199,0.004804134368896484
0.7717391304347826,0.7884615384615384,0.803921568627451,0.7961165048543689,0.836441893830703,5,0.10371184349060059,0.004584550857543945
0.8369565217391305,0.8214285714285714,0.9019607843137255,0.8598130841121495,0.8962219033955044,6,0.1032102108001709,0.00470733642578125
0.782608695652174,0.8297872340425532,0.7647058823529411,0.7959183673469388,0.8560497369679579,7,0.10826826095581055,0.003480195999145508
0.7934782608695652,0.8076923076923077,0.8235294117647058,0.8155339805825242,0.8488761358201817,8,0.1036217212677002,0.005023002624511719
0.8043478260869565,0.8,0.8627450980392157,0.8301886792452831,0.8354854136776662,9,0.10292530059814453,0.003484010696411133
0.8804347826086957,0.8703703703703703,0.9215686274509803,0.8952380952380953,0.9435676709708274,10,0.10074257850646973,0.004884958267211914
