accuracy,precision,recall,f1,auc,repeat,fold,train_time,test_time
0.8586956521739131,0.8490566037735849,0.9,0.8737864077669902,0.8976190476190475,1,1,0.08808350563049316,0.001493215560913086
0.8478260869565217,0.8363636363636363,0.9019607843137255,0.8679245283018868,0.9148732663797225,1,2,0.14900898933410645,0.0018095970153808594
0.8152173913043478,0.8148148148148148,0.8627450980392157,0.8380952380952381,0.8742228598756575,1,3,0.0876302719116211,0.0020127296447753906
0.8478260869565217,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8981348637015782,1,4,0.08457326889038086,0.0018012523651123047
0.7934782608695652,0.8076923076923077,0.8235294117647058,0.8155339805825242,0.8546150167384027,1,5,0.08322763442993164,0.0017719268798828125
0.8478260869565217,0.8363636363636363,0.9019607843137255,0.8679245283018868,0.9000478240076519,1,6,0.1550884246826172,0.0018491744995117188
0.7717391304347826,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.8565279770444764,1,7,0.08289766311645508,0.001811981201171875
0.7717391304347826,0.7884615384615384,0.803921568627451,0.7961165048543689,0.8488761358201817,1,8,0.08223628997802734,0.0019943714141845703
0.8043478260869565,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.8436154949784791,1,9,0.09854602813720703,0.0018277168273925781
0.8695652173913043,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.9363940698230512,1,10,0.16146230697631836,0.0017852783203125
0.8260869565217391,0.8863636363636364,0.78,0.8297872340425532,0.9171428571428571,2,1,0.08422732353210449,0.0018014907836914062
0.8586956521739131,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9445241511238642,2,2,0.0854182243347168,0.0013988018035888672
0.8152173913043478,0.8269230769230769,0.8431372549019608,0.8349514563106796,0.850310856049737,2,3,0.08963155746459961,0.002051115036010742
0.8152173913043478,0.8269230769230769,0.8431372549019608,0.8349514563106796,0.8761358201817313,2,4,0.17084097862243652,0.0017998218536376953
0.8586956521739131,0.8518518518518519,0.9019607843137255,0.8761904761904762,0.9349593495934959,2,5,0.0803987979888916,0.0023772716522216797
0.8260869565217391,0.8431372549019608,0.8431372549019608,0.8431372549019608,0.8790052606408417,2,6,0.08994436264038086,0.0014774799346923828
0.7717391304347826,0.7777777777777778,0.8235294117647058,0.8,0.8340506934481109,2,7,0.08091545104980469,0.0014009475708007812
0.8260869565217391,0.8181818181818182,0.8823529411764706,0.8490566037735849,0.8220946915351506,2,8,0.0902550220489502,0.0018994808197021484
0.7934782608695652,0.7758620689655172,0.8823529411764706,0.8256880733944955,0.8694404591104734,2,9,0.08704471588134766,0.0014233589172363281
0.8478260869565217,0.8490566037735849,0.8823529411764706,0.8653846153846154,0.921090387374462,2,10,0.09648633003234863,0.0018002986907958984
0.8152173913043478,0.7619047619047619,0.96,0.8495575221238938,0.8661904761904762,3,1,0.08409881591796875,0.0017664432525634766
0.8369565217391305,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.8861788617886179,3,2,0.09509897232055664,0.001775503158569336
0.7934782608695652,0.7857142857142857,0.8627450980392157,0.822429906542056,0.8574844571975131,3,3,0.08752679824829102,0.0017676353454589844
0.8152173913043478,0.8035714285714286,0.8823529411764706,0.8411214953271028,0.9143950263032041,3,4,0.08483695983886719,0.0019030570983886719
0.7717391304347826,0.8260869565217391,0.7450980392156863,0.7835051546391752,0.8326159732185556,3,5,0.13282513618469238,0.010877132415771484
0.8369565217391305,0.8461538461538461,0.8627450980392157,0.8543689320388349,0.9005260640841702,3,6,0.19251060485839844,0.0022950172424316406
0.7717391304347826,0.7586206896551724,0.8627450980392157,0.8073394495412844,0.8393113342898135,3,7,0.08602666854858398,0.001857757568359375
0.8478260869565217,0.8490566037735849,0.8823529411764706,0.8653846153846154,0.9186991869918699,3,8,0.0819849967956543,0.0014138221740722656
0.8152173913043478,0.8269230769230769,0.8431372549019608,0.8349514563106796,0.8981348637015781,3,9,0.09179806709289551,0.0018033981323242188
0.8369565217391305,0.86,0.8431372549019608,0.8514851485148515,0.8732663797226208,3,10,0.14900469779968262,0.0014829635620117188
0.8369565217391305,0.8723404255319149,0.82,0.845360824742268,0.8842857142857143,4,1,0.08710765838623047,0.0014166831970214844
0.8152173913043478,0.8269230769230769,0.8431372549019608,0.8349514563106796,0.8742228598756575,4,2,0.08817219734191895,0.0018389225006103516
0.8260869565217391,0.8431372549019608,0.8431372549019608,0.8431372549019608,0.9038737446197991,4,3,0.08723044395446777,0.0015184879302978516
0.8586956521739131,0.8653846153846154,0.8823529411764706,0.8737864077669902,0.9076996652319465,4,4,0.16141366958618164,0.0020508766174316406
0.782608695652174,0.7719298245614035,0.8627450980392157,0.8148148148148148,0.8546150167384027,4,5,0.08332490921020508,0.001758575439453125
0.8369565217391305,0.86,0.8431372549019608,0.8514851485148515,0.896700143472023,4,6,0.08047723770141602,0.0013625621795654297
0.8369565217391305,0.8214285714285714,0.9019607843137255,0.8598130841121495,0.8718316594930655,4,7,0.08734703063964844,0.0017290115356445312
0.7934782608695652,0.7857142857142857,0.8627450980392157,0.822429906542056,0.9110473457675754,4,8,0.17647981643676758,0.002132415771484375
0.8043478260869565,0.8113207547169812,0.8431372549019608,0.8269230769230769,0.8995695839311334,4,9,0.08247566223144531,0.0017142295837402344
0.8369565217391305,0.8461538461538461,0.8627450980392157,0.8543689320388349,0.8531802965088474,4,10,0.08572506904602051,0.0014252662658691406
0.8369565217391305,0.8571428571428571,0.84,0.8484848484848485,0.9214285714285714,5,1,0.08605694770812988,0.0017981529235839844
0.7934782608695652,0.82,0.803921568627451,0.8118811881188119,0.8464849354375896,5,2,0.09195947647094727,0.0018770694732666016
0.8369565217391305,0.875,0.8235294117647058,0.8484848484848485,0.896700143472023,5,3,0.08471989631652832,0.0027840137481689453
0.8152173913043478,0.8148148148148148,0.8627450980392157,0.8380952380952381,0.8541367766618843,5,4,0.08044266700744629,0.0017995834350585938
0.8369565217391305,0.875,0.8235294117647058,0.8484848484848485,0.9100908656145386,5,5,0.07947278022766113,0.0016345977783203125
0.8152173913043478,0.7931034482758621,0.9019607843137255,0.8440366972477065,0.8350071736011477,5,6,0.11872529983520508,0.0014803409576416016
0.8695652173913043,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9081779053084649,5,7,0.11273002624511719,0.0015184879302978516
0.8804347826086957,0.9,0.8823529411764706,0.8910891089108911,0.9163079866092779,5,8,0.0870058536529541,0.002027273178100586
0.8369565217391305,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.8995695839311334,5,9,0.08701205253601074,0.0021615028381347656
0.8260869565217391,0.8301886792452831,0.8627450980392157,0.8461538461538461,0.8904830224772836,5,10,0.08887434005737305,0.0017490386962890625
0.8586956521739131,0.8775510204081632,0.86,0.8686868686868687,0.9238095238095239,6,1,0.1498720645904541,0.0018284320831298828
0.75,0.7916666666666666,0.7450980392156863,0.7676767676767676,0.8211382113821137,6,2,0.08508896827697754,0.0017092227935791016
0.8478260869565217,0.8490566037735849,0.8823529411764706,0.8653846153846154,0.9253945480631277,6,3,0.0875086784362793,0.001848459243774414
0.8043478260869565,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8412242945958871,6,4,0.09330248832702637,0.0017304420471191406
0.8152173913043478,0.8148148148148148,0.8627450980392157,0.8380952380952381,0.9311334289813487,6,5,0.16503119468688965,0.0014483928680419922
0.7934782608695652,0.7758620689655172,0.8823529411764706,0.8256880733944955,0.8727881396461024,6,6,0.08884358406066895,0.0018012523651123047
0.8260869565217391,0.8431372549019608,0.8431372549019608,0.8431372549019608,0.8464849354375896,6,7,0.08677029609680176,0.0017058849334716797
0.8152173913043478,0.8541666666666666,0.803921568627451,0.8282828282828283,0.8766140602582497,6,8,0.11083436012268066,0.001773834228515625
0.8478260869565217,0.9111111111111111,0.803921568627451,0.8541666666666666,0.9000478240076518,6,9,0.15218782424926758,0.002066373825073242
0.8695652173913043,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.912960306073649,6,10,0.08134126663208008,0.0014040470123291016
0.782608695652174,0.7884615384615384,0.82,0.803921568627451,0.8580952380952381,7,1,0.07889652252197266,0.0023658275604248047
0.8478260869565217,0.8363636363636363,0.9019607843137255,0.8679245283018868,0.8861788617886179,7,2,0.11757969856262207,0.0017499923706054688
0.8152173913043478,0.8863636363636364,0.7647058823529411,0.8210526315789474,0.895743663318986,7,3,0.15637564659118652,0.0017707347869873047
0.8586956521739131,0.8275862068965517,0.9411764705882353,0.8807339449541285,0.8680057388809183,7,4,0.0857229232788086,0.0017294883728027344
0.8369565217391305,0.8214285714285714,0.9019607843137255,0.8598130841121495,0.8895265423242468,7,5,0.0857553482055664,0.001417398452758789
0.8586956521739131,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9019607843137255,7,6,0.08294677734375,0.001749277114868164
0.8260869565217391,0.8431372549019608,0.8431372549019608,0.8431372549019608,0.8593974175035868,7,7,0.15769243240356445,0.0014128684997558594
0.75,0.7916666666666666,0.7450980392156863,0.7676767676767676,0.8127690100430416,7,8,0.08517575263977051,0.0017960071563720703
0.8043478260869565,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9210903873744619,7,9,0.07853293418884277,0.0018146038055419922
0.8260869565217391,0.8181818181818182,0.8823529411764706,0.8490566037735849,0.9120038259206122,7,10,0.08499860763549805,0.0017933845520019531
0.7934782608695652,0.7924528301886793,0.84,0.8155339805825242,0.858095238095238,8,1,0.14186811447143555,0.0031425952911376953
0.8804347826086957,0.9347826086956522,0.8431372549019608,0.8865979381443299,0.9220468675274989,8,2,0.08899092674255371,0.0017654895782470703
0.8586956521739131,0.88,0.8627450980392157,0.8712871287128713,0.9134385461501674,8,3,0.08697986602783203,0.0015163421630859375
0.8260869565217391,0.8301886792452831,0.8627450980392157,0.8461538461538461,0.8785270205643233,8,4,0.11056900024414062,0.0020682811737060547
0.7934782608695652,0.7666666666666667,0.9019607843137255,0.8288288288288288,0.8350071736011478,8,5,0.17242813110351562,0.0017807483673095703
0.8478260869565217,0.8490566037735849,0.8823529411764706,0.8653846153846154,0.8847441415590627,8,6,0.08474874496459961,0.001898050308227539
0.8152173913043478,0.84,0.8235294117647058,0.8316831683168316,0.8713534194165471,8,7,0.08327388763427734,0.0015192031860351562
0.7934782608695652,0.7857142857142857,0.8627450980392157,0.822429906542056,0.8928742228598756,8,8,0.0830848217010498,0.0019998550415039062
0.8260869565217391,0.8431372549019608,0.8431372549019608,0.8431372549019608,0.895743663318986,8,9,0.14622974395751953,0.0029191970825195312
0.8586956521739131,0.88,0.8627450980392157,0.8712871287128713,0.8761358201817312,8,10,0.08908414840698242,0.002223491668701172
0.7717391304347826,0.7543859649122807,0.86,0.8037383177570093,0.8952380952380953,9,1,0.1014719009399414,0.0014221668243408203
0.7934782608695652,0.82,0.803921568627451,0.8118811881188119,0.8885700621712099,9,2,0.0829768180847168,0.00176239013671875
0.8478260869565217,0.8363636363636363,0.9019607843137255,0.8679245283018868,0.9143950263032044,9,3,0.17527103424072266,0.001781463623046875
0.75,0.7333333333333333,0.8627450980392157,0.7927927927927928,0.8287900526064084,9,4,0.08551836013793945,0.001760721206665039
0.8152173913043478,0.8148148148148148,0.8627450980392157,0.8380952380952381,0.8579626972740315,9,5,0.07493782043457031,0.0017468929290771484
0.8695652173913043,0.8979591836734694,0.8627450980392157,0.88,0.924438067910091,9,6,0.08469462394714355,0.0018990039825439453
0.782608695652174,0.803921568627451,0.803921568627451,0.803921568627451,0.8780487804878049,9,7,0.08315873146057129,0.0017724037170410156
0.8152173913043478,0.8269230769230769,0.8431372549019608,0.8349514563106796,0.8880918220946915,9,8,0.1550891399383545,0.0017921924591064453
0.782608695652174,0.803921568627451,0.803921568627451,0.803921568627451,0.8350071736011477,9,9,0.09070944786071777,0.0020294189453125
0.8695652173913043,0.8979591836734694,0.8627450980392157,0.88,0.9239598278335724,9,10,0.08220553398132324,0.0019278526306152344
0.8260869565217391,0.7741935483870968,0.96,0.8571428571428571,0.8995238095238096,10,1,0.09061408042907715,0.0018253326416015625
0.7934782608695652,0.7962962962962963,0.8431372549019608,0.819047619047619,0.8292682926829268,10,2,0.15799760818481445,0.0018563270568847656
0.7934782608695652,0.8478260869565217,0.7647058823529411,0.8041237113402062,0.882831181252989,10,3,0.09654784202575684,0.0018007755279541016
0.7717391304347826,0.8,0.7843137254901961,0.7920792079207921,0.8637015781922526,10,4,0.08202075958251953,0.0014426708221435547
0.8695652173913043,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.9516977522716403,10,5,0.09068083763122559,0.001743316650390625
0.8695652173913043,0.8679245283018868,0.9019607843137255,0.8846153846153846,0.9416547106647537,10,6,0.16247177124023438,0.0019731521606445312
0.782608695652174,0.8163265306122449,0.7843137254901961,0.8,0.8541367766618843,10,7,0.08820199966430664,0.0018677711486816406
0.7391304347826086,0.7547169811320755,0.7843137254901961,0.7692307692307693,0.8225729316116691,10,8,0.08648443222045898,0.0017771720886230469
0.7934782608695652,0.82,0.803921568627451,0.8118811881188119,0.8761358201817312,10,9,0.08739542961120605,0.0017545223236083984
0.8043478260869565,0.8,0.8627450980392157,0.8301886792452831,0.8483978957436633,10,10,0.15642237663269043,0.0017857551574707031
