accuracy,precision,recall,f1,auc,fold,train_time,test_time
0.8478260869565217,0.8333333333333334,0.9,0.8653846153846154,0.9119047619047619,1,0.019626617431640625,0.0012562274932861328
0.8804347826086957,0.8571428571428571,0.9411764705882353,0.897196261682243,0.9435676709708274,2,0.0046176910400390625,0.0010418891906738281
0.8152173913043478,0.84,0.8235294117647058,0.8316831683168316,0.8833094213295074,3,0.00580596923828125,0.0015747547149658203
0.8043478260869565,0.8666666666666667,0.7647058823529411,0.8125,0.9244380679100909,4,0.005697011947631836,0.0014595985412597656
0.8043478260869565,0.8113207547169812,0.8431372549019608,0.8269230769230769,0.8895265423242468,5,0.0030252933502197266,0.000667572021484375
0.8478260869565217,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.9038737446197992,6,0.003251314163208008,0.0007884502410888672
0.7391304347826086,0.7755102040816326,0.7450980392156863,0.76,0.8498326159732186,7,0.0028231143951416016,0.0006396770477294922
0.782608695652174,0.8163265306122449,0.7843137254901961,0.8,0.8541367766618841,8,0.0027196407318115234,0.0008034706115722656
0.8043478260869565,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.8574844571975131,9,0.002548694610595703,0.0007419586181640625
0.8695652173913043,0.8679245283018868,0.9019607843137255,0.8846153846153846,0.9359158297465326,10,0.002671480178833008,0.0007510185241699219
