accuracy,precision,recall,f1,auc,fold,train_time,test_time
0.8369565217391305,0.8301886792452831,0.88,0.8543689320388349,0.909047619047619,1,0.42679381370544434,0.001050710678100586
0.8369565217391305,0.8103448275862069,0.9215686274509803,0.8623853211009175,0.9191774270683883,2,0.2587268352508545,0.000762939453125
0.8478260869565217,0.8490566037735849,0.8823529411764706,0.8653846153846154,0.8986131037780967,3,0.2685267925262451,0.0007107257843017578
0.8586956521739131,0.8653846153846154,0.8823529411764706,0.8737864077669902,0.9177427068388331,4,0.25040125846862793,0.0007741451263427734
0.8043478260869565,0.8113207547169812,0.8431372549019608,0.8269230769230769,0.8546150167384027,5,0.2550787925720215,0.0007524490356445312
0.8260869565217391,0.8181818181818182,0.8823529411764706,0.8490566037735849,0.9043519846963175,6,0.2755584716796875,0.0006778240203857422
0.782608695652174,0.8444444444444444,0.7450980392156863,0.7916666666666666,0.8541367766618843,7,0.24132418632507324,0.0008664131164550781
0.8043478260869565,0.8367346938775511,0.803921568627451,0.82,0.8684839789574367,8,0.23448824882507324,0.0006949901580810547
0.8260869565217391,0.8070175438596491,0.9019607843137255,0.8518518518518519,0.8417025346724055,9,0.26388120651245117,0.0007269382476806641
0.8586956521739131,0.8392857142857143,0.9215686274509803,0.8785046728971962,0.9526542324246772,10,0.25368571281433105,0.0007123947143554688
