accuracy,precision,recall,f1,auc,fold,train_time,test_time
0.7717391304347826,0.704225352112676,1.0,0.8264462809917356,0.9199999999999999,1,11.56564712524414,0.0
0.782608695652174,0.7627118644067796,0.8823529411764706,0.8181818181818182,0.8957436633189861,2,12.093115329742432,0.0
0.782608695652174,0.803921568627451,0.803921568627451,0.803921568627451,0.8699186991869918,3,17.868374347686768,0.0
0.8478260869565217,0.8245614035087719,0.9215686274509803,0.8703703703703703,0.9194165471066476,4,13.919504642486572,0.0
0.8260869565217391,0.8431372549019608,0.8431372549019608,0.8431372549019608,0.8904830224772835,5,20.66609811782837,0.0
0.8369565217391305,0.8214285714285714,0.9019607843137255,0.8598130841121495,0.9273075083692013,6,10.548266887664795,0.0
0.7608695652173914,0.7735849056603774,0.803921568627451,0.7884615384615384,0.8876135820181731,7,12.128783702850342,0.0
0.7717391304347826,0.7678571428571429,0.8431372549019608,0.8037383177570093,0.868962219033955,8,12.796802759170532,0.0
0.8369565217391305,0.8214285714285714,0.9019607843137255,0.8598130841121495,0.8546150167384027,9,15.169627904891968,0.0
0.8586956521739131,0.8518518518518519,0.9019607843137255,0.8761904761904762,0.9320899091343855,10,11.575725317001343,0.0
