stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,switzerland,,v5_site_mask_dro,v5,5062,3394025317,5.0,0.5681382417678833,0.5642252564430237,0.5720511674880981,0.18932443857192993
outer_final,switzerland,,v5_site_mask_dro,v5,5062,3394025317,10.0,0.5236510038375854,0.5143996477127075,0.5329024195671082,0.17031235992908478
outer_final,switzerland,,v5_site_mask_dro,v5,5063,2070107928,5.0,0.5840288400650024,0.5803108215332031,0.5877469182014465,0.19651582837104797
outer_final,switzerland,,v5_site_mask_dro,v5,5063,2070107928,10.0,0.5225722789764404,0.5135403871536255,0.5316041111946106,0.1702425628900528
outer_final,switzerland,,v5_site_mask_dro,v5,5064,2180316283,5.0,0.5459144711494446,0.5385531783103943,0.5532757639884949,0.17969796061515808
outer_final,switzerland,,v5_site_mask_dro,v5,5064,2180316283,10.0,0.5132616758346558,0.500695526599884,0.5258278250694275,0.16481800377368927
outer_final,switzerland,,v5_site_mask_dro,v5,5065,2904237055,5.0,0.569640576839447,0.5658562183380127,0.5734249353408813,0.19135457277297974
outer_final,switzerland,,v5_site_mask_dro,v5,5065,2904237055,10.0,0.5195662975311279,0.5101118683815002,0.5290207862854004,0.16824132204055786
outer_final,switzerland,,v5_site_mask_dro,v5,5066,3751190542,5.0,0.570422887802124,0.5641988515853882,0.5766469836235046,0.19033583998680115
outer_final,switzerland,,v5_site_mask_dro,v5,5066,3751190542,10.0,0.5214720964431763,0.5102769136428833,0.5326672792434692,0.1684681475162506
outer_final,switzerland,,v5_site_mask_dro,v5,5067,2924375472,5.0,0.563977837562561,0.5589955449104309,0.5689601302146912,0.18775202333927155
outer_final,switzerland,,v5_site_mask_dro,v5,5067,2924375472,10.0,0.5362957119941711,0.5248944163322449,0.5476970076560974,0.1745913177728653
outer_final,switzerland,,v5_site_mask_dro,v5,5068,1781566257,5.0,0.547447919845581,0.5387763977050781,0.556119441986084,0.179369255900383
outer_final,switzerland,,v5_site_mask_dro,v5,5068,1781566257,10.0,0.5246620178222656,0.5141963362693787,0.5351276397705078,0.16961981356143951
outer_final,switzerland,,v5_site_mask_dro,v5,5069,2471228688,5.0,0.5724768042564392,0.5694169402122498,0.5755366683006287,0.19226177036762238
outer_final,switzerland,,v5_site_mask_dro,v5,5069,2471228688,10.0,0.5369612574577332,0.5260893702507019,0.5478331446647644,0.1744375079870224
outer_final,switzerland,,v5_site_mask_dro,v5,5070,1527411396,5.0,0.5542775392532349,0.5479480028152466,0.5606070756912231,0.1833062320947647
outer_final,switzerland,,v5_site_mask_dro,v5,5070,1527411396,10.0,0.5160541534423828,0.5047004818916321,0.5274077653884888,0.16616308689117432
outer_final,switzerland,,v5_site_mask_dro,v5,5071,476175852,5.0,0.5703849792480469,0.5649423003196716,0.5758277177810669,0.19023068249225616
outer_final,switzerland,,v5_site_mask_dro,v5,5071,476175852,10.0,0.5305635929107666,0.5215667486190796,0.5395604372024536,0.17341874539852142
