outer_target,router_candidate,feature_mode,validation_site,router_seed,best_epoch,epoch,objective,validation_robust_risk,mean_group_risk,robust_group_risk,best_expert_robust_risk,robust_regret,natural_risk,natural_noninferiority_penalty,routing_entropy
cleveland,support_only,support_only,hungary,5062,47,1.0,0.6074634194374084,0.4858228862285614,0.5984192490577698,0.6159001588821411,0.6131166815757751,0.002783477306365967,0.5546826124191284,0.0,1.0880647897720337
cleveland,support_only,support_only,hungary,5062,47,10.0,0.6056519150733948,0.48420125246047974,0.597541332244873,0.6145269274711609,0.6131166815757751,0.0014102458953857422,0.554643452167511,0.0,1.0873491764068604
cleveland,support_only,support_only,hungary,5062,47,20.0,0.603471577167511,0.4823351800441742,0.5963959693908691,0.6127123236656189,0.6131166815757751,0.0,0.5549306273460388,0.0,1.0825977325439453
cleveland,support_only,support_only,hungary,5062,47,30.0,0.6016588807106018,0.48064881563186646,0.5949974060058594,0.6104629635810852,0.6131166815757751,0.0,0.5551954507827759,0.0,1.0712454319000244
cleveland,support_only,support_only,hungary,5062,47,40.0,0.5995067358016968,0.4793410301208496,0.5933765769004822,0.6077311635017395,0.6131166815757751,0.0,0.5559632778167725,0.0,1.0471092462539673
cleveland,support_only,support_only,hungary,5062,47,50.0,0.5971505045890808,0.4790736138820648,0.5916716456413269,0.6046339273452759,0.6131166815757751,0.0,0.5575007200241089,0.0,1.0022801160812378
cleveland,support_only,support_only,hungary,5062,47,60.0,0.5949856042861938,0.48057135939598083,0.5900297164916992,0.6018180251121521,0.6131166815757751,0.0,0.5591201782226562,0.0,0.9382885694503784
cleveland,support_only,support_only,hungary,5062,47,70.0,0.5930331945419312,0.48466941714286804,0.5885272026062012,0.5992738008499146,0.6131166815757751,0.0,0.559826135635376,0.0,0.8673070669174194
cleveland,support_only,support_only,hungary,5062,47,80.0,0.5915863513946533,0.4935768246650696,0.5872718095779419,0.5975093245506287,0.6131166815757751,0.0,0.5596942901611328,0.0,0.8042045831680298
cleveland,support_only,support_only,hungary,5062,47,90.0,0.5906888246536255,0.5069233775138855,0.586484432220459,0.5963945388793945,0.6131166815757751,0.0,0.559234082698822,0.0,0.7506565451622009
cleveland,support_only,support_only,hungary,5063,34,1.0,0.6069983243942261,0.48536330461502075,0.5979178547859192,0.6156937479972839,0.6131166815757751,0.002577066421508789,0.5546438097953796,0.0,1.096021056175232
