outer_target,method,policy,mask_replicate,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,expert:prior_separated,drop_advanced,0,303.0,0.45874587458745875,0.8483944551675732,0.8301395046849038,0.5280941259554375,0.5318658998903485,0.17236577772842374,0.174122409453504,0.7623762376237624,0.7563607650464994,0.7251908396946565,0.7723577235772358,0.6834532374100719,0.7050359712230215,0.07451763303094398,1.994972929912491,0.12304016799544122
cleveland,expert:prior_separated,drop_exercise,0,303.0,0.45874587458745875,0.823170731707317,0.7738178722066634,0.6020865803285905,0.600852357919633,0.20519966129366898,0.20460356248269423,0.7524752475247525,0.7526978417266187,0.7368421052631579,0.7191780821917808,0.7553956834532374,0.7553956834532374,-0.28032197405913906,3.2178401934614187,0.16962795103790768
cleveland,expert:prior_separated,drop_routine,0,303.0,0.45874587458745875,0.8580014037550446,0.8459914232565666,0.532980537036474,0.532085595954528,0.17414580676389424,0.17381877765332485,0.768976897689769,0.7652000350938761,0.7407407407407407,0.7633587786259542,0.7194244604316546,0.7482014388489209,-0.21046593465350363,2.3036564838167592,0.11435544425272755
cleveland,expert:prior_separated,empirical_source,0,303.0,0.45874587458745875,0.8201877522372346,0.7867021204965453,0.5491237442205515,0.5541452547069581,0.18161183195634645,0.18393864107644464,0.7491749174917491,0.743068959466573,0.7099236641221374,0.7560975609756098,0.6690647482014388,0.6762589928057554,0.1165975503299342,1.8720930820112835,0.16266572722400266
cleveland,expert:prior_separated,empirical_source,1,303.0,0.45874587458745875,0.83172486401123,0.8043460012398898,0.5403789094980668,0.5450807700715783,0.1773664970300797,0.1795209399015115,0.7788778877887789,0.7743463765572907,0.7490636704119851,0.78125,0.7194244604316546,0.7266187050359713,0.10348884999106812,1.9317252470413226,0.15683410510153228
cleveland,expert:prior_separated,empirical_source,2,303.0,0.45874587458745875,0.830277241621337,0.8088505526891638,0.5416408464482131,0.5458984498544077,0.1783126889613059,0.18028735161474696,0.7557755775577558,0.7497148622565362,0.7175572519083969,0.7642276422764228,0.6762589928057554,0.697841726618705,0.0917958592568375,1.9401743316639166,0.1418095473459378
cleveland,expert:prior_separated,empirical_source,3,303.0,0.45874587458745875,0.8301017722407441,0.8030605747895871,0.5438518601131197,0.5486522349618466,0.17935326698205417,0.18158349347284694,0.759075907590759,0.7522153009299877,0.7181467181467182,0.775,0.6690647482014388,0.7122302158273381,0.12911238315957466,1.9860473114400974,0.14791798161509576
cleveland,expert:prior_separated,empirical_source,4,303.0,0.45874587458745875,0.8345762414458676,0.8227587531584841,0.541593260055451,0.5466899212440146,0.17824853779748778,0.1806121357926216,0.759075907590759,0.7516669591156343,0.7159533073929961,0.7796610169491526,0.6618705035971223,0.7482014388489209,0.1540075096381344,2.040464704908104,0.13422507277062906
cleveland,expert:prior_separated,empirical_source,5,303.0,0.45874587458745875,0.8206702930338655,0.7959112485417197,0.5527479163786274,0.558022934030871,0.1834047635592681,0.18583274788244514,0.7557755775577558,0.748069836813476,0.7109375,0.7777777777777778,0.6546762589928058,0.7338129496402878,0.13165071701667802,1.8929653894121055,0.16082744124662807
cleveland,expert:prior_separated,empirical_source,6,303.0,0.45874587458745875,0.8495788734865767,0.8435185374774214,0.5317615302005486,0.5365622716910629,0.1740605322448281,0.1762693940077975,0.759075907590759,0.7533119845586944,0.7224334600760456,0.7661290322580645,0.6834532374100719,0.697841726618705,0.14681194297700728,2.109553882334833,0.11117081499138623
