method,reference_method,observed_difference,bootstrap_mean_difference,percentile_ci_025,percentile_ci_975,basic_ci_025,basic_ci_975,probability_better_descriptive,hospital_count,training_seed_layer_included
expert:prior_separated,support_aware_router,0.007856311150356454,0.0070363756560098455,-0.00858009782813276,0.018499001374481464,-0.002786379073768556,0.024292720128845667,0.176,4,False
expert:joint_policy_dro,support_aware_router,0.009110238976318463,0.009172594812744001,-0.006820737669831345,0.027245155649631977,-0.00902467769699505,0.02504121562246827,0.172,4,False
expert:stable_anchor,support_aware_router,0.0065560195802915056,0.013364521737761944,-0.01823255759419618,0.04063440052486473,-0.027522361364281718,0.031344596754779186,0.19,4,False
equal_logit_blend,support_aware_router,-0.00309593765031424,-0.0029941593858927584,-0.008205549609809654,0.0013160247764768178,-0.0075079000771052975,0.0020136743091811737,0.866,4,False
selected_best_expert,support_aware_router,0.006009375648228121,0.005505258488343478,-0.007151329808585493,0.017952656451419177,-0.005933905154962935,0.019170081105041738,0.238,4,False
selected_convex_blend,support_aware_router,0.0016466376769123103,0.002967654556681364,-0.008827225124912888,0.015740042993324686,-0.012446767639500065,0.012120500478737509,0.328,4,False
