outer_target,router_candidate,validation_site,router_seed,site_worst_balanced_log_loss,natural_roc_auc
cleveland,support_only,hungary,5062,0.586834799760826,0.8486137918933147
cleveland,support_only,hungary,5063,0.5867691885169941,0.8494034041059835
cleveland,support_only,hungary,5064,0.5874684541912825,0.8502368836638008
cleveland,support_only,hungary,5065,0.586915523651796,0.8500614142832077
cleveland,support_only,hungary,5066,0.5878020292918529,0.849008597999649
cleveland,support_only,hungary,5067,0.5864733708832931,0.8490963326899456
cleveland,support_only,hungary,5068,0.586725922303236,0.8491402000350938
cleveland,support_only,hungary,5069,0.5863901291920024,0.8489647306545007
cleveland,support_only,hungary,5070,0.586875811234774,0.8490085979996491
cleveland,support_only,hungary,5071,0.5870696950088765,0.8497104755220213
cleveland,support_only,switzerland,5062,0.5922108080457025,0.8476487103000526
cleveland,support_only,switzerland,5063,0.5933489078329692,0.8475609756097561
cleveland,support_only,switzerland,5064,0.5926256996853745,0.8476487103000526
cleveland,support_only,switzerland,5065,0.5927634558715571,0.8477364449903492
cleveland,support_only,switzerland,5066,0.5884264116214291,0.8487015265836112
cleveland,support_only,switzerland,5067,0.5930782791588709,0.8477364449903492
cleveland,support_only,switzerland,5068,0.5941619942973322,0.8475171082646078
cleveland,support_only,switzerland,5069,0.592870036072692,0.8475609756097561
cleveland,support_only,switzerland,5070,0.5932098421824246,0.8477364449903492
cleveland,support_only,switzerland,5071,0.5883005769897169,0.8486576592384628
cleveland,support_only,va_long_beach,5062,0.5866285710386112,0.8498859449026144
cleveland,support_only,va_long_beach,5063,0.5869190401716917,0.8496227408317248
cleveland,support_only,va_long_beach,5064,0.5866907188532788,0.8495788734865766
cleveland,support_only,va_long_beach,5065,0.5875601021030752,0.8491402000350939
cleveland,support_only,va_long_beach,5066,0.587308285972541,0.8497543428671697
cleveland,support_only,va_long_beach,5067,0.5852903596395738,0.8489647306545007
cleveland,support_only,va_long_beach,5068,0.5860922969947697,0.8493156694156869
cleveland,support_only,va_long_beach,5069,0.5859468405762226,0.8497543428671698
cleveland,support_only,va_long_beach,5070,0.5857386747255089,0.8494034041059835
cleveland,support_only,va_long_beach,5071,0.5869996727196103,0.8487892612739077
cleveland,support_plus_expert_context,hungary,5062,0.587555856111974,0.8493156694156869
cleveland,support_plus_expert_context,hungary,5063,0.586428475625508,0.850938761186173
cleveland,support_plus_expert_context,hungary,5064,0.5870189722409489,0.8498420775574662
cleveland,support_plus_expert_context,hungary,5065,0.5872726716583552,0.8498420775574661
cleveland,support_plus_expert_context,hungary,5066,0.5870342332162993,0.8499298122477627
cleveland,support_plus_expert_context,hungary,5067,0.58678007089657,0.8498420775574662
cleveland,support_plus_expert_context,hungary,5068,0.586795858361456,0.8499298122477628
cleveland,support_plus_expert_context,hungary,5069,0.5866610214133505,0.8504123530443937
cleveland,support_plus_expert_context,hungary,5070,0.5868704201915776,0.8502368836638007
cleveland,support_plus_expert_context,hungary,5071,0.5868100412729872,0.8498420775574663
cleveland,support_plus_expert_context,switzerland,5062,0.5924796279597015,0.8473416388840147
cleveland,support_plus_expert_context,switzerland,5063,0.5925222962810545,0.8480435164063871
cleveland,support_plus_expert_context,switzerland,5064,0.5935117489577575,0.847385506229163
cleveland,support_plus_expert_context,switzerland,5065,0.5882471147633859,0.849008597999649
cleveland,support_plus_expert_context,switzerland,5066,0.5880182968247052,0.8488769959642043
cleveland,support_plus_expert_context,switzerland,5067,0.5874842149358521,0.8498859449026145
cleveland,support_plus_expert_context,switzerland,5068,0.5937360315465213,0.8474732409194596
cleveland,support_plus_expert_context,switzerland,5069,0.5916700767135123,0.8472539041937182
cleveland,support_plus_expert_context,switzerland,5070,0.5876914150133731,0.8488769959642043
cleveland,support_plus_expert_context,switzerland,5071,0.5929209242346118,0.8474293735743113
cleveland,support_plus_expert_context,va_long_beach,5062,0.5863306983715963,0.849008597999649
cleveland,support_plus_expert_context,va_long_beach,5063,0.5867527800223464,0.8501052816283559
cleveland,support_plus_expert_context,va_long_beach,5064,0.5861885709745851,0.8497104755220214
cleveland,support_plus_expert_context,va_long_beach,5065,0.5871642583754821,0.8503246183540972
cleveland,support_plus_expert_context,va_long_beach,5066,0.5863236856481231,0.8489647306545007
cleveland,support_plus_expert_context,va_long_beach,5067,0.5866088393475362,0.8499298122477628
cleveland,support_plus_expert_context,va_long_beach,5068,0.5871525925053555,0.8495788734865765
cleveland,support_plus_expert_context,va_long_beach,5069,0.5869599794287703,0.8502368836638007
cleveland,support_plus_expert_context,va_long_beach,5070,0.5860993180152312,0.8491840673802422
cleveland,support_plus_expert_context,va_long_beach,5071,0.5863745597001089,0.8489647306545007
cleveland,anchor_relative_context,hungary,5062,0.5871673750919089,0.8497982102123179
cleveland,anchor_relative_context,hungary,5063,0.5867943157466529,0.8501930163186524
cleveland,anchor_relative_context,hungary,5064,0.5872721291402523,0.8490085979996491
cleveland,anchor_relative_context,hungary,5065,0.5876944824996462,0.8498859449026144
cleveland,anchor_relative_context,hungary,5066,0.5873411160977209,0.8490524653447973
cleveland,anchor_relative_context,hungary,5067,0.5874108116758914,0.8501491489735041
cleveland,anchor_relative_context,hungary,5068,0.58699517084497,0.8501052816283557
cleveland,anchor_relative_context,hungary,5069,0.5873003335328593,0.8486576592384627
cleveland,anchor_relative_context,hungary,5070,0.5866769055027753,0.850149148973504
cleveland,anchor_relative_context,hungary,5071,0.586916626379301,0.849973679592911
cleveland,anchor_relative_context,switzerland,5062,0.5873217877275015,0.8497543428671696
cleveland,anchor_relative_context,switzerland,5063,0.5873379614464246,0.8500175469380594
cleveland,anchor_relative_context,switzerland,5064,0.5930044968302441,0.8474293735743113
cleveland,anchor_relative_context,switzerland,5065,0.5875954363230529,0.8498859449026145
cleveland,anchor_relative_context,switzerland,5066,0.5876958687805425,0.8491402000350938
cleveland,anchor_relative_context,switzerland,5067,0.5873947592510014,0.849973679592911
cleveland,anchor_relative_context,switzerland,5068,0.5871179517957444,0.8501491489735041
cleveland,anchor_relative_context,switzerland,5069,0.5907580656784196,0.8474732409194594
cleveland,anchor_relative_context,switzerland,5070,0.5870436541439155,0.8494472714511317
cleveland,anchor_relative_context,switzerland,5071,0.5871708432851463,0.8487015265836112
cleveland,anchor_relative_context,va_long_beach,5062,0.5871179959420888,0.8497543428671697
cleveland,anchor_relative_context,va_long_beach,5063,0.5867803691693603,0.849973679592911
cleveland,anchor_relative_context,va_long_beach,5064,0.5872624240397832,0.8491840673802421
cleveland,anchor_relative_context,va_long_beach,5065,0.5871710900397114,0.850280751008949
cleveland,anchor_relative_context,va_long_beach,5066,0.5873075731887684,0.849315669415687
cleveland,anchor_relative_context,va_long_beach,5067,0.5867445596637978,0.8501052816283559
cleveland,anchor_relative_context,va_long_beach,5068,0.5871286970928882,0.8495788734865767
cleveland,anchor_relative_context,va_long_beach,5069,0.5870661463371212,0.850149148973504
cleveland,anchor_relative_context,va_long_beach,5070,0.5867927003730758,0.8500614142832075
cleveland,anchor_relative_context,va_long_beach,5071,0.5867156866079417,0.8500175469380593
hungary,support_only,cleveland,5062,0.543132309646144,0.9167503010839021
hungary,support_only,cleveland,5063,0.5423404248045018,0.9164993978321959
hungary,support_only,cleveland,5064,0.5449545645507989,0.9170012043356082
hungary,support_only,cleveland,5065,0.544369061649074,0.913438378161381
hungary,support_only,cleveland,5066,0.547370019357861,0.9167001204335609
hungary,support_only,cleveland,5067,0.5423533322916498,0.9151445202729828
hungary,support_only,cleveland,5068,0.5428752350107058,0.9165495784825372
hungary,support_only,cleveland,5069,0.5439012567626316,0.9167001204335609
hungary,support_only,cleveland,5070,0.5468077387848889,0.9160979526294661
hungary,support_only,cleveland,5071,0.545054768231386,0.916951023685267
