view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,policy,mask_replicate,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max,outer_target,experiment,variant,epochs,config_sha256
composite,0.95,0.058194730097047793,0.004065778092142723,0.005,False,0.05,384,,empirical_source,1,composite_multiview_v3,False,True,True,0.705,0.15384615384615385,0.15384615384615385,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.95,0.0014474333965869093,0.005238894446239585,0.415,True,0.05,128,1.0089745676373387,empirical_source,2,composite_multiview_v3,False,True,True,0.81,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.03975245807663486,0.0037664663077303776,0.005,False,0.05,128,2.364140825746896,empirical_source,2,composite_multiview_v3,False,True,True,0.81,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.10129501774558614,0.006454587718969725,0.005,False,0.05,128,3.309502173079527,empirical_source,2,composite_multiview_v3,False,True,True,0.81,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.95,0.047498303072935996,0.004780935877990533,0.005,False,0.05,384,,empirical_source,2,composite_multiview_v3,False,True,True,0.81,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.95,0.001015213369753871,0.007752428756986676,0.51,True,0.05,128,1.0292233863574274,empirical_source,3,composite_multiview_v3,False,True,True,0.7,0.15384615384615385,0.15384615384615385,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.04689685388228919,0.004465836542393428,0.005,False,0.05,128,2.364140825746896,empirical_source,3,composite_multiview_v3,False,True,True,0.7,0.15384615384615385,0.15384615384615385,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.10549397151584093,0.005839699878330494,0.005,False,0.05,128,3.4127346394121796,empirical_source,3,composite_multiview_v3,False,True,True,0.7,0.15384615384615385,0.15384615384615385,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.95,0.05113534625596124,0.004348841178809421,0.005,False,0.05,384,,empirical_source,3,composite_multiview_v3,False,True,True,0.7,0.15384615384615385,0.15384615384615385,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.95,0.0022919390601761633,0.0070670166490988985,0.37,True,0.05,128,1.0231789614275237,empirical_source,4,composite_multiview_v3,False,True,True,0.76,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.04263782720396911,0.004135274624279112,0.005,False,0.05,128,2.364140825746896,empirical_source,4,composite_multiview_v3,False,True,True,0.76,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.8,0.12895833604826146,0.004469874756515253,0.005,False,0.05,128,3.406335417735748,empirical_source,4,composite_multiview_v3,False,True,True,0.76,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.95,0.05824643394642124,0.004488507531702518,0.005,False,0.05,384,,empirical_source,4,composite_multiview_v3,False,True,True,0.76,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.95,0.0013107981677065762,0.005163414995967092,0.33,True,0.05,128,1.0209461179111678,empirical_source,5,composite_multiview_v3,False,True,True,0.705,0.15384615384615385,0.15384615384615385,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.03739919494030949,0.004585604768133135,0.005,False,0.05,128,2.364140825746896,empirical_source,5,composite_multiview_v3,False,True,True,0.705,0.15384615384615385,0.15384615384615385,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.10720283591143123,0.005560918546856485,0.005,False,0.05,128,3.5921427622300803,empirical_source,5,composite_multiview_v3,False,True,True,0.705,0.15384615384615385,0.15384615384615385,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.95,0.04863760967314905,0.0041068199849082394,0.005,False,0.05,384,,empirical_source,5,composite_multiview_v3,False,True,True,0.705,0.15384615384615385,0.15384615384615385,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.95,0.0021949080435562165,0.007082525553359323,0.28,True,0.05,128,1.020523847184005,empirical_source,6,composite_multiview_v3,False,True,True,0.705,0.15384615384615385,0.15384615384615385,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.04149972995434685,0.004326518015641796,0.005,False,0.05,128,2.364140825746896,empirical_source,6,composite_multiview_v3,False,True,True,0.705,0.15384615384615385,0.15384615384615385,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.7,0.11989875951643457,0.004480542151389434,0.005,False,0.05,128,3.5481457468458695,empirical_source,6,composite_multiview_v3,False,True,True,0.705,0.15384615384615385,0.15384615384615385,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
