method,track,outer_target,policy,mask_replicate,mean_observed_fraction,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
control:logistic_natural,dg_zero_shot,cleveland,drop_advanced,0,0.8461538461538459,303.0,0.45874587458745875,0.8576504649938586,0.8561396784140408,0.48770466618497466,0.5060592275538424,0.1560238764889746,0.1624271176058533,0.7854785478547854,0.7777022284611335,0.7450980392156863,0.8189655172413793,0.6834532374100719,0.7410071942446043,0.4790943071750381,0.9576593380448573,0.12964093941399776
control:logistic_structured,dg_zero_shot,cleveland,drop_advanced,0,0.8461538461538459,303.0,0.45874587458745875,0.8556325671170381,0.8538396562712015,0.4764680149100317,0.48732597145062595,0.1529875518412687,0.156518637817525,0.7755775577557755,0.7718459378838393,0.7481481481481481,0.7709923664122137,0.7266187050359713,0.7338129496402878,0.176293744267381,0.9073316275666642,0.12118950867815145
control:logistic_natural,dg_zero_shot,cleveland,drop_exercise,0,0.6907844630616908,303.0,0.45874587458745875,0.7065713283032111,0.6506200832896689,0.8617312980725573,0.924795866409382,0.2994649110720274,0.32355995655817066,0.5544554455445545,0.5149368310229865,0.06896551724137931,0.8333333333333334,0.03597122302158273,0.4244604316546763,1.2907519308483868,0.8308594289830945,0.30362748258334865
control:logistic_structured,dg_zero_shot,cleveland,drop_exercise,0,0.6907844630616908,303.0,0.45874587458745875,0.7579838568169854,0.712334621577063,0.6349756506133156,0.6632808874380336,0.2201878203628334,0.23132975638041706,0.6435643564356436,0.6224776276539744,0.4857142857142857,0.7183098591549296,0.3669064748201439,0.4316546762589928,0.5025361171679475,0.7205851410070233,0.20219084370200133
control:logistic_natural,dg_zero_shot,cleveland,drop_routine,0,0.6907844630616908,303.0,0.45874587458745875,0.8348833128619056,0.8076590974909479,0.6570696299323043,0.6243653155163451,0.21979302797238548,0.207900169424026,0.6732673267326733,0.6932356553781365,0.724233983286908,0.5909090909090909,0.935251798561151,0.7338129496402878,-1.2631452904802847,0.898035761842754,0.21384762240405653
control:logistic_structured,dg_zero_shot,cleveland,drop_routine,0,0.6907844630616908,303.0,0.45874587458745875,0.8541410773819968,0.83806233897106,0.4882680791487563,0.5013964143189383,0.1548352405994959,0.15949584141356649,0.7854785478547854,0.7771538866467802,0.7430830039525692,0.8245614035087719,0.6762589928057554,0.7410071942446043,0.2499293722984294,0.8243932512861224,0.12352039576707988
control:logistic_natural,dg_zero_shot,cleveland,empirical_source,0,0.7489210459507488,303.0,0.45874587458745875,0.8270749254255132,0.8194259496592942,0.5220316746169045,0.5380130258990591,0.16998613695844406,0.17590901542846016,0.7524752475247525,0.743376030882611,0.701195219123506,0.7857142857142857,0.6330935251798561,0.6906474820143885,0.3219985495136819,0.9279852410498457,0.1516773431853451
control:logistic_structured,dg_zero_shot,cleveland,empirical_source,0,0.7489210459507488,303.0,0.45874587458745875,0.8255395683453237,0.8148778114730522,0.515778298679415,0.5262227111535966,0.16743840537394822,0.17104673456000474,0.7491749174917491,0.7441656430952799,0.7142857142857143,0.7480314960629921,0.6834532374100719,0.6834532374100719,0.12110644878166095,0.8701254019680461,0.14547345701080133
control:logistic_natural,dg_zero_shot,cleveland,mar_age_sex_30,0,0.7534907336887535,303.0,0.45874587458745875,0.809922793472539,0.8002565174582987,0.5434778606191948,0.561815259184274,0.18140666970319744,0.18849718769775473,0.7425742574257426,0.730939638533076,0.6776859504132231,0.7961165048543689,0.5899280575539568,0.6690647482014388,0.3506124699015732,0.8349899845551214,0.15002129771015255
control:logistic_structured,dg_zero_shot,cleveland,mar_age_sex_30,0,0.7534907336887535,303.0,0.45874587458745875,0.8375592209159503,0.8128117876765737,0.5306954136181531,0.551585364479314,0.17555342225219203,0.18332486403942516,0.7293729372937293,0.7165511493244429,0.6554621848739496,0.7878787878787878,0.5611510791366906,0.697841726618705,0.4914986606717649,0.8391875656868564,0.14375800505916264
control:logistic_natural,dg_zero_shot,cleveland,mcar_10,0,0.9030210713379031,303.0,0.45874587458745875,0.7922442533777856,0.774287162503303,0.5783813141226019,0.5992081778822967,0.19157498351438806,0.19912182894546768,0.735973597359736,0.7264871030005264,0.68,0.7657657657657657,0.6115107913669064,0.6330935251798561,0.3445185049653975,0.7469531555590841,0.17943219650887912
control:logistic_structured,dg_zero_shot,cleveland,mcar_10,0,0.9030210713379031,303.0,0.45874587458745875,0.8201438848920862,0.8001289065300323,0.5462179895567083,0.56389130032211,0.17617918123283524,0.1825395038143821,0.7491749174917491,0.7397789085804527,0.696,0.7837837837837838,0.6258992805755396,0.6906474820143885,0.2733419365303253,0.7028509144568048,0.14824726023424278
control:logistic_natural,dg_zero_shot,cleveland,mcar_30,0,0.6956080223406956,303.0,0.45874587458745875,0.7645200912440779,0.7525630391161245,0.5972262617749738,0.6070571712058459,0.19825648217156275,0.20149082010243147,0.7095709570957096,0.7053869099842078,0.674074074074074,0.6946564885496184,0.6546762589928058,0.5899280575539568,0.005893857675269935,0.6599791040227896,0.20612435195306664
control:logistic_structured,dg_zero_shot,cleveland,mcar_30,0,0.6956080223406956,303.0,0.45874587458745875,0.7921126513423408,0.7644958120083737,0.5914709205399423,0.6124538335328207,0.1941236558223143,0.20158049947823925,0.7062706270627063,0.6957580277241622,0.6396761133603239,0.7314814814814815,0.5683453237410072,0.60431654676259,0.3134440164034988,0.6737744615929231,0.18331868561270395
control:logistic_natural,dg_zero_shot,cleveland,mcar_50,0,0.5026656511805027,303.0,0.45874587458745875,0.6909984207755747,0.6567986416971698,0.6869173293209221,0.6798187230634708,0.23818685237745774,0.2355404148885259,0.6435643564356436,0.6471530092998772,0.64,0.5962732919254659,0.6906474820143885,0.381294964028777,-0.27540458013209757,0.502226781045737,0.2815426733060492
control:logistic_structured,dg_zero_shot,cleveland,mcar_50,0,0.5026656511805027,303.0,0.45874587458745875,0.7578522547815406,0.7308938377442118,0.6101195297937061,0.6285001072850833,0.20578132731189525,0.21267867327555523,0.6897689768976898,0.6783207580277242,0.6147540983606558,0.7142857142857143,0.539568345323741,0.5467625899280576,0.23019395174620505,0.6832680521132447,0.2088166245663644
control:logistic_natural,dg_zero_shot,cleveland,natural,0,0.9984767707539983,303.0,0.45874587458745875,0.8305404456922267,0.8174044292982203,0.5470700896908788,0.5723863643930296,0.17627682069740108,0.18523056553909967,0.7623762376237624,0.750329005088612,0.7,0.8316831683168316,0.60431654676259,0.7194244604316546,0.6203813287004358,0.8803474587274981,0.16476435503392262
