method,reference_method,observed_difference,bootstrap_mean_difference,bootstrap_bias,percentile_ci_025,percentile_ci_975,basic_ci_025,basic_ci_975,probability_better_descriptive,contrast_id
neural:v2_deepsets_smoke,neural:v2_attention_smoke,-0.01302058572395648,-0.020514733051200697,-0.0074941473272442174,-0.03947014271324158,-0.0059539610613469265,-0.02008721038656603,0.013428971265328618,1.0,deepsets_minus_attention_smoke
router:equal_logit_blend,router:support_aware_router,-0.004242405740758626,-0.004965530059203116,-0.0007231243184444899,-0.01183404958639151,-0.00020231454421820955,-0.008282496937299043,0.0033492381048742578,0.95,router_fixed_smoke
router:selected_convex_blend,router:support_aware_router,0.008912900236012766,0.008827961389583399,-8.493884642936725e-05,-0.01766678303292398,0.022185304238900836,-0.0043595037668753035,0.035492583504949514,0.2,router_fixed_smoke
