outer_target,inner_validation,experiment,variant,parameter_id,seed,epoch,objective,validation_score,mean_group_risk,robust_group_risk,mean_group_brier
cleveland,hungary,v2_attention_equal_budget,v2,0,5062,5.0,0.6086505055427551,0.5888668840486782,0.6086505055427551,0.6393195390701294,0.209288090467453
cleveland,hungary,v2_attention_equal_budget,v2,0,5062,10.0,0.5216045379638672,0.5461502050195863,0.5216045379638672,0.6020922064781189,0.17346543073654175
cleveland,hungary,v2_attention_equal_budget,v2,0,5062,15.0,0.48056820034980774,0.5623609140104493,0.48056820034980774,0.5976184606552124,0.15738409757614136
cleveland,hungary,v2_attention_equal_budget,v2,0,5062,20.0,0.45428383350372314,0.574748896579981,0.45428383350372314,0.5836137533187866,0.14708414673805237
cleveland,hungary,v2_attention_equal_budget,v2,0,5062,25.0,0.4223116934299469,0.6123728103515492,0.4223116934299469,0.5443905591964722,0.13742731511592865
cleveland,hungary,v2_attention_equal_budget,v2,0,5062,30.0,0.37024152278900146,0.6517176520257413,0.37024152278900146,0.5096830129623413,0.1167459562420845
cleveland,hungary,v2_attention_equal_budget,v2,0,5062,35.0,0.3319207429885864,0.6897295528903091,0.3319207429885864,0.4995749294757843,0.09934177994728088
cleveland,hungary,v2_attention_equal_budget,v2,0,5062,40.0,0.3010720908641815,0.6868706199128285,0.3010720908641815,0.40644603967666626,0.09027987718582153
cleveland,hungary,v2_attention_equal_budget,v2,0,5062,45.0,0.25561705231666565,0.7087676978142057,0.25561705231666565,0.39290401339530945,0.0758366510272026
cleveland,hungary,v2_attention_equal_budget,v2,0,5062,50.0,0.28524985909461975,0.7711805057946941,0.28524985909461975,0.429729700088501,0.08786855638027191
cleveland,hungary,v2_attention_equal_budget,v2,0,5063,5.0,0.6114175915718079,0.5276918260775864,0.6114175915718079,0.657219648361206,0.21144188940525055
cleveland,hungary,v2_attention_equal_budget,v2,0,5063,10.0,0.524581253528595,0.49609653997396713,0.524581253528595,0.6309441328048706,0.17545869946479797
cleveland,hungary,v2_attention_equal_budget,v2,0,5063,15.0,0.5076459050178528,0.5348706934941188,0.5076459050178528,0.6504495143890381,0.16825111210346222
cleveland,hungary,v2_attention_equal_budget,v2,0,5063,20.0,0.4763491153717041,0.534764347855087,0.4763491153717041,0.6295409202575684,0.15447290241718292
cleveland,hungary,v2_attention_equal_budget,v2,0,5063,25.0,0.4194578230381012,0.5676094301027196,0.4194578230381012,0.5449351668357849,0.13160167634487152
cleveland,hungary,v2_attention_equal_budget,v2,0,5063,30.0,0.3974781036376953,0.6093505972328976,0.3974781036376953,0.5860984921455383,0.1232222467660904
cleveland,hungary,v2_attention_equal_budget,v2,0,5063,35.0,0.3930867910385132,0.6425080371653785,0.3930867910385132,0.5653867721557617,0.12246929854154587
cleveland,hungary,v2_attention_equal_budget,v2,0,5063,40.0,0.3570723533630371,0.6489830855825609,0.3570723533630371,0.5561781525611877,0.10826103389263153
cleveland,hungary,v2_attention_equal_budget,v2,0,5063,45.0,0.3070521056652069,0.6626695772179217,0.3070521056652069,0.48773494362831116,0.09093153476715088
cleveland,hungary,v2_attention_equal_budget,v2,0,5063,50.0,0.3008858561515808,0.7149003487817687,0.3008858561515808,0.4616706371307373,0.09050336480140686
cleveland,hungary,v2_attention_equal_budget,v2,0,5064,5.0,0.5745694637298584,0.5757895391292831,0.5745694637298584,0.6129398345947266,0.19409491121768951
cleveland,hungary,v2_attention_equal_budget,v2,0,5064,10.0,0.5015668272972107,0.5491342017980494,0.5015668272972107,0.6092342138290405,0.1642245352268219
cleveland,hungary,v2_attention_equal_budget,v2,0,5064,15.0,0.46972352266311646,0.5902069471200704,0.46972352266311646,0.6361746788024902,0.15240567922592163
cleveland,hungary,v2_attention_equal_budget,v2,0,5064,20.0,0.4485829174518585,0.5961744362116115,0.4485829174518585,0.5864782333374023,0.14661911129951477
cleveland,hungary,v2_attention_equal_budget,v2,0,5064,25.0,0.42422711849212646,0.575881361457703,0.42422711849212646,0.589002788066864,0.13524016737937927
cleveland,hungary,v2_attention_equal_budget,v2,0,5064,30.0,0.3982258439064026,0.5786192821863481,0.3982258439064026,0.5550583600997925,0.12711969017982483
cleveland,hungary,v2_attention_equal_budget,v2,0,5064,35.0,0.38401761651039124,0.600898775565198,0.38401761651039124,0.5190842151641846,0.12230879068374634
cleveland,hungary,v2_attention_equal_budget,v2,0,5064,40.0,0.350705623626709,0.6579423457841148,0.350705623626709,0.5246611833572388,0.1086440235376358
cleveland,hungary,v2_attention_equal_budget,v2,0,5064,45.0,0.31509336829185486,0.6696587590121467,0.31509336829185486,0.4404129385948181,0.09903736412525177
cleveland,hungary,v2_attention_equal_budget,v2,0,5064,50.0,0.32333940267562866,0.7133239835834908,0.32333940267562866,0.46608197689056396,0.0994778722524643
cleveland,hungary,v2_attention_equal_budget,v2,0,5065,5.0,0.5771044492721558,0.5601199843722029,0.5771044492721558,0.620191216468811,0.19707435369491577
cleveland,hungary,v2_attention_equal_budget,v2,0,5065,10.0,0.5005229711532593,0.5454407282989362,0.5005229711532593,0.6014581918716431,0.1638498455286026
cleveland,hungary,v2_attention_equal_budget,v2,0,5065,15.0,0.476407527923584,0.5441083477543853,0.476407527923584,0.6403039693832397,0.15318673849105835
cleveland,hungary,v2_attention_equal_budget,v2,0,5065,20.0,0.47157227993011475,0.5677277328237644,0.47157227993011475,0.5837152004241943,0.1534254550933838
cleveland,hungary,v2_attention_equal_budget,v2,0,5065,25.0,0.4299830496311188,0.5665455221058978,0.4299830496311188,0.559608519077301,0.13863568007946014
cleveland,hungary,v2_attention_equal_budget,v2,0,5065,30.0,0.42046499252319336,0.5889019531298783,0.42046499252319336,0.5559128522872925,0.13376745581626892
cleveland,hungary,v2_attention_equal_budget,v2,0,5065,35.0,0.3396550714969635,0.6140894049092758,0.3396550714969635,0.5075794458389282,0.10420367866754532
cleveland,hungary,v2_attention_equal_budget,v2,0,5065,40.0,0.313965380191803,0.6540693918120178,0.313965380191803,0.48493313789367676,0.09434225410223007
cleveland,hungary,v2_attention_equal_budget,v2,0,5065,45.0,0.3674004375934601,0.677524856653198,0.3674004375934601,0.45023688673973083,0.11636008322238922
cleveland,hungary,v2_attention_equal_budget,v2,0,5065,50.0,0.27627599239349365,0.6676363549457891,0.27627599239349365,0.42522764205932617,0.08232568949460983
cleveland,hungary,v2_attention_equal_budget,v2,0,5065,55.0,0.24550528824329376,0.7016848817848698,0.24550528824329376,0.3765641450881958,0.06883741170167923
cleveland,hungary,v2_attention_equal_budget,v2,0,5066,5.0,0.5599675178527832,0.5441398684504047,0.5599675178527832,0.6160892844200134,0.18871626257896423
cleveland,hungary,v2_attention_equal_budget,v2,0,5066,10.0,0.5241698026657104,0.5456929080460754,0.5241698026657104,0.6153834462165833,0.17559167742729187
cleveland,hungary,v2_attention_equal_budget,v2,0,5066,15.0,0.49689310789108276,0.5512970631502869,0.49689310789108276,0.6326721906661987,0.16409699618816376
cleveland,hungary,v2_attention_equal_budget,v2,0,5066,20.0,0.43428120017051697,0.567795713486938,0.43428120017051697,0.5987823605537415,0.13796839118003845
cleveland,hungary,v2_attention_equal_budget,v2,0,5066,25.0,0.4204907715320587,0.6507975789962026,0.4204907715320587,0.5853586792945862,0.13575857877731323
cleveland,hungary,v2_attention_equal_budget,v2,0,5066,30.0,0.3858950138092041,0.5956382653124377,0.3858950138092041,0.5333556532859802,0.12026544660329819
cleveland,hungary,v2_attention_equal_budget,v2,0,5066,35.0,0.3670005202293396,0.6374809221286892,0.3670005202293396,0.5313335061073303,0.11588118225336075
cleveland,hungary,v2_attention_equal_budget,v2,0,5066,40.0,0.33951279520988464,0.642097743143871,0.33951279520988464,0.5290301442146301,0.10709638148546219
cleveland,hungary,v2_attention_equal_budget,v2,0,5066,45.0,0.3439751863479614,0.7450219175656907,0.3439751863479614,0.5087984800338745,0.10734529048204422
