view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,policy,mask_replicate,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max,outer_target,experiment,variant,epochs,config_sha256
composite,0.95,0.13088508030937498,0.005220115225322017,0.005,False,0.05,384,,empirical_source,1,composite_multiview_v3,False,True,True,0.8292682926829268,0.07692307692307693,0.15384615384615385,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.85,0.005459730920866235,0.003649372596632042,0.02,False,0.05,128,0.9913546501751695,empirical_source,2,composite_multiview_v3,False,True,True,0.8455284552845529,0.07692307692307693,0.15384615384615385,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.0031492931871825733,0.004909941127588694,0.22,True,0.05,128,2.38253044334952,empirical_source,2,composite_multiview_v3,False,True,True,0.8455284552845529,0.07692307692307693,0.15384615384615385,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.4067666523144391,0.00751787844254739,0.005,False,0.05,128,4.136554687678503,empirical_source,2,composite_multiview_v3,False,True,True,0.8455284552845529,0.07692307692307693,0.15384615384615385,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.95,0.13945106711729743,0.005311889969804755,0.005,False,0.05,384,,empirical_source,2,composite_multiview_v3,False,True,True,0.8455284552845529,0.07692307692307693,0.15384615384615385,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.85,0.006389825273243481,0.005387950825242795,0.03,False,0.05,128,0.9896626538765159,empirical_source,3,composite_multiview_v3,False,True,True,0.8211382113821138,0.07692307692307693,0.15384615384615385,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.004560621460570647,0.006429580899011109,0.13,True,0.05,128,2.38253044334952,empirical_source,3,composite_multiview_v3,False,True,True,0.8211382113821138,0.07692307692307693,0.15384615384615385,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.44519618393551885,0.007120085673177834,0.005,False,0.05,128,4.283960024828556,empirical_source,3,composite_multiview_v3,False,True,True,0.8211382113821138,0.07692307692307693,0.15384615384615385,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.95,0.1531592600516931,0.005860806259358633,0.005,False,0.05,384,,empirical_source,3,composite_multiview_v3,False,True,True,0.8211382113821138,0.07692307692307693,0.15384615384615385,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.85,0.00707692463535176,0.004922250749846641,0.015,False,0.05,128,0.9961733758862303,empirical_source,4,composite_multiview_v3,False,True,True,0.8211382113821138,0.07692307692307693,0.15384615384615385,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
