view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,policy,mask_replicate,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max,outer_target,experiment,variant,epochs,config_sha256
evidence,0.35,0.0028237668962900002,0.0022307151693738048,0.025,False,0.05,128,1.0068527911316334,empirical_source,2,composite_multiview_v3,False,False,False,0.9504950495049505,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.019183686915896687,0.0030859353198676226,0.005,False,0.05,128,2.2128682345625577,empirical_source,2,composite_multiview_v3,False,False,False,0.9504950495049505,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.85,0.05298148427152032,0.003978406329213225,0.005,False,0.05,128,3.7762570195413048,empirical_source,2,composite_multiview_v3,False,False,False,0.9504950495049505,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.4,0.02698569237993016,0.0026245338254317794,0.005,False,0.05,384,,empirical_source,2,composite_multiview_v3,False,False,False,0.9504950495049505,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.35,0.0031882470882502578,0.0013853459227726045,0.005,False,0.05,128,1.01492517569647,empirical_source,3,composite_multiview_v3,False,True,True,0.9438943894389439,0.07692307692307693,0.15384615384615385,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.45,0.01924253456961937,0.0037091288075417387,0.005,False,0.05,128,2.2128682345625577,empirical_source,3,composite_multiview_v3,False,True,True,0.9438943894389439,0.07692307692307693,0.15384615384615385,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.7,0.0478575185706211,0.004270315460344398,0.005,False,0.05,128,3.4669716447709873,empirical_source,3,composite_multiview_v3,False,True,True,0.9438943894389439,0.07692307692307693,0.15384615384615385,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.4,0.02505401860985953,0.002668886464045818,0.005,False,0.05,384,,empirical_source,3,composite_multiview_v3,False,True,True,0.9438943894389439,0.07692307692307693,0.15384615384615385,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.35,0.004822172141575996,0.0016155152648685733,0.005,False,0.05,128,1.0187186102672303,empirical_source,4,composite_multiview_v3,False,False,False,0.9735973597359736,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.35,0.01748732837580376,0.0037469610139645925,0.005,False,0.05,128,2.2128682345625577,empirical_source,4,composite_multiview_v3,False,False,False,0.9735973597359736,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.9,0.03568881609775691,0.004200361395813506,0.005,False,0.05,128,3.823572203051489,empirical_source,4,composite_multiview_v3,False,False,False,0.9735973597359736,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.35,0.021933827286154197,0.0024856667390232975,0.005,False,0.05,384,,empirical_source,4,composite_multiview_v3,False,False,False,0.9735973597359736,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.35,0.006709357255433912,0.0020438288574041183,0.005,False,0.05,128,1.0235815567749786,empirical_source,5,composite_multiview_v3,False,False,False,0.9603960396039604,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.019553410480643126,0.0038847999727139627,0.005,False,0.05,128,2.2128682345625577,empirical_source,5,composite_multiview_v3,False,False,False,0.9603960396039604,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.9,0.05350965812376417,0.004984422027989214,0.005,False,0.05,128,3.7920344265995807,empirical_source,5,composite_multiview_v3,False,False,False,0.9603960396039604,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.4,0.030206073699884692,0.002582941985182474,0.005,False,0.05,384,,empirical_source,5,composite_multiview_v3,False,False,False,0.9603960396039604,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.35,0.0041919198362199445,0.0015395275192156975,0.01,False,0.05,128,1.0210014492118213,empirical_source,6,composite_multiview_v3,False,False,False,0.9801980198019802,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.01796180429526343,0.003164129229376078,0.005,False,0.05,128,2.2128682345625577,empirical_source,6,composite_multiview_v3,False,False,False,0.9801980198019802,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.8,0.047718832828197874,0.0038132207221247072,0.005,False,0.05,128,3.8494160892098477,empirical_source,6,composite_multiview_v3,False,False,False,0.9801980198019802,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.4,0.02472128202325979,0.0029032534029025617,0.005,False,0.05,384,,empirical_source,6,composite_multiview_v3,False,False,False,0.9801980198019802,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.35,0.00525411007661465,0.00221621112729403,0.005,False,0.05,128,0.9978331804818941,empirical_source,7,composite_multiview_v3,False,True,True,0.9702970297029703,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.019085581872956454,0.003032493488825876,0.005,False,0.05,128,2.2128682345625577,empirical_source,7,composite_multiview_v3,False,True,True,0.9702970297029703,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.03865022581718012,0.004237337760001117,0.005,False,0.05,128,3.947903726207487,empirical_source,7,composite_multiview_v3,False,True,True,0.9702970297029703,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.4,0.027110181762975666,0.0024402436293181414,0.005,False,0.05,384,,empirical_source,7,composite_multiview_v3,False,True,True,0.9702970297029703,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.4,0.0028918101377963723,0.001998604775047025,0.01,False,0.05,128,1.011009297403033,empirical_source,8,composite_multiview_v3,False,False,False,0.9174917491749175,0.07692307692307693,0.15384615384615385,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.02161144357881914,0.0036086200458584003,0.005,False,0.05,128,2.2128682345625577,empirical_source,8,composite_multiview_v3,False,False,False,0.9174917491749175,0.07692307692307693,0.15384615384615385,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.04862581919228366,0.004476336431096003,0.005,False,0.05,128,3.7876289771537803,empirical_source,8,composite_multiview_v3,False,False,False,0.9174917491749175,0.07692307692307693,0.15384615384615385,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
