stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,cleveland,,v3_mcar_augmentation,v3,5062,4155622069,5.0,0.5635396242141724,0.5635396242141724,0.6712132096290588,0.19068953394889832
outer_final,cleveland,,v3_mcar_augmentation,v3,5062,4155622069,10.0,0.5563092231750488,0.5563092231750488,0.7683668732643127,0.1889227330684662
outer_final,cleveland,,v3_mcar_augmentation,v3,5063,2156306441,5.0,0.585483729839325,0.585483729839325,0.7089745998382568,0.19991716742515564
outer_final,cleveland,,v3_mcar_augmentation,v3,5063,2156306441,10.0,0.5272747278213501,0.5272747278213501,0.6562166213989258,0.17480656504631042
outer_final,cleveland,,v3_mcar_augmentation,v3,5064,520008811,5.0,0.5606631636619568,0.5606631636619568,0.7344422340393066,0.18877214193344116
outer_final,cleveland,,v3_mcar_augmentation,v3,5064,520008811,10.0,0.5236495733261108,0.5236495733261108,0.7206581830978394,0.17387603223323822
outer_final,cleveland,,v3_mcar_augmentation,v3,5065,1901235579,5.0,0.5854926109313965,0.5854926109313965,0.7099496722221375,0.20020316541194916
outer_final,cleveland,,v3_mcar_augmentation,v3,5065,1901235579,10.0,0.5503512024879456,0.5503512024879456,0.7836915254592896,0.1861461102962494
outer_final,cleveland,,v3_mcar_augmentation,v3,5066,1066267692,5.0,0.64423668384552,0.64423668384552,0.6855172514915466,0.22611749172210693
outer_final,cleveland,,v3_mcar_augmentation,v3,5066,1066267692,10.0,0.573047399520874,0.573047399520874,0.6523042917251587,0.19511650502681732
outer_final,cleveland,,v3_mcar_augmentation,v3,5067,4010546126,5.0,0.6161795854568481,0.6161795854568481,0.6985923051834106,0.21339863538742065
outer_final,cleveland,,v3_mcar_augmentation,v3,5067,4010546126,10.0,0.5631125569343567,0.5631125569343567,0.7062798142433167,0.19096407294273376
outer_final,cleveland,,v3_mcar_augmentation,v3,5068,2862957957,5.0,0.5716196298599243,0.5716196298599243,0.657439112663269,0.19306227564811707
outer_final,cleveland,,v3_mcar_augmentation,v3,5068,2862957957,10.0,0.5394793748855591,0.5394793748855591,0.6585525274276733,0.18018338084220886
outer_final,cleveland,,v3_mcar_augmentation,v3,5069,3486466432,5.0,0.6041878461837769,0.6041878461837769,0.6755217909812927,0.20768669247627258
outer_final,cleveland,,v3_mcar_augmentation,v3,5069,3486466432,10.0,0.5301568508148193,0.5301568508148193,0.6769311428070068,0.17703410983085632
outer_final,cleveland,,v3_mcar_augmentation,v3,5070,2141574739,5.0,0.5924403667449951,0.5924403667449951,0.6536134481430054,0.2020176649093628
outer_final,cleveland,,v3_mcar_augmentation,v3,5070,2141574739,10.0,0.5397814512252808,0.5397814512252808,0.6374639272689819,0.1802600622177124
outer_final,cleveland,,v3_mcar_augmentation,v3,5071,2352937413,5.0,0.5631913542747498,0.5631913542747498,0.6685912609100342,0.18965652585029602
outer_final,cleveland,,v3_mcar_augmentation,v3,5071,2352937413,10.0,0.5408225059509277,0.5408225059509277,0.6738935708999634,0.18191014230251312
