outer_target,inner_validation,experiment,variant,parameter_id,seed,epoch,objective,validation_score,mean_group_risk,robust_group_risk,mean_group_brier
cleveland,hungary,v5_site_only_dro,v5_site,0,5062,5.0,0.6448068022727966,0.5656672915995153,0.6229466199874878,0.6238507628440857,0.21634168922901154
cleveland,hungary,v5_site_only_dro,v5_site,0,5062,10.0,0.5948437452316284,0.5305705011549818,0.5734844207763672,0.5806265473365784,0.1957378089427948
cleveland,hungary,v5_site_only_dro,v5_site,0,5062,15.0,0.5651979446411133,0.5412746101707753,0.5416402816772461,0.563096284866333,0.1819368302822113
cleveland,hungary,v5_site_only_dro,v5_site,0,5062,20.0,0.5206916332244873,0.5355216729215981,0.49997225403785706,0.5168070197105408,0.1651063710451126
cleveland,hungary,v5_site_only_dro,v5_site,0,5062,25.0,0.5036197900772095,0.5509066171744976,0.48316478729248047,0.5016857981681824,0.15824763476848602
cleveland,hungary,v5_site_only_dro,v5_site,0,5062,30.0,0.4733082950115204,0.5496643652415933,0.45124351978302,0.4811372458934784,0.14591336250305176
cleveland,hungary,v5_site_only_dro,v5_site,0,5062,35.0,0.4488837718963623,0.5792056495851671,0.428739458322525,0.45413151383399963,0.13796313107013702
cleveland,hungary,v5_site_only_dro,v5_site,0,5062,40.0,0.4443255066871643,0.5997965790441563,0.4252062737941742,0.44667720794677734,0.13751520216464996
cleveland,hungary,v5_site_only_dro,v5_site,0,5062,45.0,0.4092068672180176,0.6322158852911279,0.3887321949005127,0.421342134475708,0.12322190403938293
cleveland,hungary,v5_site_only_dro,v5_site,0,5062,50.0,0.39740586280822754,0.6479609747410059,0.3778142035007477,0.40838608145713806,0.11948683857917786
cleveland,switzerland,v5_site_only_dro,v5_site,0,5062,5.0,0.5845715403556824,0.6747563091268445,0.5635575652122498,0.5716515183448792,0.18990512192249298
cleveland,switzerland,v5_site_only_dro,v5_site,0,5062,10.0,0.5603031516075134,0.6867761562869314,0.5376101732254028,0.5562570095062256,0.18031299114227295
cleveland,switzerland,v5_site_only_dro,v5_site,0,5062,15.0,0.5344873666763306,0.6530781793100853,0.5137889981269836,0.5284221172332764,0.17040057480335236
cleveland,switzerland,v5_site_only_dro,v5_site,0,5062,20.0,0.513763427734375,0.6527497207193795,0.4939987361431122,0.5077319741249084,0.16331365704536438
cleveland,switzerland,v5_site_only_dro,v5_site,0,5062,25.0,0.5062748193740845,0.6637232829507882,0.4868736267089844,0.5003220438957214,0.16039088368415833
cleveland,switzerland,v5_site_only_dro,v5_site,0,5062,30.0,0.49077707529067993,0.6682925709072234,0.47126325964927673,0.4874655306339264,0.154632568359375
cleveland,switzerland,v5_site_only_dro,v5_site,0,5062,35.0,0.47390642762184143,0.6929489920521194,0.45544078946113586,0.46960902214050293,0.1492357850074768
cleveland,switzerland,v5_site_only_dro,v5_site,0,5062,40.0,0.4650304317474365,0.6765185183162146,0.44794762134552,0.4579330384731293,0.1458643674850464
cleveland,switzerland,v5_site_only_dro,v5_site,0,5062,45.0,0.45625776052474976,0.6889453433349129,0.4395428001880646,0.44918838143348694,0.1430356502532959
cleveland,switzerland,v5_site_only_dro,v5_site,0,5062,50.0,0.44214269518852234,0.6983929111867822,0.42702117562294006,0.4321640133857727,0.13835807144641876
cleveland,switzerland,v5_site_only_dro,v5_site,0,5062,55.0,0.42771992087364197,0.7186868947173966,0.41343316435813904,0.4172039031982422,0.13344071805477142
cleveland,switzerland,v5_site_only_dro,v5_site,0,5062,60.0,0.41038158535957336,0.7162574842293543,0.39699405431747437,0.3996453285217285,0.12724730372428894
cleveland,va_long_beach,v5_site_only_dro,v5_site,0,5062,5.0,0.5331804752349854,0.6936857675310129,0.5148638486862183,0.5201813578605652,0.16987279057502747
cleveland,va_long_beach,v5_site_only_dro,v5_site,0,5062,10.0,0.46177417039871216,0.785402838684788,0.4473978579044342,0.4474737346172333,0.1435733586549759
cleveland,va_long_beach,v5_site_only_dro,v5_site,0,5062,15.0,0.44591403007507324,0.8082611916343819,0.43197980523109436,0.43282338976860046,0.13723313808441162
cleveland,va_long_beach,v5_site_only_dro,v5_site,0,5062,20.0,0.39809855818748474,0.8216366818673855,0.38488680124282837,0.38968807458877563,0.12011424452066422
cleveland,va_long_beach,v5_site_only_dro,v5_site,0,5062,25.0,0.3890794813632965,0.8415285680776422,0.37611499428749084,0.3816083073616028,0.11591168493032455
cleveland,va_long_beach,v5_site_only_dro,v5_site,0,5062,30.0,0.37292858958244324,0.925202753407659,0.3603488802909851,0.36599722504615784,0.11167637258768082
cleveland,va_long_beach,v5_site_only_dro,v5_site,0,5062,35.0,0.3490518033504486,0.9566512641466169,0.33612197637557983,0.3467883765697479,0.10263238102197647
cleveland,va_long_beach,v5_site_only_dro,v5_site,0,5062,40.0,0.3344076871871948,0.963384120797233,0.3206230401992798,0.3369992673397064,0.09690587967634201
cleveland,va_long_beach,v5_site_only_dro,v5_site,0,5062,45.0,0.31738564372062683,1.0105022455210633,0.30378904938697815,0.32139095664024353,0.09196093678474426
cleveland,hungary,v5_site_only_dro,v5_site,1,5062,5.0,0.6443861126899719,0.5495611115153274,0.6221110224723816,0.6246395111083984,0.2164296954870224
cleveland,hungary,v5_site_only_dro,v5_site,1,5062,10.0,0.586067259311676,0.5317601680605094,0.5619392991065979,0.5819007158279419,0.19137565791606903
cleveland,hungary,v5_site_only_dro,v5_site,1,5062,15.0,0.533870279788971,0.5186699186388148,0.5122379064559937,0.5308359265327454,0.16982878744602203
cleveland,hungary,v5_site_only_dro,v5_site,1,5062,20.0,0.4832286238670349,0.5442352133859828,0.46257051825523376,0.48515865206718445,0.15011070668697357
cleveland,hungary,v5_site_only_dro,v5_site,1,5062,25.0,0.45821699500083923,0.6039778954428576,0.4377206861972809,0.46321892738342285,0.1412174254655838
cleveland,hungary,v5_site_only_dro,v5_site,1,5062,30.0,0.4154963195323944,0.6038831922843548,0.3951033651828766,0.4264879822731018,0.12546800076961517
cleveland,hungary,v5_site_only_dro,v5_site,1,5062,35.0,0.4034157395362854,0.6246787352584633,0.38424456119537354,0.41195136308670044,0.12244466692209244
cleveland,hungary,v5_site_only_dro,v5_site,1,5062,40.0,0.38281503319740295,0.6474347701262566,0.36487582325935364,0.3905956447124481,0.11509226262569427
cleveland,hungary,v5_site_only_dro,v5_site,1,5062,45.0,0.3470691740512848,0.6682828291184564,0.3302129805088043,0.3568492829799652,0.10197091847658157
cleveland,hungary,v5_site_only_dro,v5_site,1,5062,50.0,0.3284080922603607,0.6713893236889796,0.31296321749687195,0.3360527455806732,0.09672484546899796
