contrast_id,method,family_size,alpha,bonferroni_percentile_ci_lower,bonferroni_percentile_ci_upper,simultaneous_max_error_critical_value,simultaneous_max_error_ci_lower,simultaneous_max_error_ci_upper
ten_seed_family_vs_random_forest,psmask10:v0_pooled_erm,10,0.05,-0.020324189978874793,0.053171744106301384,0.04586209172768908,-0.03220539935424861,0.059518784101129554
ten_seed_family_vs_random_forest,psmask10:v1_site_balanced,10,0.05,0.004308620926109522,0.1320684335895171,0.04586209172768908,0.015130733492941792,0.10685491694831996
ten_seed_family_vs_random_forest,psmask10:v2_prior_separated,10,0.05,-0.0538186736693375,0.016917730387960517,0.04586209172768908,-0.06789103946758969,0.023833143987788477
ten_seed_family_vs_random_forest,psmask10:v3_mcar_augmentation,10,0.05,-0.05785112334745226,0.034629909564826596,0.04586209172768908,-0.0647778997373203,0.026946283718057865
ten_seed_family_vs_random_forest,psmask10:v4_structured_policy_bank,10,0.05,-0.05729044295348497,0.008648396433178697,0.04586209172768908,-0.07086702136552826,0.020857162089849904
ten_seed_family_vs_random_forest,psmask10:v5_mask_only_dro,10,0.05,-0.05397888908838369,0.029250050278763495,0.04586209172768908,-0.06013551485289505,0.03158866860248312
ten_seed_family_vs_random_forest,psmask10:v5_site_mask_dro,10,0.05,-0.04415686808542738,0.04065297659278877,0.04586209172768908,-0.049205771656287714,0.04251841179909045
ten_seed_family_vs_random_forest,psmask10:v5_site_mask_dro_brier,10,0.05,-0.05335051179611397,0.0292487944356101,0.04586209172768908,-0.06051276601620016,0.031211417439178005
ten_seed_family_vs_random_forest,psmask10:v5_site_only_dro,10,0.05,-0.04138586660582886,0.04235956040325263,0.04586209172768908,-0.044324151251748725,0.04740003220362944
ten_seed_family_vs_random_forest,psmask10:v7_ane,10,0.05,-0.02964732735365479,0.05026270070174665,0.04586209172768908,-0.0488212491185256,0.04290293433685256
