outer_target,inner_validation,experiment,variant,parameter_id,seed,epoch,objective,validation_score,natural_supervised_risk,masked_supervised_risk,consistency_risk,confident_fraction
cleveland,hungary,mirrams_equation9,mirrams,0,5062,5.0,7.720111846923828,0.876134897086801,0.4789971709251404,0.48274096846580505,0.0,0.0
cleveland,hungary,mirrams_equation9,mirrams,0,5062,10.0,7.4400739669799805,0.9866900793064401,0.4547683596611023,0.4656870663166046,0.0,0.0
cleveland,hungary,mirrams_equation9,mirrams,0,5062,15.0,6.897841930389404,0.9415905205461759,0.43947634100914,0.4305576980113983,0.0,0.0
cleveland,hungary,mirrams_equation9,mirrams,0,5062,20.0,6.65697717666626,0.8251455405629683,0.42669713497161865,0.4153519868850708,0.0,0.0
cleveland,hungary,mirrams_equation9,mirrams,0,5062,25.0,6.5366530418396,0.756743903146154,0.40898609161376953,0.40851113200187683,0.0,0.0
cleveland,hungary,mirrams_equation9,mirrams,0,5062,30.0,7.251201152801514,0.7581281980067731,0.3948890268802643,0.3935585618019104,0.06352891027927399,0.0030959751456975937
cleveland,hungary,mirrams_equation9,mirrams,0,5062,35.0,7.349668025970459,0.8083875835726011,0.39392727613449097,0.38776126503944397,0.07595478743314743,0.08049535751342773
cleveland,hungary,mirrams_equation9,mirrams,0,5062,40.0,7.442690849304199,0.8256512119581316,0.39637863636016846,0.41845569014549255,0.05129847303032875,0.27863776683807373
cleveland,hungary,mirrams_equation9,mirrams,0,5062,45.0,7.119347095489502,0.7444010614170768,0.38865745067596436,0.3999190032482147,0.048793647438287735,0.37151700258255005
cleveland,hungary,mirrams_equation9,mirrams,0,5062,50.0,6.760928153991699,0.6950635895793968,0.3759048283100128,0.3776874244213104,0.047980789095163345,0.396284818649292
cleveland,hungary,mirrams_equation9,mirrams,0,5062,55.0,6.8830413818359375,0.7034095560945184,0.3747217357158661,0.390239417552948,0.043648552149534225,0.45820432901382446
cleveland,hungary,mirrams_equation9,mirrams,0,5062,60.0,7.074609279632568,0.6907985084147681,0.3608294427394867,0.39925655722618103,0.04832879453897476,0.5263157486915588
cleveland,hungary,mirrams_equation9,mirrams,0,5062,65.0,6.616698741912842,0.6576366825737522,0.3614060878753662,0.3748454451560974,0.04217405989766121,0.5077399015426636
cleveland,hungary,mirrams_equation9,mirrams,0,5062,70.0,6.6119794845581055,0.6525230833851708,0.35118982195854187,0.3732493817806244,0.04413660615682602,0.5201238393783569
cleveland,hungary,mirrams_equation9,mirrams,0,5062,75.0,6.652393817901611,0.6568677874746971,0.32548683881759644,0.37482360005378723,0.04697020351886749,0.5108358860015869
cleveland,hungary,mirrams_equation9,mirrams,0,5062,80.0,6.422642707824707,0.6745782887471105,0.3477163314819336,0.36272305250167847,0.042272016406059265,0.5510835647583008
cleveland,hungary,mirrams_equation9,mirrams,0,5062,85.0,6.6387505531311035,0.6756735004531784,0.36304372549057007,0.3715886175632477,0.046791836619377136,0.5665634274482727
cleveland,hungary,mirrams_equation9,mirrams,0,5062,90.0,6.707102298736572,0.6545026367548914,0.3425459563732147,0.37332913279533386,0.05097462236881256,0.5417956709861755
cleveland,hungary,mirrams_equation9,mirrams,0,5062,95.0,5.931360244750977,0.6567394797438948,0.3315761089324951,0.33063772320747375,0.04268123582005501,0.5572755336761475
cleveland,hungary,mirrams_equation9,mirrams,0,5062,100.0,6.57877779006958,0.6481244566960092,0.3378145694732666,0.3637312054634094,0.052333034574985504,0.5603715181350708
cleveland,hungary,mirrams_equation9,mirrams,0,5062,105.0,6.300199508666992,0.6399210576149286,0.3347429037094116,0.35446327924728394,0.04323380067944527,0.5603715181350708
cleveland,hungary,mirrams_equation9,mirrams,0,5062,110.0,6.253444194793701,0.6467749702356267,0.3215039074420929,0.35569679737091064,0.0397658534348011,0.5665634274482727
cleveland,hungary,mirrams_equation9,mirrams,0,5062,115.0,6.0090250968933105,0.6512773957869145,0.3236619234085083,0.33513006567955017,0.043894167989492416,0.569659411907196
cleveland,hungary,mirrams_equation9,mirrams,0,5062,120.0,5.923084259033203,0.6500003466344004,0.3144594430923462,0.3335997760295868,0.04030853509902954,0.5789473652839661
cleveland,hungary,mirrams_equation9,mirrams,0,5063,5.0,7.844925403594971,0.8826070736001969,0.4818311631679535,0.49087294936180115,0.0,0.0
cleveland,hungary,mirrams_equation9,mirrams,0,5063,10.0,7.306887626647949,0.9973621866620872,0.4573371708393097,0.4566366672515869,0.0,0.0
cleveland,hungary,mirrams_equation9,mirrams,0,5063,15.0,7.2703375816345215,0.9722975151823361,0.4533597230911255,0.45446521043777466,0.0,0.0
cleveland,hungary,mirrams_equation9,mirrams,0,5063,20.0,7.074807643890381,0.8738513349082984,0.43542465567588806,0.4426255226135254,0.0,0.0
cleveland,hungary,mirrams_equation9,mirrams,0,5063,25.0,6.879698753356934,0.7791841083613945,0.4239259958267212,0.4303848445415497,0.0,0.0
cleveland,hungary,mirrams_equation9,mirrams,0,5063,30.0,6.655146598815918,0.7254714766214361,0.4074054956436157,0.41651609539985657,0.0,0.0
cleveland,hungary,mirrams_equation9,mirrams,0,5063,35.0,7.808487415313721,0.6852693984989705,0.4059349000453949,0.4204200506210327,0.07308345288038254,0.0030959751456975937
cleveland,hungary,mirrams_equation9,mirrams,0,5063,40.0,7.323578834533691,0.6710104373733473,0.3922017514705658,0.4074127674102783,0.05467899516224861,0.03405572474002838
cleveland,hungary,mirrams_equation9,mirrams,0,5063,45.0,7.172365665435791,0.6479124670009351,0.39483222365379333,0.3944529592990875,0.05738260969519615,0.20743033289909363
cleveland,hungary,mirrams_equation9,mirrams,0,5063,50.0,7.2776384353637695,0.6020044389340067,0.39023885130882263,0.4067041575908661,0.05245581641793251,0.3560371398925781
cleveland,hungary,mirrams_equation9,mirrams,0,5063,55.0,7.140657901763916,0.5812161420625134,0.3711504340171814,0.40292811393737793,0.04837239161133766,0.3900928795337677
cleveland,hungary,mirrams_equation9,mirrams,0,5063,60.0,6.90359354019165,0.5908762712371516,0.38321933150291443,0.3871556520462036,0.04753595590591431,0.4613002836704254
cleveland,hungary,mirrams_equation9,mirrams,0,5063,65.0,6.706249713897705,0.6151723035106343,0.3827223479747772,0.3733401596546173,0.04822833091020584,0.5139318704605103
cleveland,hungary,mirrams_equation9,mirrams,0,5063,70.0,7.238266944885254,0.6157770370529096,0.3784900903701782,0.409953773021698,0.04736468195915222,0.48606809973716736
cleveland,hungary,mirrams_equation9,mirrams,0,5063,75.0,6.616889476776123,0.6387103299282053,0.3657980263233185,0.3747575879096985,0.04198184981942177,0.5356037020683289
cleveland,hungary,mirrams_equation9,mirrams,0,5063,80.0,6.441452980041504,0.643645003530413,0.37979716062545776,0.36780157685279846,0.03630883991718292,0.5356037020683289
cleveland,hungary,mirrams_equation9,mirrams,0,5063,85.0,6.151767253875732,0.6214409721348704,0.36188676953315735,0.34718385338783264,0.03880815580487251,0.5325077176094055
cleveland,hungary,mirrams_equation9,mirrams,0,5063,90.0,6.720544815063477,0.620682587011854,0.35394740104675293,0.3818846046924591,0.04255524277687073,0.5417956709861755
cleveland,hungary,mirrams_equation9,mirrams,0,5063,95.0,6.410282611846924,0.64239494358667,0.3443935811519623,0.36713454127311707,0.03725804388523102,0.5541795492172241
