accuracy,precision,recall,f1,auc,outer_fold,search_time,best_params
0.8586956521739131,0.8627450980392157,0.88,0.8712871287128713,0.9119047619047619,1,0.21030020713806152,"{""clf__C"": 0.01, ""clf__penalty"": ""l2""}"
0.8913043478260869,0.8596491228070176,0.9607843137254902,0.9074074074074074,0.9296987087517934,2,0.08184385299682617,"{""clf__C"": 0.01, ""clf__penalty"": ""l2""}"
0.8043478260869565,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.882831181252989,3,0.08034276962280273,"{""clf__C"": 0.1, ""clf__penalty"": ""l2""}"
0.8043478260869565,0.8666666666666667,0.7647058823529411,0.8125,0.9253945480631277,4,0.07747650146484375,"{""clf__C"": 0.1, ""clf__penalty"": ""l2""}"
0.8043478260869565,0.8113207547169812,0.8431372549019608,0.8269230769230769,0.8895265423242468,5,0.07592129707336426,"{""clf__C"": 1, ""clf__penalty"": ""l2""}"
0.8695652173913043,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9053084648493545,6,0.06894350051879883,"{""clf__C"": 0.1, ""clf__penalty"": ""l2""}"
0.7391304347826086,0.7755102040816326,0.7450980392156863,0.76,0.8589191774270684,7,0.07819962501525879,"{""clf__C"": 0.1, ""clf__penalty"": ""l2""}"
0.7934782608695652,0.82,0.803921568627451,0.8118811881188119,0.8531802965088474,8,0.07776093482971191,"{""clf__C"": 10, ""clf__penalty"": ""l2""}"
0.7934782608695652,0.7857142857142857,0.8627450980392157,0.822429906542056,0.8622668579626973,9,0.07635045051574707,"{""clf__C"": 0.1, ""clf__penalty"": ""l2""}"
0.8695652173913043,0.8545454545454545,0.9215686274509803,0.8867924528301887,0.937350549976088,10,0.0657956600189209,"{""clf__C"": 0.1, ""clf__penalty"": ""l2""}"
