revision,mechanism,batch_size,nominal_latent_prevalence,acceptance_rate,realized_latent_prevalence,episodes
v1_learned_mean,conditional_scale,512,0.35,1.0,0.3548828125,10
v1_learned_mean,conditional_scale,512,0.4,1.0,0.398046875,10
v1_learned_mean,conditional_scale,512,0.45,1.0,0.4443359375,10
v1_learned_mean,conditional_scale,512,0.5,1.0,0.5060546875,10
v1_learned_mean,conditional_scale,512,0.55,1.0,0.5630859375,10
v1_learned_mean,conditional_scale,512,0.6,0.9,0.5951171875,10
v1_learned_mean,conditional_scale,512,0.65,0.9,0.6509765625,10
v1_learned_mean,conditional_scale,512,0.7,1.0,0.7009765625,10
v1_learned_mean,conditional_scale,512,0.75,1.0,0.7375,10
v1_learned_mean,conditional_scale,512,0.8,1.0,0.8048828125,10
v1_learned_mean,conditional_scale,512,0.85,1.0,0.8490234375,10
v1_learned_mean,conditional_scale,512,0.9,1.0,0.894921875,10
v1_learned_mean,conditional_scale,512,0.95,1.0,0.9470703125,10
v1_learned_mean,conditional_translation,32,0.05,1.0,0.05625,10
v1_learned_mean,conditional_translation,32,0.1,0.95,0.115625,20
v1_learned_mean,conditional_translation,32,0.15,1.0,0.15625,10
v1_learned_mean,conditional_translation,32,0.2,1.0,0.203125,10
v1_learned_mean,conditional_translation,32,0.25,1.0,0.246875,10
v1_learned_mean,conditional_translation,32,0.3,0.9,0.328125,10
v1_learned_mean,conditional_translation,32,0.35,1.0,0.296875,10
v1_learned_mean,conditional_translation,32,0.4,0.9,0.390625,10
v1_learned_mean,conditional_translation,32,0.45,0.8,0.440625,10
v1_learned_mean,conditional_translation,32,0.5,0.8,0.528125,10
v1_learned_mean,conditional_translation,32,0.55,0.8,0.50625,10
v1_learned_mean,conditional_translation,32,0.6,0.6,0.6375,10
v1_learned_mean,conditional_translation,32,0.65,0.5,0.65,10
v1_learned_mean,conditional_translation,32,0.7,0.7,0.69375,10
v1_learned_mean,conditional_translation,32,0.75,0.3,0.790625,10
v1_learned_mean,conditional_translation,32,0.8,0.1,0.815625,10
v1_learned_mean,conditional_translation,32,0.85,0.2,0.840625,10
v1_learned_mean,conditional_translation,32,0.9,0.1,0.89375,10
v1_learned_mean,conditional_translation,32,0.95,0.2,0.953125,10
v1_learned_mean,conditional_translation,64,0.05,1.0,0.0640625,10
v1_learned_mean,conditional_translation,64,0.1,1.0,0.1171875,20
v1_learned_mean,conditional_translation,64,0.15,1.0,0.1625,10
v1_learned_mean,conditional_translation,64,0.2,0.9,0.20625,10
v1_learned_mean,conditional_translation,64,0.25,0.9,0.23125,10
v1_learned_mean,conditional_translation,64,0.3,0.9,0.3265625,10
v1_learned_mean,conditional_translation,64,0.35,0.7,0.3078125,10
v1_learned_mean,conditional_translation,64,0.4,0.8,0.41875,10
v1_learned_mean,conditional_translation,64,0.45,0.7,0.428125,10
v1_learned_mean,conditional_translation,64,0.5,0.5,0.4953125,10
v1_learned_mean,conditional_translation,64,0.55,0.5,0.5625,10
v1_learned_mean,conditional_translation,64,0.6,0.3,0.6109375,10
v1_learned_mean,conditional_translation,64,0.65,0.4,0.6453125,10
v1_learned_mean,conditional_translation,64,0.7,0.2,0.7046875,10
v1_learned_mean,conditional_translation,64,0.75,0.2,0.7609375,10
v1_learned_mean,conditional_translation,64,0.8,0.1,0.7890625,10
v1_learned_mean,conditional_translation,64,0.85,0.0,0.853125,10
v1_learned_mean,conditional_translation,64,0.9,0.0,0.896875,10
v1_learned_mean,conditional_translation,64,0.95,0.0,0.95,10
v1_learned_mean,conditional_translation,128,0.05,1.0,0.05,10
v1_learned_mean,conditional_translation,128,0.1,0.9,0.10625,20
v1_learned_mean,conditional_translation,128,0.15,1.0,0.14140625,10
v1_learned_mean,conditional_translation,128,0.2,0.9,0.20234375,10
v1_learned_mean,conditional_translation,128,0.25,0.6,0.25390625,10
v1_learned_mean,conditional_translation,128,0.3,0.5,0.309375,10
v1_learned_mean,conditional_translation,128,0.35,0.8,0.3078125,10
v1_learned_mean,conditional_translation,128,0.4,0.3,0.40546875,10
v1_learned_mean,conditional_translation,128,0.45,0.1,0.44609375,10
v1_learned_mean,conditional_translation,128,0.5,0.1,0.51171875,10
v1_learned_mean,conditional_translation,128,0.55,0.0,0.54609375,10
v1_learned_mean,conditional_translation,128,0.6,0.0,0.6,10
v1_learned_mean,conditional_translation,128,0.65,0.0,0.6390625,10
v1_learned_mean,conditional_translation,128,0.7,0.0,0.70546875,10
v1_learned_mean,conditional_translation,128,0.75,0.0,0.7390625,10
v1_learned_mean,conditional_translation,128,0.8,0.0,0.7921875,10
v1_learned_mean,conditional_translation,128,0.85,0.0,0.84765625,10
v1_learned_mean,conditional_translation,128,0.9,0.0,0.89375,10
v1_learned_mean,conditional_translation,128,0.95,0.0,0.95625,10
v1_learned_mean,conditional_translation,256,0.05,1.0,0.046875,10
v1_learned_mean,conditional_translation,256,0.1,0.95,0.1005859375,20
v1_learned_mean,conditional_translation,256,0.15,0.9,0.14453125,10
v1_learned_mean,conditional_translation,256,0.2,0.6,0.19453125,10
v1_learned_mean,conditional_translation,256,0.25,0.6,0.2515625,10
v1_learned_mean,conditional_translation,256,0.3,0.2,0.30078125,10
v1_learned_mean,conditional_translation,256,0.35,0.4,0.334765625,10
v1_learned_mean,conditional_translation,256,0.4,0.1,0.39296875,10
v1_learned_mean,conditional_translation,256,0.45,0.0,0.430859375,10
v1_learned_mean,conditional_translation,256,0.5,0.0,0.50078125,10
v1_learned_mean,conditional_translation,256,0.55,0.0,0.53984375,10
v1_learned_mean,conditional_translation,256,0.6,0.0,0.61875,10
v1_learned_mean,conditional_translation,256,0.65,0.0,0.618359375,10
v1_learned_mean,conditional_translation,256,0.7,0.0,0.694921875,10
v1_learned_mean,conditional_translation,256,0.75,0.0,0.755078125,10
v1_learned_mean,conditional_translation,256,0.8,0.0,0.791015625,10
v1_learned_mean,conditional_translation,256,0.85,0.0,0.848828125,10
v1_learned_mean,conditional_translation,256,0.9,0.0,0.90390625,10
v1_learned_mean,conditional_translation,256,0.95,0.0,0.94921875,10
v1_learned_mean,conditional_translation,512,0.05,1.0,0.05625,10
v1_learned_mean,conditional_translation,512,0.1,1.0,0.0986328125,20
v1_learned_mean,conditional_translation,512,0.15,0.7,0.1556640625,10
v1_learned_mean,conditional_translation,512,0.2,0.5,0.198828125,10
v1_learned_mean,conditional_translation,512,0.25,0.4,0.253515625,10
v1_learned_mean,conditional_translation,512,0.3,0.0,0.295703125,10
v1_learned_mean,conditional_translation,512,0.35,0.0,0.342578125,10
