method,track,outer_target,policy,mask_replicate,mean_observed_fraction,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mar_age_sex_30,8,0.7524752475247524,303.0,0.45874587458745875,0.8204948236532725,0.7852339555070451,0.5196458405398497,0.5239445463859229,0.17117624403687773,0.17265336945651158,0.7524752475247525,0.7510528162835586,0.7311827956989247,0.7285714285714285,0.7338129496402878,0.6762589928057554,0.0012735669683565686,1.1143897728027725,0.1475792368100458
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mar_age_sex_30,9,0.7514597613607514,303.0,0.45874587458745875,0.8162835585190384,0.802009617728571,0.526683137410047,0.5314549525900842,0.17369882708815026,0.17532548468554876,0.7491749174917491,0.7480040357957536,0.7285714285714285,0.723404255319149,0.7338129496402878,0.6906474820143885,-0.011205668851544313,1.0872956360344428,0.15750162313210253
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_10,0,0.9030210713379031,303.0,0.45874587458745875,0.8148798034742938,0.8070937154623088,0.530900845098687,0.5337231942320464,0.17557916997709103,0.17643335816622419,0.7326732673267327,0.7344051587997894,0.7216494845360825,0.6907894736842105,0.7553956834532374,0.697841726618705,-0.09920294577980471,1.0734720474109503,0.15958358242789894
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_10,1,0.8959126681898959,303.0,0.45874587458745875,0.8212844358659414,0.7956197854896899,0.5226352408147218,0.5253790106803669,0.17081787094372317,0.17164825752462523,0.768976897689769,0.7673934023512897,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7338129496402878,-0.09638966090891248,1.1235945987390903,0.16048253498378684
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_10,2,0.8964204112718965,303.0,0.45874587458745875,0.8153184769257763,0.7991607772976422,0.5304632469069605,0.5326392815828642,0.17502138078902746,0.17561768387888818,0.7458745874587459,0.7444069134935953,0.7240143369175627,0.7214285714285714,0.7266187050359713,0.7122302158273381,-0.12341652466257154,1.0804338478882989,0.16328659805608448
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_10,3,0.9014978420919012,303.0,0.45874587458745875,0.8067204772767151,0.7759563819457093,0.5361010885140797,0.5381072807280465,0.17755441715361736,0.1781578413691016,0.7425742574257426,0.7413581330057906,0.7214285714285714,0.7163120567375887,0.7266187050359713,0.7050359712230215,-0.11517603991745048,1.061555982027172,0.1667784588108409
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_10,4,0.9040365575019038,303.0,0.45874587458745875,0.8167660993156695,0.8100061073981691,0.5251029948604168,0.5289789729550938,0.17364605845002234,0.17497687019288927,0.7425742574257426,0.7413581330057906,0.7214285714285714,0.7163120567375887,0.7266187050359713,0.697841726618705,-0.060680064987220006,1.071579284520347,0.15282854779801092
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_10,5,0.8959126681898959,303.0,0.45874587458745875,0.8118968240042113,0.7888092425567391,0.5293195831040114,0.5330832017644748,0.17394895408718414,0.1752526482309137,0.7392739273927392,0.7361159852605721,0.7106227106227107,0.7238805970149254,0.697841726618705,0.697841726618705,-0.06618518514782142,1.0601973531583693,0.16854946518701813
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_10,6,0.9032749428789032,303.0,0.45874587458745875,0.8173802421477452,0.7863871073759375,0.5251121529133274,0.5276308574140753,0.173074618793872,0.1739103058596146,0.7425742574257426,0.7413581330057906,0.7214285714285714,0.7163120567375887,0.7266187050359713,0.7050359712230215,-0.0865499548871189,1.1085332941610093,0.15601631807772282
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_10,7,0.9047981721249048,303.0,0.45874587458745875,0.8158887524127039,0.7913156505864002,0.5265405153197616,0.527964950636232,0.17398530973813314,0.17432136808508894,0.7458745874587459,0.7449552553079488,0.7259786476868327,0.7183098591549296,0.7338129496402878,0.7266187050359713,-0.12625163533906358,1.107695336425734,0.1542807514041532
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_10,8,0.8882965219598882,303.0,0.45874587458745875,0.8028162835585191,0.7834541738947789,0.5433662551152157,0.5464971667332101,0.17985345796308172,0.1808358337654409,0.7326732673267327,0.7322117915423758,0.7137809187279152,0.7013888888888888,0.7266187050359713,0.6906474820143885,-0.09678194855447632,1.034532261694214,0.17666258860679038
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_10,9,0.8943894389438944,303.0,0.45874587458745875,0.8150114055097386,0.7984882223046922,0.5286102973437831,0.5321398084319584,0.17474340009265232,0.17593637833441433,0.7392739273927392,0.7377610107036322,0.7168458781362007,0.7142857142857143,0.7194244604316546,0.6906474820143885,-0.06977286196583027,1.0617533215133872,0.15737516498552173
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_30,0,0.6956080223406954,303.0,0.45874587458745875,0.7844797332865415,0.7614302050614881,0.5594007999296637,0.5648075181114758,0.18770147555279296,0.18972494070167373,0.735973597359736,0.7319705211440604,0.7037037037037037,0.7251908396946565,0.6834532374100719,0.6258992805755396,-0.018899054764258353,1.0006610666018982,0.18862325210350903
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_30,1,0.7062706270627063,303.0,0.45874587458745875,0.8099666608176873,0.7889571344352698,0.5303747326428524,0.5342294397622687,0.17593861558990903,0.1774212583851502,0.7458745874587459,0.743858571679242,0.7220216606498195,0.7246376811594203,0.7194244604316546,0.6546762589928058,-0.04951803771974038,1.1026434597530572,0.15516373356481986
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_30,2,0.6984006092916984,303.0,0.45874587458745875,0.7977276715213194,0.7720040058151554,0.544563155675119,0.5450751538670664,0.18397175852243572,0.1840983621123562,0.7128712871287128,0.7122740831724863,0.6925795053003534,0.6805555555555556,0.7050359712230215,0.6474820143884892,-0.14977413632012723,1.1303453460032171,0.15307832964192122
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_30,3,0.6963696369636964,303.0,0.45874587458745875,0.8143533953325144,0.7940835044881935,0.5255965137933158,0.5288394256367915,0.1729271926092754,0.17408720511987166,0.7524752475247525,0.7505044744692051,0.7292418772563177,0.7318840579710145,0.7266187050359713,0.7122302158273381,-0.07017947086729377,1.1575830348187632,0.15879086983452667
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_30,4,0.6994160954556994,303.0,0.45874587458745875,0.7839533251447621,0.7599777061375728,0.5597193136062452,0.5627283151441714,0.18857191787649005,0.18970553030096965,0.7326732673267327,0.7300184242849623,0.7054545454545454,0.7132352941176471,0.697841726618705,0.6187050359712231,-0.08800842524948352,1.0116223089580472,0.18159335096485277
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_30,5,0.6966235085046966,303.0,0.45874587458745875,0.7963677838217231,0.7924013964086482,0.5469391290234481,0.5501983064632986,0.18311395390254956,0.1842582566457654,0.7194719471947195,0.7189199859624495,0.6996466431095406,0.6875,0.7122302158273381,0.6474820143884892,-0.08043503613876091,1.0441565065118188,0.17070768488199572
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_30,6,0.6887534907336887,303.0,0.45874587458745875,0.7936918757676784,0.7744488358571773,0.5514573559117353,0.5547206562573228,0.18465561112116446,0.18583227665478863,0.7293729372937293,0.7302596946832778,0.7152777777777778,0.6912751677852349,0.7410071942446043,0.6402877697841727,-0.08983106196228367,1.0355212698071985,0.17638554456137495
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_30,7,0.700939324701701,303.0,0.45874587458745875,0.8125548341814354,0.7819627281358495,0.5321851106091786,0.5332936583738203,0.17639344293628706,0.17660147625532918,0.7557755775577558,0.756294964028777,0.7412587412587412,0.7210884353741497,0.762589928057554,0.6834532374100719,-0.13517938311082123,1.1533594594749388,0.15817177039132066
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_30,8,0.7019548108657019,303.0,0.45874587458745875,0.7953588348833128,0.7872886258056376,0.5476784317511562,0.5522467411986471,0.18227134979595194,0.18404807099482803,0.7260726072607261,0.7222758378662923,0.6937269372693727,0.7121212121212122,0.6762589928057554,0.6402877697841727,-0.05361605474507982,1.0603246523351086,0.1803215589030523
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_30,9,0.6973851231276973,303.0,0.45874587458745875,0.7859712230215827,0.7609237339048325,0.5567498523731569,0.5600129169526107,0.18551440952501266,0.18669037529227248,0.7425742574257426,0.7408097911914371,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.6762589928057554,-0.10388747845519213,0.9973643453305678,0.1975829706333067
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_50,0,0.5026656511805027,303.0,0.45874587458745875,0.7465344797332867,0.7176691394829747,0.5980964890793284,0.6020092139678288,0.20345949717260137,0.20485634126752073,0.6996699669966997,0.6978855939638533,0.6738351254480287,0.6714285714285714,0.6762589928057554,0.5539568345323741,-0.0781529654488959,0.8548831612709087,0.23252468807675025
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_50,1,0.5026656511805027,303.0,0.45874587458745875,0.7466660817687313,0.7225104232786965,0.5926356383642684,0.5969660347323881,0.20367811677528416,0.20533710279002243,0.6666666666666666,0.6646560800140375,0.6379928315412187,0.6357142857142857,0.6402877697841727,0.5611510791366906,-0.05730542222102749,0.8902698889539697,0.20866715539896386
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_50,2,0.5003808073115003,303.0,0.45874587458745875,0.7209159501666959,0.6970671524801328,0.6150946783069656,0.6224977917336203,0.21273540451113562,0.2158401878488305,0.6798679867986799,0.6735611510791366,0.6311787072243346,0.6693548387096774,0.5971223021582733,0.5251798561151079,-0.0032357084104253355,0.7981260130226517,0.23999346341107247
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_50,3,0.5008885503935009,303.0,0.45874587458745875,0.8100982628531321,0.7867083886317494,0.5344697147108677,0.5354337771315262,0.17841219841034375,0.1787178354635635,0.7326732673267327,0.7311151079136691,0.7096774193548387,0.7071428571428572,0.7122302158273381,0.6474820143884892,-0.13671577495672252,1.1892865389807246,0.15183621563680122
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_50,4,0.5019040365575019,303.0,0.45874587458745875,0.7657483769082294,0.7634108513771821,0.5779384857850314,0.5801249470690152,0.1966394391672,0.19740636381008614,0.6864686468646864,0.6867871556413406,0.6689895470383276,0.6486486486486487,0.6906474820143885,0.60431654676259,-0.13238193432873718,0.9995336233737224,0.19910018295585638
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_50,5,0.49885757806549885,303.0,0.45874587458745875,0.765353570801895,0.71307772089651,0.5773222298997027,0.5817989515233082,0.19586592446127415,0.19768702596850382,0.693069306930693,0.6884979821021231,0.654275092936803,0.676923076923077,0.6330935251798561,0.5683453237410072,-0.033414026062033156,0.9746727075518252,0.20151226311001263
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_50,6,0.4826097994414826,303.0,0.45874587458745875,0.7351509036673101,0.7138653293692307,0.6030508292521548,0.6084399284524846,0.20766259442637353,0.20986307354958045,0.6831683168316832,0.6793516406387086,0.6470588235294118,0.6616541353383458,0.6330935251798561,0.5683453237410072,-0.06277963141101255,0.7977114985453931,0.21879624015294352
psmask:v5_site_mask_dro,dg_zero_shot,cleveland,mcar_50,7,0.4978420919014979,303.0,0.45874587458745875,0.7371907352167048,0.7173742371549712,0.6038357549961261,0.6079975586722421,0.20714976126027043,0.20871898106334014,0.6963696369636964,0.6937401298473416,0.6666666666666666,0.6715328467153284,0.6618705035971223,0.5539568345323741,-0.0791549812831974,0.8312987268842452,0.23084413336235407
