experiment,id_natural_balanced_log_loss,ood_natural_balanced_log_loss,ood_minus_id_natural_balanced_log_loss,ood_worst_mask_balanced_log_loss,ood_worst_mask_balanced_brier,id_natural_roc_auc,ood_natural_roc_auc
ps_maskdro,0.6551335210082391,0.6537058513849892,-0.0014276696232499164,0.6722565104422078,0.23982407667444366,0.6525730409638157,0.6600397724945839
ps_maskdro_ane,0.6540176713443975,0.6536164179809163,-0.0004012533634811799,0.6732232092985354,0.24021543227726605,0.6570013614843881,0.6631048002408668
prior_separated,0.6552425446341679,0.6560669514536144,0.0008244068194465104,0.6832039456527548,0.2447964690252792,0.6488143568734395,0.6543322145629608
pooled_erm,0.6878007535411801,0.6821863176737155,-0.005614435867464573,0.7199389929085284,0.25982919473921423,0.6851351406935755,0.6747163848218362
mirrams_equation9,0.7174409576817988,0.7014829238497222,-0.015958033832076612,0.7320082093049771,0.26535745772257996,0.6740190936874015,0.6727305898747162
catboost_environment_class_balanced,0.6567181321219169,0.6636776500011112,0.006959517879194355,0.7757400581233256,0.28014703766923293,0.6574649242957095,0.649144409455792
lightgbm_environment_class_balanced,0.6704629235183666,0.6793699763450372,0.008907052826670592,0.8137750174085301,0.2901148023972819,0.6569347269010395,0.6407930844651278
logistic_pooled,0.6935645480194716,0.7008598135901944,0.007295265570722798,0.8238055514158462,0.29994501386209127,0.6831422730619414,0.6644745057003024
logistic_environment_class_balanced,0.7001632817835759,0.7168910368945041,0.016727755110928166,0.8575450647814118,0.30349645173019046,0.6263527437406681,0.6218748599991906
