outer_target,experiment,variant,policy,mask_replicate,track,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,mirrams_equation9,mirrams,drop_advanced,0,dg_zero_shot,303.0,0.45874587458745875,0.8401473942796982,0.827012567622968,0.5721945200223825,0.5571403492993449,0.19490049902130885,0.18819750535680047,0.6963696369636964,0.7112870679066503,0.7294117647058823,0.6169154228855721,0.8920863309352518,0.7410071942446043,-1.0997936550647642,1.9429462891615008,0.17883756483162178
cleveland,mirrams_equation9,mirrams,drop_exercise,0,dg_zero_shot,303.0,0.45874587458745875,0.7747850500087735,0.7134922776538349,0.6495652542465199,0.6341601429396494,0.22891023263469767,0.22155365614328237,0.6039603960396039,0.6286629233198807,0.6825396825396826,0.5397489539748954,0.9280575539568345,0.5683453237410072,-1.3098024952479637,2.7418703814841954,0.29866928889819344
cleveland,mirrams_equation9,mirrams,drop_routine,0,dg_zero_shot,303.0,0.45874587458745875,0.8390068433058432,0.8114162888561618,0.6081706567748588,0.587885527619664,0.21133346017537896,0.20216235549345626,0.6534653465346535,0.6754913142656607,0.7138964577656676,0.5745614035087719,0.9424460431654677,0.697841726618705,-1.550514225207095,2.2616185990439153,0.2262304155333893
cleveland,mirrams_equation9,mirrams,empirical_source,0,dg_zero_shot,303.0,0.45874587458745875,0.8176873135637831,0.7911045384438625,0.5793473288040076,0.5676568137356481,0.1973661523348877,0.19210525782283006,0.6864686468646864,0.6993990173714687,0.7147147147147147,0.6134020618556701,0.8561151079136691,0.7050359712230215,-0.8329404494552699,1.8654026580244023,0.18831389863152487
cleveland,mirrams_equation9,mirrams,empirical_source,1,dg_zero_shot,303.0,0.45874587458745875,0.8258027724162134,0.8007421850324342,0.575398113595568,0.5631871175170062,0.19538069466197025,0.18990372488848767,0.7095709570957096,0.7218371644148096,0.7333333333333333,0.6335078534031413,0.8705035971223022,0.7194244604316546,-0.8820454711670459,1.8985412426443382,0.18539474850120544
cleveland,mirrams_equation9,mirrams,empirical_source,2,dg_zero_shot,303.0,0.45874587458745875,0.8293121600280752,0.8148455497478102,0.5703915942968056,0.5579422890528463,0.19367261455606735,0.1880985545383651,0.6798679867986799,0.6927531145815056,0.7087087087087087,0.6082474226804123,0.8489208633093526,0.7194244604316546,-0.9053391582074418,1.886611752258576,0.17392897662189621
cleveland,mirrams_equation9,mirrams,empirical_source,3,dg_zero_shot,303.0,0.45874587458745875,0.8207580277241621,0.7860187668802625,0.5751542515274203,0.5638284745659692,0.1951592712818001,0.19008470863065682,0.693069306930693,0.7049482365327251,0.7173252279635258,0.6210526315789474,0.8489208633093526,0.697841726618705,-0.8048495458574866,1.816266926131243,0.18811751160438633
cleveland,mirrams_equation9,mirrams,empirical_source,4,dg_zero_shot,303.0,0.45874587458745875,0.8345762414458677,0.829690248887722,0.5646157175237082,0.5533136487619086,0.19099491672696192,0.18588887224480347,0.7029702970297029,0.7151912616248464,0.7272727272727273,0.6282722513089005,0.8633093525179856,0.6834532374100719,-0.895825869339047,2.058502768329927,0.16046499943340464
cleveland,mirrams_equation9,mirrams,empirical_source,5,dg_zero_shot,303.0,0.45874587458745875,0.8078610282505704,0.7720017278835354,0.5843151557363281,0.5729517969720226,0.19924458681654833,0.19413598223578407,0.7095709570957096,0.7201921389717494,0.7283950617283951,0.6378378378378379,0.8489208633093526,0.6187050359712231,-0.7699533611379551,1.771412762286143,0.19867498792021782
cleveland,mirrams_equation9,mirrams,empirical_source,6,dg_zero_shot,303.0,0.45874587458745875,0.8404544656957361,0.8411498557647272,0.5586155380702037,0.5480267883171852,0.18813924065974755,0.18336485463824675,0.6996699669966997,0.7104974556939814,0.72,0.6290322580645161,0.841726618705036,0.7266187050359713,-0.8671598080067897,2.071430508042856,0.15121589032228264
cleveland,mirrams_equation9,mirrams,empirical_source,7,dg_zero_shot,303.0,0.45874587458745875,0.8093086506404632,0.7968028452749255,0.5806753216772355,0.5695511086919058,0.19834099636456667,0.1933517833132714,0.6864686468646864,0.6988506755571153,0.7129909365558912,0.6145833333333334,0.8489208633093526,0.6906474820143885,-0.7777934730390721,1.8082871468312665,0.1844755702319984
cleveland,mirrams_equation9,mirrams,empirical_source,8,dg_zero_shot,303.0,0.45874587458745875,0.8231707317073171,0.8223327249872157,0.5728259526698543,0.5609844195304912,0.195013846693666,0.1897176022401596,0.7128712871287128,0.7237892612739076,0.7323076923076923,0.6397849462365591,0.8561151079136691,0.6834532374100719,-0.84956083120309,1.8503578991128862,0.17193609981599745
cleveland,mirrams_equation9,mirrams,empirical_source,9,dg_zero_shot,303.0,0.45874587458745875,0.8306281803825232,0.8151833663438931,0.5701151549928508,0.5585968192046669,0.19328750212686513,0.18807957448791995,0.7029702970297029,0.7162879452535533,0.7305389221556886,0.6256410256410256,0.8776978417266187,0.7122302158273381,-0.8734384494747177,1.947135513537346,0.17002888226937268
cleveland,mirrams_equation9,mirrams,mar_age_sex_30,0,dg_zero_shot,303.0,0.45874587458745875,0.8080364976311633,0.7881345966236766,0.6097387409484786,0.5934581987736776,0.21134664836960074,0.20387172485709093,0.6402640264026402,0.658909457799614,0.6929577464788732,0.5694444444444444,0.8848920863309353,0.6762589928057554,-1.171081937701414,2.106624582480155,0.22276734475816876
