outer_target,experiment,variant,policy,mask_replicate,track,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,v2_attention_smoke,v2,drop_advanced,0,dg_zero_shot,303.0,0.45874587458745875,0.7165730829970169,0.6514278467549284,0.6313270665152485,0.6370938833714934,0.21976064518388458,0.22256137756240646,0.6864686468646864,0.6769170029829794,0.6215139442231076,0.6964285714285714,0.5611510791366906,0.5179856115107914,0.14011086968599282,1.934792257326637,0.2647568474807992
cleveland,v2_attention_smoke,v2,drop_exercise,0,dg_zero_shot,303.0,0.45874587458745875,0.7754430601859976,0.775430953417426,0.5956085818607868,0.5927610588273866,0.2032923237496779,0.20200595799055526,0.6996699669966997,0.7006273030356203,0.6851211072664359,0.66,0.7122302158273381,0.6402877697841727,-0.3312093385218075,1.9222316831898834,0.18614654225458838
cleveland,v2_attention_smoke,v2,drop_routine,0,dg_zero_shot,303.0,0.45874587458745875,0.778075100894894,0.7115422357996382,0.607855900370409,0.6097882993501649,0.2080058036080496,0.2089886352461289,0.7656765676567657,0.7599578873486577,0.7300380228136882,0.7741935483870968,0.6906474820143885,0.697841726618705,-0.0032128102918678094,2.4932505010333013,0.23648916468983716
cleveland,v2_attention_smoke,v2,empirical_source,0,dg_zero_shot,303.0,0.45874587458745875,0.7201263379540269,0.688883987863016,0.6259628895363605,0.6291303267487381,0.2171997909274794,0.21875629789932177,0.6864686468646864,0.6807553956834532,0.6415094339622641,0.6746031746031746,0.6115107913669064,0.539568345323741,-0.007428849736799791,1.8264708668163276,0.25474829540489263
cleveland,v2_attention_smoke,v2,mar_age_sex_30,0,dg_zero_shot,303.0,0.45874587458745875,0.7494735918582207,0.7132463097462941,0.6105608285966465,0.6118263620018113,0.2100259225860661,0.21069030191125354,0.7161716171617162,0.7103877873311107,0.6742424242424242,0.712,0.6402877697841727,0.5611510791366906,-0.09158926583558026,1.8501829961446612,0.2237382157134155
cleveland,v2_attention_smoke,v2,mcar_10,0,dg_zero_shot,303.0,0.45874587458745875,0.7506580101772241,0.7188544570149986,0.6083748871707328,0.6121169106287676,0.20870843790286858,0.21056002769281773,0.7293729372937293,0.7220345674679769,0.6821705426356589,0.7394957983193278,0.6330935251798561,0.6402877697841727,0.052691412421606014,2.012178208092282,0.2305098549212142
cleveland,v2_attention_smoke,v2,mcar_30,0,dg_zero_shot,303.0,0.45874587458745875,0.686523951570451,0.6300072550253712,0.6420578055450896,0.6455421486313333,0.22498591379951047,0.22671932915847068,0.6501650165016502,0.6422837339884191,0.5891472868217055,0.6386554621848739,0.5467625899280576,0.4172661870503597,-0.04710022626272912,1.2602356722504438,0.3033689576003737
cleveland,v2_attention_smoke,v2,mcar_50,0,dg_zero_shot,303.0,0.45874587458745875,0.7027110019301631,0.6466881541272667,0.6364788680466702,0.6370341734619085,0.22239122937692546,0.22274579952896167,0.6633663366336634,0.6599622740831725,0.6277372262773723,0.6370370370370371,0.6187050359712231,0.460431654676259,-0.13905858408682376,1.287749706176176,0.2819109016915563
cleveland,v2_attention_smoke,v2,natural,0,dg_zero_shot,303.0,0.45874587458745875,0.7679856115107914,0.7318587187379341,0.6005293906106974,0.604608463060467,0.20485508092482585,0.20684832324616878,0.7392739273927392,0.7306325671170381,0.6877470355731226,0.7631578947368421,0.6258992805755396,0.6330935251798561,0.09518355136535499,2.210207610939322,0.21457326903835505
cleveland,v2_deepsets_smoke,v2,drop_advanced,0,dg_zero_shot,303.0,0.45874587458745875,0.6498508510264958,0.6451532355526208,0.699376202106015,0.692884535466983,0.2531130537138026,0.24987448436161802,0.45874587458745875,0.5,0.6289592760180995,0.45874587458745875,1.0,0.49640287769784175,-3.3237026961191547,19.95682826170026,0.3984637971583835
cleveland,v2_deepsets_smoke,v2,drop_exercise,0,dg_zero_shot,303.0,0.45874587458745875,0.5435164063870854,0.49864464470499037,0.7003541609580041,0.6946379706615342,0.25359734885367297,0.25074423405010615,0.45874587458745875,0.5,0.6289592760180995,0.45874587458745875,1.0,0.17985611510791366,-1.0731724958554782,6.543951128796065,0.5083375904048489
cleveland,v2_deepsets_smoke,v2,drop_routine,0,dg_zero_shot,303.0,0.45874587458745875,0.532439901737147,0.4797042967335198,0.698516334673349,0.6932085554374978,0.25267878965068835,0.25002974480751095,0.45544554455445546,0.49640287769784175,0.6258503401360545,0.45695364238410596,0.9928057553956835,0.17266187050359713,-0.7872518508435856,4.823527445339862,0.5296212325475576
cleveland,v2_deepsets_smoke,v2,empirical_source,0,dg_zero_shot,303.0,0.45874587458745875,0.5623793648008423,0.5691644540695893,0.6986633883554992,0.692989092724751,0.25275567915587954,0.24992386526899046,0.45874587458745875,0.5,0.6289592760180995,0.45874587458745875,1.0,0.2949640287769784,-1.3456218785042466,8.550138646628675,0.45836926330265365
cleveland,v2_deepsets_smoke,v2,mar_age_sex_30,0,dg_zero_shot,303.0,0.45874587458745875,0.5153974381470434,0.5600628375097061,0.7004642036013103,0.6947324144447593,0.2536534340973724,0.2507934121890076,0.45874587458745875,0.5,0.6289592760180995,0.45874587458745875,1.0,0.28776978417266186,-0.48776549387968465,2.3167551558454145,0.4726363908081057
cleveland,v2_deepsets_smoke,v2,mcar_10,0,dg_zero_shot,303.0,0.45874587458745875,0.6519126162484646,0.6661805462815455,0.6983984955884918,0.6918801594321621,0.2526282580172391,0.24937688905039723,0.45874587458745875,0.5,0.6289592760180995,0.45874587458745875,1.0,0.49640287769784175,-2.512527115504972,14.742128735209173,0.38653334475555434
cleveland,v2_deepsets_smoke,v2,mcar_30,0,dg_zero_shot,303.0,0.45874587458745875,0.5680821196701176,0.5680842406688068,0.6992693067981697,0.6934971646807357,0.2530578317978239,0.2501776087416874,0.45874587458745875,0.5,0.6289592760180995,0.45874587458745875,1.0,0.3237410071942446,-0.9503678583814985,5.5929554111645,0.45533536849945105
cleveland,v2_deepsets_smoke,v2,mcar_50,0,dg_zero_shot,303.0,0.45874587458745875,0.5510177224074398,0.5224438834619967,0.6978752460688347,0.6930676441885235,0.25236148742355213,0.24996172329219224,0.46204620462046203,0.5025004386734515,0.6287015945330297,0.46,0.9928057553956835,0.2158273381294964,-0.5932211575776803,3.662598567103617,0.48986755848030117
cleveland,v2_deepsets_smoke,v2,natural,0,dg_zero_shot,303.0,0.45874587458745875,0.710124583260221,0.7139356512296591,0.6981106287820561,0.6912214901080623,0.2524864932368646,0.24905070243741326,0.45874587458745875,0.5,0.6289592760180995,0.45874587458745875,1.0,0.5755395683453237,-4.655058754443988,26.663955143872492,0.35263005135095865
hungary,v2_attention_smoke,v2,drop_advanced,0,dg_zero_shot,294.0,0.36054421768707484,0.7359995985547972,0.6539045928700993,0.6712203373888069,0.6641568102544324,0.23910535829458077,0.23560442199668288,0.6428571428571429,0.6651947009233239,0.6007604562737643,0.5031847133757962,0.7452830188679245,0.5377358490566038,-0.8935584370154525,6.5181776913660965,0.276450021503881
