stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,hungary,,v5_site_only_dro,v5_site,5062,385026385,5.0,0.6461209058761597,0.6199719309806824,0.6261296272277832,0.2153070569038391
outer_final,hungary,,v5_site_only_dro,v5_site,5063,2163553388,5.0,0.591788113117218,0.5685107707977295,0.5739396810531616,0.19205641746520996
outer_final,hungary,,v5_site_only_dro,v5_site,5064,599704617,5.0,0.6264877915382385,0.6029359102249146,0.6066843867301941,0.2074059695005417
outer_final,hungary,,v5_site_only_dro,v5_site,5065,1958227297,5.0,0.6271889209747314,0.6044299006462097,0.6070208549499512,0.20815792679786682
outer_final,hungary,,v5_site_only_dro,v5_site,5066,79376627,5.0,0.6179764270782471,0.5955978035926819,0.5982381701469421,0.20398373901844025
outer_final,hungary,,v5_site_only_dro,v5_site,5067,3332324394,5.0,0.594897449016571,0.5712936520576477,0.576852023601532,0.19435052573680878
outer_final,hungary,,v5_site_only_dro,v5_site,5068,4238726507,5.0,0.6598461270332336,0.6361302733421326,0.638117790222168,0.22225189208984375
outer_final,hungary,,v5_site_only_dro,v5_site,5069,555388668,5.0,0.630879819393158,0.6064663529396057,0.6111757159233093,0.20881493389606476
outer_final,hungary,,v5_site_only_dro,v5_site,5070,3211942842,5.0,0.642475962638855,0.619580864906311,0.6214868426322937,0.21465662121772766
outer_final,hungary,,v5_site_only_dro,v5_site,5071,2111814195,5.0,0.6499810218811035,0.627700686454773,0.6283295750617981,0.21808627247810364
