outer_target,control,training_seed,policy,mask_replicate,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,histgb_natural,5062,natural,0,303.0,0.45874587458745875,0.8356729250745744,0.8116890743561659,0.5083179747211943,0.50481356013146,0.16839027582755214,0.16669185181657775,0.7425742574257426,0.746293209334971,0.738255033557047,0.6918238993710691,0.7913669064748201,0.6762589928057554,-0.26126746924957434,0.8642026727893073,0.12565618844608664
cleveland,histgb_natural,5062,mcar_10,0,303.0,0.45874587458745875,0.827689068257589,0.7909024190343057,0.5287472294991499,0.5203146192453321,0.17599813714137508,0.17255106859605202,0.7326732673267327,0.7398885769433234,0.7395498392282959,0.6686046511627907,0.8273381294964028,0.7122302158273381,-0.41521653383016177,0.875587293418479,0.14389533559018236
cleveland,histgb_natural,5062,mcar_10,1,303.0,0.45874587458745875,0.7962800491314266,0.7639122788861726,0.5761259137068304,0.5660234020176491,0.19430925204815933,0.19011783226100706,0.7194719471947195,0.7271451131777504,0.7284345047923323,0.6551724137931034,0.8201438848920863,0.60431654676259,-0.4137117081793315,0.7535259720818426,0.1704172014029977
cleveland,histgb_natural,5062,mcar_10,2,303.0,0.45874587458745875,0.7979031409019125,0.7720654570676667,0.5759000992384885,0.5655002423598048,0.19653683631675034,0.19230102041694036,0.7029702970297029,0.7102561852956659,0.7115384615384616,0.6416184971098265,0.7985611510791367,0.5755395683453237,-0.4310116329623429,0.7654878424710886,0.16555262603999973
cleveland,histgb_natural,5062,mcar_10,3,303.0,0.45874587458745875,0.7896122126688893,0.7481642900929762,0.5791245064358993,0.5683228721739736,0.19467192631024285,0.19029220218762252,0.7095709570957096,0.716902088085629,0.717948717948718,0.6473988439306358,0.8057553956834532,0.5467625899280576,-0.39923305790392105,0.7477635976429563,0.17558269139852387
cleveland,histgb_natural,5062,mcar_10,4,303.0,0.45874587458745875,0.81395858922618,0.7678371400591796,0.5500852323590745,0.5424313825376701,0.18406487464648238,0.180892945392795,0.7227722772277227,0.7290972100368486,0.7272727272727273,0.6627218934911243,0.8057553956834532,0.6330935251798561,-0.3486041900806076,0.7740064685027813,0.1547562645495144
cleveland,histgb_natural,5062,mcar_10,5,303.0,0.45874587458745875,0.8033426917002983,0.7704271667504169,0.5667536722929933,0.5598738488808663,0.19068728907396676,0.18761229002087737,0.7095709570957096,0.7158054044569222,0.7142857142857143,0.650887573964497,0.7913669064748201,0.6187050359712231,-0.34470159706896664,0.7527271742988074,0.17129211150754092
cleveland,histgb_natural,5062,mcar_10,6,303.0,0.45874587458745875,0.8032110896648536,0.7323577662280025,0.5668078455643746,0.5579620492421111,0.18886120030713316,0.1853022987064081,0.6996699669966997,0.7061107211791542,0.7055016181229773,0.6411764705882353,0.7841726618705036,0.6330935251798561,-0.3568987233722543,0.7500244916242238,0.18648784482887387
cleveland,histgb_natural,5062,mcar_10,7,303.0,0.45874587458745875,0.8252324969292859,0.7792984752508905,0.5303708167625897,0.519776164989128,0.1759671193674571,0.17168957623555192,0.7425742574257426,0.7506799438497982,0.7515923566878981,0.6742857142857143,0.8489208633093526,0.6474820143884892,-0.46013224050543733,0.8802841762496145,0.14942573662569406
cleveland,histgb_natural,5062,mcar_10,8,303.0,0.45874587458745875,0.787638182137217,0.7535437614695716,0.5907108148076728,0.5802466367417047,0.20173915796909037,0.19741665686574714,0.6897689768976898,0.6980610633444464,0.7025316455696202,0.6271186440677966,0.7985611510791367,0.5827338129496403,-0.39893638065082504,0.7163228215630862,0.1741835386400507
