experiment,id_natural_balanced_log_loss,ood_natural_balanced_log_loss,ood_minus_id_natural_balanced_log_loss,ood_worst_mask_balanced_log_loss,ood_worst_mask_balanced_brier,id_natural_roc_auc,ood_natural_roc_auc,method_label
ps_maskdro,0.6551335210082391,0.6537058513849892,-0.0014276696232499,0.6722565104422078,0.2398240766744436,0.6525730409638157,0.6600397724945839,Joint PS-MaskDRO
ps_maskdro_ane,0.6540176713443975,0.6536164179809163,-0.0004012533634811,0.6732232092985354,0.240215432277266,0.6570013614843881,0.6631048002408668,Joint PS-MaskDRO + ANE
prior_separated,0.6552425446341679,0.6560669514536144,0.0008244068194465,0.6832039456527548,0.2447964690252792,0.6488143568734395,0.6543322145629608,Prior-separated
pooled_erm,0.6878007535411801,0.6821863176737155,-0.0056144358674645,0.7199389929085284,0.2598291947392142,0.6851351406935755,0.6747163848218362,Pooled observed-set ERM
mirrams_equation9,0.7174409576817988,0.7014829238497222,-0.0159580338320766,0.7320082093049771,0.2653574577225799,0.6740190936874015,0.6727305898747162,MIRRAMS Equation 9
catboost_environment_class_balanced,0.6567181321219169,0.6636776500011112,0.0069595178791943,0.7757400581233256,0.2801470376692329,0.6574649242957095,0.649144409455792,CatBoost (environment/class balanced)
lightgbm_environment_class_balanced,0.6704629235183666,0.6793699763450372,0.0089070528266705,0.8137750174085301,0.2901148023972819,0.6569347269010395,0.6407930844651278,LightGBM (environment/class balanced)
logistic_pooled,0.6935645480194716,0.7008598135901944,0.0072952655707227,0.8238055514158462,0.2999450138620912,0.6831422730619414,0.6644745057003024,Logistic (pooled)
logistic_environment_class_balanced,0.7001632817835759,0.7168910368945041,0.0167277551109281,0.8575450647814118,0.3034964517301904,0.6263527437406681,0.6218748599991906,Logistic reference
