view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,policy,mask_replicate,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max,outer_target,experiment,variant,epochs,config_sha256
core,0.05,0.03510451915922106,0.006370295880652426,0.005,False,0.05,128,2.322862924197019,empirical_source,1,composite_multiview_v3,False,True,True,0.9829931972789115,0.0,0.15384615384615385,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.09186495973072051,0.006173373207016195,0.005,False,0.05,128,3.8003444608699266,empirical_source,1,composite_multiview_v3,False,True,True,0.9829931972789115,0.0,0.15384615384615385,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.25,0.06362052526116442,0.003637288899929688,0.005,False,0.05,384,,empirical_source,1,composite_multiview_v3,False,True,True,0.9829931972789115,0.0,0.15384615384615385,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.25,0.04521046753800523,0.0020535375207428493,0.005,False,0.05,128,1.0021562691877692,empirical_source,2,composite_multiview_v3,False,True,True,0.9863945578231292,0.0,0.15384615384615385,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.05,0.04123268643210762,0.006269912660881982,0.005,False,0.05,128,2.322862924197019,empirical_source,2,composite_multiview_v3,False,True,True,0.9863945578231292,0.0,0.15384615384615385,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.08672796236684087,0.004669014900901424,0.005,False,0.05,128,3.772357576501735,empirical_source,2,composite_multiview_v3,False,True,True,0.9863945578231292,0.0,0.15384615384615385,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.2,0.06766535424023143,0.003788007281552751,0.005,False,0.05,384,,empirical_source,2,composite_multiview_v3,False,True,True,0.9863945578231292,0.0,0.15384615384615385,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.2,0.04774474126847174,0.003193277529489607,0.005,False,0.05,128,1.0070002305993562,empirical_source,3,composite_multiview_v3,False,True,True,0.9795918367346939,0.0,0.15384615384615385,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.05,0.03251037024119155,0.0067077738427607295,0.005,False,0.05,128,2.322862924197019,empirical_source,3,composite_multiview_v3,False,True,True,0.9795918367346939,0.0,0.15384615384615385,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.8,0.08285460900247048,0.004602563513695259,0.005,False,0.05,128,3.8895919161306893,empirical_source,3,composite_multiview_v3,False,True,True,0.9795918367346939,0.0,0.15384615384615385,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
