method,reference_method,observed_difference,bootstrap_mean_difference,bootstrap_bias,percentile_ci_025,percentile_ci_975,basic_ci_025,basic_ci_975,probability_better_descriptive
psmask:v2_prior_separated,classical:logistic:site_class_balanced,-0.032082347827920854,-0.04004180020070232,-0.007959452372781464,-0.06135327000399585,-0.021395886603220875,-0.04276880905262083,-0.0028114256518458614,1.0
psmask:v5_site_mask_dro_brier,classical:logistic:site_class_balanced,-0.01814942846829748,-0.025260248089894227,-0.007110819621596747,-0.051779154604892685,-0.00022716670538837182,-0.036071690231206585,0.015480297668297727,0.978
psmask:v5_mask_only_dro,classical:logistic:site_class_balanced,-0.008642640452915518,-0.014739583843775585,-0.006096943390860067,-0.04579236240160372,0.017224236114211606,-0.03450951702004264,0.028507081495772683,0.8025
classical:random_forest:site_class_balanced,classical:logistic:site_class_balanced,-0.007559878852549717,-0.01372729204806879,-0.006167413195519073,-0.03909818599807183,0.004219772863663319,-0.019339530568762753,0.023978428292972392,0.919
