omitted_site,rank,method,macro_site_worst_balanced_log_loss
hungary,36,modern_2026:realmlp:pooled:source_oof_platt,0.8264849889842142
hungary,37,tabpfn_v3:tabpfn:pooled,0.8466498556071079
hungary,38,modern_2026:ft_transformer:pooled,0.85328805841596
hungary,39,modern_v2:ebm:site_class_balanced,0.8617415503837998
hungary,40,modern_2026:tabicl:pooled,0.8642665253469932
hungary,41,modern_v2:tabpfn:pooled,0.928144388752024
hungary,42,classical:elastic_net_logistic:site_class_balanced,0.9364988990217316
hungary,43,modern_2026:realmlp:pooled,1.0245304032697067
hungary,44,classical:mask_logistic:pooled,1.0275380982521831
hungary,45,modern_2026:tabm:pooled,1.099296035014053
switzerland,1,psmask:v2_prior_separated,0.5872270552252559
switzerland,2,psmask:v5_site_mask_dro_brier,0.5895809616395787
switzerland,3,psmask:v3_mcar_augmentation,0.5973383697592091
switzerland,4,psmask:v5_mask_only_dro,0.6015290840672685
switzerland,5,psmask:v4_structured_policy_bank,0.6029523601899246
switzerland,6,psmask:v5_site_only_dro,0.6075412765254026
switzerland,7,psmask:v5_site_mask_dro,0.6085225044845725
switzerland,8,psmask:v7_ane,0.6226235300701695
switzerland,9,classical:random_forest:site_class_balanced,0.6273803032990366
switzerland,10,psmask:v0_pooled_erm,0.637942493220299
switzerland,11,classical:logistic:site_class_balanced,0.6383734304756405
switzerland,12,classical:logistic:site_class_balanced:source_oof_platt,0.6413263642282097
switzerland,13,classical:random_forest:site_class_balanced:source_oof_platt,0.6449172805056124
switzerland,14,psmask:v1_site_balanced,0.6449707199113538
switzerland,15,classical:xgboost:site_class_balanced:source_oof_platt,0.6557898889775969
switzerland,16,classical:logistic:pooled:source_oof_platt,0.658729565610737
switzerland,17,classical:hist_gradient_boosting:site_class_balanced:source_oof_platt,0.6676325816986398
switzerland,18,mirrams:mirrams_equation9,0.6716897668197402
switzerland,19,classical:core_logistic:pooled:source_oof_platt,0.6770444673434869
switzerland,20,classical:lightgbm:site_class_balanced:source_oof_platt,0.6788718870156593
switzerland,21,modern_2026:realmlp:pooled:source_oof_platt,0.6843443963181519
switzerland,22,classical:catboost:site_class_balanced:source_oof_platt,0.684618222875919
switzerland,23,classical:xgboost:site_class_balanced,0.686747801905887
switzerland,24,classical:elastic_net_logistic:site_class_balanced:source_oof_platt,0.6903823099826908
switzerland,25,modern_2026:tabm:pooled:source_oof_platt,0.691860036544638
switzerland,26,modern_2026:ft_transformer:pooled:source_oof_platt,0.6920848733866963
switzerland,27,classical:mask_logistic:pooled:source_oof_platt,0.7103101782187483
switzerland,28,tabpfn_v3:tabpfn:pooled:source_oof_platt,0.7117151215488509
switzerland,29,modern_v2:ebm:site_class_balanced:source_oof_platt,0.7184058879379358
switzerland,30,classical:catboost:site_class_balanced,0.7200726543889742
switzerland,31,modern_2026:tabicl:pooled:source_oof_platt,0.7306243732357599
switzerland,32,modern_v2:tabpfn:pooled:source_oof_platt,0.7594097617716948
switzerland,33,classical:core_logistic:pooled,0.7615007053181385
switzerland,34,classical:lightgbm:site_class_balanced,0.7655125195192669
switzerland,35,classical:hist_gradient_boosting:site_class_balanced,0.7678267920442551
switzerland,36,classical:logistic:pooled,0.7740904842116586
switzerland,37,modern_v2:ebm:site_class_balanced,0.8133549610241485
switzerland,38,tabpfn_v3:tabpfn:pooled,0.8781154211465475
switzerland,39,modern_2026:ft_transformer:pooled,0.8821623804135518
switzerland,40,modern_2026:tabicl:pooled,0.8941999380709477
switzerland,41,classical:elastic_net_logistic:site_class_balanced,0.8959693183993441
switzerland,42,modern_2026:realmlp:pooled,0.9489225386823646
switzerland,43,modern_v2:tabpfn:pooled,0.9601456910491866
switzerland,44,classical:mask_logistic:pooled,1.0892218091464885
switzerland,45,modern_2026:tabm:pooled,1.100780609759469
va_long_beach,1,psmask:v2_prior_separated,0.5720522564492879
va_long_beach,2,psmask:v5_site_mask_dro_brier,0.5982580196650265
va_long_beach,3,psmask:v4_structured_policy_bank,0.5986957581537661
va_long_beach,4,psmask:v5_site_mask_dro,0.5995967941097663
va_long_beach,5,psmask:v3_mcar_augmentation,0.600909267107806
va_long_beach,6,psmask:v5_mask_only_dro,0.6080145471727513
va_long_beach,7,psmask:v7_ane,0.6126861694851521
va_long_beach,8,psmask:v0_pooled_erm,0.6130093301207138
va_long_beach,9,classical:random_forest:site_class_balanced,0.6159768263951978
va_long_beach,10,classical:logistic:site_class_balanced,0.6165761684435229
va_long_beach,11,classical:random_forest:site_class_balanced:source_oof_platt,0.6182321965411249
va_long_beach,12,classical:xgboost:site_class_balanced:source_oof_platt,0.6185866981259206
va_long_beach,13,classical:logistic:site_class_balanced:source_oof_platt,0.6199432173367745
va_long_beach,14,psmask:v5_site_only_dro,0.6244372795729798
va_long_beach,15,classical:xgboost:site_class_balanced,0.6272219738151225
va_long_beach,16,classical:hist_gradient_boosting:site_class_balanced:source_oof_platt,0.6316973111765029
va_long_beach,17,classical:logistic:pooled:source_oof_platt,0.6337026244330254
va_long_beach,18,classical:lightgbm:site_class_balanced:source_oof_platt,0.6346550333940769
va_long_beach,19,modern_2026:ft_transformer:pooled:source_oof_platt,0.6361330121303354
va_long_beach,20,modern_2026:tabicl:pooled:source_oof_platt,0.639589846206921
va_long_beach,21,tabpfn_v3:tabpfn:pooled:source_oof_platt,0.6442433054839715
va_long_beach,22,classical:core_logistic:pooled:source_oof_platt,0.6451549690490281
va_long_beach,23,classical:catboost:site_class_balanced:source_oof_platt,0.6457827753597235
va_long_beach,24,modern_v2:tabpfn:pooled:source_oof_platt,0.6482984220613148
va_long_beach,25,classical:catboost:site_class_balanced,0.6489141412038192
va_long_beach,26,psmask:v1_site_balanced,0.6555201142321235
va_long_beach,27,classical:lightgbm:site_class_balanced,0.6773943491827218
va_long_beach,28,classical:hist_gradient_boosting:site_class_balanced,0.688396330884717
va_long_beach,29,mirrams:mirrams_equation9,0.6915244808374634
va_long_beach,30,classical:elastic_net_logistic:site_class_balanced:source_oof_platt,0.6917715179805337
