outer_target,inner_validation,model,weighting,parameter_id,parameters_json,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,hungary,logistic,pooled,0,"{""C"": 0.1, ""l1_ratio"": 0.0}",294.0,0.36054421768707484,0.8922621437173825,0.8356797579726758,0.603542235845591,0.5277275677601994,0.20887552291532116,0.17702007277608262,0.6938775510204082,0.7503512645523887,0.6917808219178082,0.543010752688172,0.9528301886792453,0.8490566037735849,-2.082135459295296,2.00359416188526,0.21516728501232063
cleveland,switzerland,logistic,pooled,0,"{""C"": 0.1, ""l1_ratio"": 0.0}",123.0,0.9349593495934959,0.7271739130434782,0.9684934527828464,0.5674120184512623,0.6178909716394427,0.19354509192886832,0.21322704077571136,0.6991869918699187,0.6646739130434782,0.8140703517587939,0.9642857142857143,0.7043478260869566,0.4434782608695652,2.6218914389189822,0.8511096914671499,0.17998110939570516
cleveland,va_long_beach,logistic,pooled,0,"{""C"": 0.1, ""l1_ratio"": 0.0}",200.0,0.745,0.753257007500987,0.8748709376624347,0.5152748531891919,0.6433045513635989,0.17024744895426402,0.21669591596223292,0.755,0.7001579155151993,0.8316151202749141,0.852112676056338,0.8120805369127517,0.5369127516778524,0.5974853645753986,0.7252599863052962,0.14630414502593933
cleveland,hungary,logistic,pooled,1,"{""C"": 1.0, ""l1_ratio"": 0.0}",294.0,0.36054421768707484,0.8998394219189081,0.8231483543979413,0.4267662569311806,0.41214257141385513,0.13339164872323528,0.12848003575103645,0.8367346938775511,0.8455941389000401,0.7948717948717948,0.7265625,0.8773584905660378,0.8773584905660378,-0.7525024819643463,1.1922788827248403,0.09209797014889509
cleveland,switzerland,logistic,pooled,1,"{""C"": 1.0, ""l1_ratio"": 0.0}",123.0,0.9349593495934959,0.7456521739130435,0.9712366531646999,0.732685424703971,0.6712869889393788,0.24390016610970894,0.2203262815569255,0.6585365853658537,0.7592391304347825,0.7789473684210526,0.9866666666666667,0.6434782608695652,0.6608695652173913,2.7962001464896886,0.5198337891236169,0.292305589012893
cleveland,va_long_beach,logistic,pooled,1,"{""C"": 1.0, ""l1_ratio"": 0.0}",200.0,0.745,0.7437820765890248,0.8763474086623618,0.534581935540384,0.6940254724490152,0.17391933586324837,0.2277492387535729,0.76,0.6906171864719042,0.8378378378378378,0.8435374149659864,0.8322147651006712,0.48322147651006714,0.608127796330751,0.5631868699128963,0.14715593477179031
cleveland,hungary,logistic,pooled,2,"{""C"": 10.0, ""l1_ratio"": 0.0}",294.0,0.36054421768707484,0.8981834604576475,0.8135912273235228,0.4073632240530849,0.4057508035919094,0.12684366579648443,0.12687035792464002,0.8299319727891157,0.8279305499799278,0.7767857142857143,0.7372881355932204,0.8207547169811321,0.8679245283018868,-0.5357965717542165,1.0184862535156727,0.08219942325504992
cleveland,switzerland,logistic,pooled,2,"{""C"": 10.0, ""l1_ratio"": 0.0}",123.0,0.9349593495934959,0.7445652173913044,0.9723033664989894,0.8594734564843849,0.7219954060362099,0.2681398682191948,0.22468395944686748,0.6504065040650406,0.6967391304347825,0.774869109947644,0.9736842105263158,0.6434782608695652,0.6434782608695652,2.8169428167402546,0.38497284074319105,0.35100905844674013
cleveland,va_long_beach,logistic,pooled,2,"{""C"": 10.0, ""l1_ratio"": 0.0}",200.0,0.745,0.7207527306224503,0.872656441870697,0.5571410641777043,0.752906668267445,0.18021098010458467,0.24502290923921305,0.75,0.6452164758520857,0.8366013071895425,0.8152866242038217,0.8590604026845637,0.5033557046979866,0.5892093079513548,0.4824493458198388,0.14928119498946196
cleveland,hungary,core_logistic,pooled,0,"{""C"": 0.1, ""l1_ratio"": 0.0}",294.0,0.36054421768707484,0.8364863508631072,0.6948557151580086,0.8317938179064048,0.6992100934925711,0.3114896215602792,0.2532350142101654,0.36054421768707484,0.5,0.53,0.36054421768707484,1.0,0.7452830188679245,-3.3977237753325067,2.5074909997067043,0.4122098687037038
cleveland,switzerland,core_logistic,pooled,0,"{""C"": 0.1, ""l1_ratio"": 0.0}",123.0,0.9349593495934959,0.7282608695652174,0.9648489369443037,0.44013457589145744,0.6121913831480136,0.13463093362932624,0.20848905385049754,0.8455284552845529,0.6847826086956521,0.91324200913242,0.9615384615384616,0.8695652173913043,0.4782608695652174,2.106610118286103,1.2705261059621937,0.0692413078182805
cleveland,va_long_beach,core_logistic,pooled,0,"{""C"": 0.1, ""l1_ratio"": 0.0}",200.0,0.745,0.7121989735491512,0.8649718337673324,0.515264830050806,0.7194026660909885,0.17025824911578474,0.2546808249226292,0.755,0.616331096196868,0.8454258675078864,0.7976190476190477,0.8993288590604027,0.42953020134228187,0.2788039657131375,0.8283587534186565,0.14158104931865317
cleveland,hungary,core_logistic,pooled,1,"{""C"": 1.0, ""l1_ratio"": 0.0}",294.0,0.36054421768707484,0.830314130871136,0.6886803282189973,0.6876491821151582,0.5913222022535434,0.23851198342149718,0.19949284215440444,0.6666666666666666,0.7229024488157367,0.6666666666666666,0.5212765957446809,0.9245283018867925,0.7452830188679245,-1.9289918221145532,1.4340157491959473,0.3158621158288502
cleveland,switzerland,core_logistic,pooled,1,"{""C"": 1.0, ""l1_ratio"": 0.0}",123.0,0.9349593495934959,0.7467391304347827,0.9667112283414636,0.4118175022351196,0.6084591370079105,0.12468263149211457,0.20573635133876483,0.8536585365853658,0.6891304347826087,0.9181818181818182,0.9619047619047619,0.8782608695652174,0.4782608695652174,2.103186432355611,1.111185832506569,0.065888452533845
cleveland,va_long_beach,core_logistic,pooled,1,"{""C"": 1.0, ""l1_ratio"": 0.0}",200.0,0.745,0.7098302408211608,0.8643185919622123,0.5313537113452526,0.7757575382620867,0.17589500652809512,0.26901963364518416,0.745,0.6096196868008948,0.8380952380952381,0.7951807228915663,0.8859060402684564,0.42953020134228187,0.36102869439317264,0.612485411146546,0.14245598885887467
cleveland,hungary,core_logistic,pooled,2,"{""C"": 10.0, ""l1_ratio"": 0.0}",294.0,0.36054421768707484,0.8283069048574869,0.6854841818600665,0.6673086786070163,0.5771352988160657,0.22852320944822158,0.19263932155931557,0.6666666666666666,0.7229024488157367,0.6666666666666666,0.5212765957446809,0.9245283018867925,0.7452830188679245,-1.7524839493861621,1.2973912140283776,0.2956018956548485
cleveland,switzerland,core_logistic,pooled,2,"{""C"": 10.0, ""l1_ratio"": 0.0}",123.0,0.9349593495934959,0.7467391304347827,0.9667114219668317,0.4082160461191473,0.6082875314517259,0.12348437202414986,0.2055637989794059,0.8536585365853658,0.6891304347826087,0.9181818181818182,0.9619047619047619,0.8782608695652174,0.4782608695652174,2.105102969121809,1.0886877467586142,0.06519090208585619
cleveland,va_long_beach,core_logistic,pooled,2,"{""C"": 10.0, ""l1_ratio"": 0.0}",200.0,0.745,0.7094354520331624,0.8644339055750965,0.5369454692592736,0.7894406220892624,0.17746496379521426,0.27222810515178036,0.745,0.6096196868008948,0.8380952380952381,0.7951807228915663,0.8859060402684564,0.436241610738255,0.3759758685009486,0.5808467697661011,0.14191422127381859
cleveland,hungary,mask_logistic,pooled,0,"{""C"": 0.1, ""l1_ratio"": 0.0}",294.0,0.36054421768707484,0.7660828984343637,0.6085462846589911,1.0039104876903147,0.8337269738614321,0.3857526832368892,0.3106188754333534,0.36054421768707484,0.5,0.53,0.36054421768707484,1.0,0.6886792452830188,-5.768775989377024,4.058002866145032,0.5357260408466857
cleveland,switzerland,mask_logistic,pooled,0,"{""C"": 0.1, ""l1_ratio"": 0.0}",123.0,0.9349593495934959,0.6228260869565218,0.9546669730721433,0.42033171379077716,0.8157318078703257,0.1244223063552046,0.30673377705116606,0.8373983739837398,0.44782608695652176,0.911504424778761,0.9279279279279279,0.8956521739130435,0.5043478260869565,2.7811410336638627,-0.12495618069353438,0.048690259011882155
cleveland,va_long_beach,mask_logistic,pooled,0,"{""C"": 0.1, ""l1_ratio"": 0.0}",200.0,0.745,0.62751677852349,0.8181130129385666,0.7007598928121059,0.6802379822179969,0.2518860739239234,0.24151534913296716,0.61,0.6350835636267931,0.6904761904761905,0.8446601941747572,0.5838926174496645,0.2684563758389262,1.1170945601647282,0.5611508166059429,0.31782128912760244
cleveland,hungary,mask_logistic,pooled,1,"{""C"": 1.0, ""l1_ratio"": 0.0}",294.0,0.36054421768707484,0.7631222400642313,0.6023980972218532,0.8777823549647531,0.7412326518999832,0.3319381377949711,0.2712827261372352,0.36054421768707484,0.5,0.53,0.36054421768707484,1.0,0.6886792452830188,-2.9041304116057587,2.158919371667659,0.5400626736916252
cleveland,switzerland,mask_logistic,pooled,1,"{""C"": 1.0, ""l1_ratio"": 0.0}",123.0,0.9349593495934959,0.6315217391304349,0.9554864046195923,0.36759556165575197,0.8648888272069812,0.10827187224002317,0.3251210280938326,0.8373983739837398,0.44782608695652176,0.911504424778761,0.9279279279279279,0.8956521739130435,0.5130434782608696,2.3742193174743123,0.2392194839326377,0.04710651405666864
cleveland,va_long_beach,mask_logistic,pooled,1,"{""C"": 1.0, ""l1_ratio"": 0.0}",200.0,0.745,0.6235688906435057,0.8130791866503504,0.7334581827598616,0.7210864956922642,0.26165361255065683,0.25407251637259565,0.605,0.6252796420581656,0.6877470355731226,0.8365384615384616,0.5838926174496645,0.2684563758389262,1.0862621807360628,0.38800462502870775,0.3534225260358974
cleveland,hungary,mask_logistic,pooled,2,"{""C"": 10.0, ""l1_ratio"": 0.0}",294.0,0.36054421768707484,0.7622189883580892,0.6014382549766951,0.8509608060741163,0.7216067672989235,0.3186994952014968,0.2616462130163416,0.3673469387755102,0.5053191489361702,0.5326633165829145,0.363013698630137,1.0,0.6792452830188679,-2.5367437950599117,1.893980844125093,0.541023659834184
cleveland,switzerland,mask_logistic,pooled,2,"{""C"": 10.0, ""l1_ratio"": 0.0}",123.0,0.9349593495934959,0.6434782608695652,0.9571179958587495,0.3571121376129439,0.8521180733811266,0.10553609922682286,0.318964066085261,0.8373983739837398,0.44782608695652176,0.911504424778761,0.9279279279279279,0.8956521739130435,0.5217391304347826,2.2082031123763524,0.366019095606941,0.0436009417430201
cleveland,va_long_beach,mask_logistic,pooled,2,"{""C"": 10.0, ""l1_ratio"": 0.0}",200.0,0.745,0.6131727858928806,0.7992360047779903,0.7089377388308017,0.7518485816509026,0.24740039744103842,0.26233747938765795,0.62,0.6031056717989209,0.7142857142857143,0.811965811965812,0.6375838926174496,0.2751677852348993,1.0133486406080656,0.30294414544592696,0.32688638124566316
cleveland,hungary,logistic,site_class_balanced,0,"{""C"": 0.1, ""l1_ratio"": 0.0}",294.0,0.36054421768707484,0.8871437173825774,0.8129131686364324,0.4300071138720114,0.46741720910737616,0.1340004084298401,0.14955679025569518,0.8095238095238095,0.7769971898835808,0.7142857142857143,0.7777777777777778,0.660377358490566,0.8113207547169812,0.11018846391065144,1.5948493857348491,0.07532047336400548
cleveland,switzerland,logistic,site_class_balanced,0,"{""C"": 0.1, ""l1_ratio"": 0.0}",123.0,0.9349593495934959,0.7619565217391305,0.9726548869361176,0.6985230140790152,0.5999499336988265,0.24872493792708525,0.20748385089599342,0.6097560975609756,0.675,0.7419354838709677,0.971830985915493,0.6,0.5652173913043478,3.045407575287212,1.0702026925739405,0.3334421007218381
cleveland,va_long_beach,logistic,site_class_balanced,0,"{""C"": 0.1, ""l1_ratio"": 0.0}",200.0,0.745,0.7115409922358206,0.8751063191705808,0.5688343034659075,0.6487769634488667,0.19503073415149239,0.22783288498215049,0.69,0.6307408869588104,0.7832167832167832,0.8175182481751825,0.7516778523489933,0.5973154362416108,0.8076111478678403,0.675391298132367,0.17224456517325576
cleveland,hungary,logistic,site_class_balanced,1,"{""C"": 1.0, ""l1_ratio"": 0.0}",294.0,0.36054421768707484,0.8858892011240466,0.7858822484314493,0.4183451242595987,0.48072065021047783,0.13472746681410852,0.15738485253239343,0.8163265306122449,0.7823163388197512,0.7216494845360825,0.7954545454545454,0.660377358490566,0.839622641509434,0.2724958048253736,0.9820562079684834,0.07801207479371976
cleveland,switzerland,logistic,site_class_balanced,1,"{""C"": 1.0, ""l1_ratio"": 0.0}",123.0,0.9349593495934959,0.7597826086956521,0.9731785505778376,0.8839530778897428,0.6700736654522509,0.3039717816403753,0.22522160107324832,0.5040650406504065,0.6766304347826086,0.6432748538011696,0.9821428571428571,0.4782608695652174,0.5565217391304348,3.079786117685723,0.6066007763411201,0.4547159319382291
cleveland,va_long_beach,logistic,site_class_balanced,1,"{""C"": 1.0, ""l1_ratio"": 0.0}",200.0,0.745,0.6666666666666667,0.8660201903784033,0.6416036713037327,0.7734727353738029,0.22151279393636134,0.2715771280919175,0.645,0.5554020265824451,0.7560137457044673,0.7746478873239436,0.738255033557047,0.44966442953020136,0.8124749241780557,0.3636711443987506,0.19421904144505348
cleveland,hungary,logistic,site_class_balanced,2,"{""C"": 10.0, ""l1_ratio"": 0.0}",294.0,0.36054421768707484,0.8805198715375352,0.7696903456781929,0.4332038486084632,0.5019693227874868,0.13917998609610654,0.1630375743132365,0.8231292517006803,0.7896928944199116,0.7319587628865979,0.8068181818181818,0.6698113207547169,0.8301886792452831,0.2679283364377126,0.832766702118609,0.08072697168708072
