outer_target,inner_validation,model,weighting,parameter_id,parameters_json,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,hungary,ebm,site_class_balanced,0,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 5000, ""outer_bags"": 8}",294.0,0.36054421768707484,0.8775592131674026,0.7543905033208222,0.444491901565478,0.46996257289175647,0.1405604690692482,0.15123447117633138,0.8027210884353742,0.7860798875953432,0.7264150943396226,0.7264150943396226,0.7264150943396226,0.8113207547169812,-0.10729474274636935,1.4157572666089755,0.08525762485263096
cleveland,switzerland,ebm,site_class_balanced,0,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 5000, ""outer_bags"": 8}",123.0,0.9349593495934959,0.7586956521739131,0.9721282002339375,0.6398965572419504,0.6027767465697981,0.21862713336569514,0.2005859837138666,0.6504065040650406,0.6967391304347825,0.774869109947644,0.9736842105263158,0.6434782608695652,0.6086956521739131,2.7276638568938427,0.7730518999893494,0.29538691064497763
cleveland,va_long_beach,ebm,site_class_balanced,0,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 5000, ""outer_bags"": 8}",200.0,0.745,0.7116725884984867,0.8860459182201769,0.5237977110047225,0.6743988197804345,0.1755507698194377,0.24061799511183232,0.73,0.606000789577576,0.8258064516129032,0.7950310559006211,0.8590604026845637,0.40939597315436244,0.41178127729202296,0.9114841143218653,0.13399024614243793
cleveland,hungary,ebm,site_class_balanced,1,"{""interactions"": 0, ""max_bins"": 256, ""max_rounds"": 5000, ""outer_bags"": 8}",294.0,0.36054421768707484,0.8761541549578482,0.7439580077221131,0.4525626237194833,0.4767097385652247,0.14226144764305174,0.15250426889751528,0.8027210884353742,0.7819650742673625,0.7211538461538461,0.7352941176470589,0.7075471698113207,0.8207547169811321,-0.11428264373862182,1.5351986970905482,0.09148851775581704
cleveland,switzerland,ebm,site_class_balanced,1,"{""interactions"": 0, ""max_bins"": 256, ""max_rounds"": 5000, ""outer_bags"": 8}",123.0,0.9349593495934959,0.7673913043478261,0.9733737844574829,0.6744178254388544,0.602791185002963,0.23093537875479125,0.19968815742922974,0.6422764227642277,0.7505434782608695,0.7659574468085106,0.9863013698630136,0.6260869565217392,0.6434782608695652,2.796272737539628,0.7301737124746631,0.3283224908219312
cleveland,va_long_beach,ebm,site_class_balanced,1,"{""interactions"": 0, ""max_bins"": 256, ""max_rounds"": 5000, ""outer_bags"": 8}",200.0,0.745,0.6814054480852744,0.8692195838042636,0.5423810021007671,0.791334582661694,0.18079315672002125,0.2756363531343281,0.75,0.6000789577575997,0.84375,0.7894736842105263,0.9060402684563759,0.4697986577181208,0.38388775778040596,0.5648132757436483,0.14513917893021477
cleveland,hungary,ebm,site_class_balanced,2,"{""interactions"": 3, ""max_bins"": 64, ""max_rounds"": 5000, ""outer_bags"": 8}",294.0,0.36054421768707484,0.8714371738257728,0.7293833949395753,0.4581290059093047,0.4750178611902624,0.14426307631102553,0.15157918049195884,0.8027210884353742,0.7881372942593337,0.7289719626168224,0.7222222222222222,0.7358490566037735,0.8018867924528302,-0.23870152677716025,1.4387536586788174,0.10252530992156665
cleveland,switzerland,ebm,site_class_balanced,2,"{""interactions"": 3, ""max_bins"": 64, ""max_rounds"": 5000, ""outer_bags"": 8}",123.0,0.9349593495934959,0.7684782608695653,0.9696815513934693,0.6178404002992193,0.6039237184543214,0.20997907530977314,0.20008222833556913,0.6747967479674797,0.7097826086956522,0.7938144329896907,0.9746835443037974,0.6695652173913044,0.6434782608695652,2.711399193927078,0.8445712509533733,0.2616622761280392
cleveland,va_long_beach,ebm,site_class_balanced,2,"{""interactions"": 3, ""max_bins"": 64, ""max_rounds"": 5000, ""outer_bags"": 8}",200.0,0.745,0.7143045137518095,0.8812144628560856,0.5174192745816822,0.7081066973788184,0.17360666456904705,0.24968041632575982,0.72,0.586392946440321,0.8205128205128205,0.7852760736196319,0.8590604026845637,0.5234899328859061,0.37493677154944943,0.728512225106382,0.13610138756694973
cleveland,hungary,ebm,site_class_balanced,3,"{""interactions"": 3, ""max_bins"": 256, ""max_rounds"": 5000, ""outer_bags"": 8}",294.0,0.36054421768707484,0.8737454837414692,0.7334241796645167,0.4723378402595806,0.49156987165740995,0.149202146776377,0.1576380138438805,0.8061224489795918,0.7907968687274187,0.7323943661971831,0.7289719626168224,0.7358490566037735,0.8113207547169812,-0.17555356324780086,1.7100768782468931,0.09596597744069116
