outer_target,experiment,variant,policy,mask_replicate,track,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,v2_attention_equal_budget,v2,drop_advanced,0,dg_zero_shot,303.0,0.45874587458745875,0.8510703632216178,0.8448446068381014,0.48727948708006646,0.4958671091738902,0.15705733870989527,0.16084467275860986,0.7788778877887789,0.7716046674855237,0.7392996108949417,0.8050847457627118,0.6834532374100719,0.7194244604316546,0.24293787690386248,1.4327571904939789,0.11279536852376648
cleveland,v2_attention_equal_budget,v2,drop_exercise,0,dg_zero_shot,303.0,0.45874587458745875,0.7970696613440954,0.7581191324314411,0.5854716297568654,0.5905414786367758,0.1979680863934793,0.20031569833873136,0.7491749174917491,0.7463590103526935,0.7226277372262774,0.7333333333333333,0.7122302158273381,0.697841726618705,0.14907108150168075,2.3037785119331264,0.17906605135565282
cleveland,v2_attention_equal_budget,v2,drop_routine,0,dg_zero_shot,303.0,0.45874587458745875,0.8576065976487103,0.8486373462045671,0.48954558430812445,0.4992756779428984,0.1575349953013725,0.16185112975801685,0.7953795379537953,0.7863002281101947,0.752,0.8468468468468469,0.6762589928057554,0.7194244604316546,0.35820319710763615,1.5670742528172366,0.11049358392540823
cleveland,v2_attention_equal_budget,v2,empirical_source,0,dg_zero_shot,303.0,0.45874587458745875,0.8251447622389891,0.8159212540889458,0.5136906013807186,0.5224263970138794,0.16747630826391088,0.17137024843975315,0.7623762376237624,0.7541673977890858,0.7165354330708661,0.7913043478260869,0.6546762589928058,0.7122302158273381,0.21051460735535485,1.3883118585559007,0.1470309840696215
cleveland,v2_attention_equal_budget,v2,empirical_source,1,dg_zero_shot,303.0,0.45874587458745875,0.85177224074399,0.842607706629054,0.4896127903949831,0.4970698150062546,0.1574118194514146,0.16075031504034176,0.7887788778877888,0.7823960343919986,0.7538461538461538,0.8099173553719008,0.7050359712230215,0.7338129496402878,0.2129326742710966,1.5184964594945058,0.11517833498759139
cleveland,v2_attention_equal_budget,v2,empirical_source,2,dg_zero_shot,303.0,0.45874587458745875,0.8352342516230917,0.8341213891731294,0.5049848646600603,0.5126163440285695,0.16458685589925548,0.16795119702789002,0.7656765676567657,0.7577645200912441,0.7215686274509804,0.7931034482758621,0.6618705035971223,0.697841726618705,0.15658599417820357,1.3666892139660096,0.13205636133310283
cleveland,v2_attention_equal_budget,v2,empirical_source,3,dg_zero_shot,303.0,0.45874587458745875,0.8335234251623093,0.822874389140679,0.5068736861571542,0.5154927053846621,0.16513938598578173,0.16900245666261499,0.7788778877887789,0.7710563256711704,0.7372549019607844,0.8103448275862069,0.6762589928057554,0.7266187050359713,0.22660760664431862,1.4119887713286137,0.1310553366034452
cleveland,v2_attention_equal_budget,v2,empirical_source,4,dg_zero_shot,303.0,0.45874587458745875,0.8453237410071942,0.8351624234623753,0.49953430355616285,0.5082503541698535,0.16233973487032802,0.16623669938593197,0.7854785478547854,0.7777022284611335,0.7450980392156863,0.8189655172413793,0.6834532374100719,0.7194244604316546,0.26643378113773203,1.481816058631359,0.1148377904629988
cleveland,v2_attention_equal_budget,v2,empirical_source,5,dg_zero_shot,303.0,0.45874587458745875,0.835453588348833,0.8203467620748155,0.5096899400563142,0.5182965534666716,0.16640977572502144,0.17020302546253363,0.7722772277227723,0.7649587646955607,0.7315175097276264,0.7966101694915254,0.6762589928057554,0.7194244604316546,0.22540518054690822,1.4098442561283944,0.13551839542766644
cleveland,v2_attention_equal_budget,v2,empirical_source,6,dg_zero_shot,303.0,0.45874587458745875,0.8549306895946658,0.8568044829887205,0.4862495182315017,0.49452985668328836,0.15624949142559685,0.15990426803228647,0.7953795379537953,0.787945253553255,0.7578125,0.8290598290598291,0.697841726618705,0.7410071942446043,0.2576089543308936,1.5328621655333998,0.10946257927334763
cleveland,v2_attention_equal_budget,v2,empirical_source,7,dg_zero_shot,303.0,0.45874587458745875,0.8319880680821196,0.8271907830126062,0.507368850196296,0.5160217809835326,0.16541537619537244,0.1692639833129021,0.7755775577557755,0.7669108615546587,0.7301587301587301,0.8141592920353983,0.6618705035971223,0.7050359712230215,0.22193198581715465,1.4180560301610692,0.1283676923104191
