experiment,policy,mask_replicate,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
classical:logistic,natural,0,134.0,0.16417910447761194,0.708198051948052,0.286288779413094,0.7892092244446394,0.7733341124806288,0.23956728615751155,0.24772460827788365,0.664179104477612,0.6530032467532467,0.3835616438356164,0.27450980392156865,0.6363636363636364,0.45454545454545453,-1.5750146642284777,0.2717893547997161,0.2667091612027235
classical:logistic,mcar_30,0,134.0,0.16417910447761194,0.640422077922078,0.25552434024601306,1.0381706684650085,0.9105205146368174,0.3119907995238207,0.2739301192935151,0.5895522388059702,0.6448863636363636,0.367816091954023,0.24615384615384617,0.7272727272727273,0.36363636363636365,-1.6978826157301825,0.18526053652788102,0.4288771106656515
classical:logistic,mcar_30,1,134.0,0.16417910447761194,0.7094155844155844,0.2691557571405563,0.9485249103823677,0.7630563678684628,0.2774282132094013,0.22800811988560127,0.6343283582089553,0.708198051948052,0.4235294117647059,0.2857142857142857,0.8181818181818182,0.2727272727272727,-1.75378429647889,0.2784348047104318,0.41081654341128615
classical:logistic,mcar_50,0,134.0,0.16417910447761194,0.48863636363636365,0.1772113948205909,1.3786492296773214,1.1000622153797672,0.436539343602225,0.35785778994696293,0.40298507462686567,0.4602272727272727,0.23076923076923078,0.14634146341463414,0.5454545454545454,0.22727272727272727,-1.6158239238181074,-0.015482749109693036,0.6598495347278328
classical:logistic,mcar_50,1,134.0,0.16417910447761194,0.6375811688311688,0.2622270623514806,1.152623756461972,0.9343352226685522,0.3713416244581695,0.29602167554105335,0.4552238805970149,0.5827922077922078,0.3177570093457944,0.2,0.7727272727272727,0.4090909090909091,-1.800078711986337,0.2134539886170754,0.5427483659986043
classical:logistic,drop_laboratory,0,134.0,0.16417910447761194,0.7244318181818182,0.30409013269458657,0.5912745173907136,0.7023712523238351,0.1915602928312061,0.23752547056989676,0.7313432835820896,0.6566558441558441,0.4,0.3157894736842105,0.5454545454545454,0.45454545454545453,-1.3877833111241173,0.38516596487764226,0.1670846097946234
classical:logistic,drop_vital,0,134.0,0.16417910447761194,0.6818181818181819,0.2863105512794993,0.8749241415584121,0.7907144863285303,0.2660057803976963,0.2523855558489568,0.6417910447761194,0.6213474025974026,0.35135135135135137,0.25,0.5909090909090909,0.4090909090909091,-1.6521782067119914,0.2541970325846492,0.33450795968887803
classical:random_forest,natural,0,134.0,0.16417910447761194,0.7853084415584415,0.4538250988790819,0.4803693652414382,0.5861590365357272,0.15536114033612497,0.2010125220010038,0.8208955223880597,0.7284902597402598,0.52,0.4642857142857143,0.5909090909090909,0.6363636363636364,-1.0508311397072176,1.5285944617058385,0.08748660110716924
classical:random_forest,mcar_30,0,134.0,0.16417910447761194,0.7284902597402598,0.41471490016225787,0.48266801999775066,0.6548467526224178,0.15423444082631454,0.2294656968896395,0.8059701492537313,0.6282467532467533,0.38095238095238093,0.4,0.36363636363636365,0.5909090909090909,-0.924078099051846,1.2269518152088634,0.09405816530040234
classical:random_forest,mcar_30,1,134.0,0.16417910447761194,0.7536525974025974,0.3734679591852624,0.4609893870037089,0.6326160090357468,0.14646849256494007,0.22367607599341643,0.8134328358208955,0.614448051948052,0.358974358974359,0.4117647058823529,0.3181818181818182,0.5454545454545454,-0.7040074749689719,1.5377048091136731,0.07423087209180963
classical:random_forest,mcar_50,0,134.0,0.16417910447761194,0.7049512987012987,0.3151893359728477,0.46670782913869974,0.6998623613831061,0.14622419438748469,0.2539126450165122,0.8208955223880597,0.5093344155844156,0.07692307692307693,0.25,0.045454545454545456,0.45454545454545453,-0.3966812265923623,1.6178717619238467,0.08275584646669701
