outer_target,meta_training_site,meta_early_stop_site,meta_evaluation_site,router_seed,method,policy,mask_replicate,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,drop_advanced,0,294.0,0.36054421768707484,0.76470293054998,0.7487682893612904,0.6060078988501597,0.6357984914273374,0.20703423538959567,0.22153993874462108,0.8027210884353742,0.7531613809714974,0.6777777777777778,0.8243243243243243,0.5754716981132075,0.6886792452830188,0.2958680163031442,3.8006931011463028,0.21758989365794407
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,drop_exercise,0,294.0,0.36054421768707484,0.43792653552790045,0.3239662731235321,0.6869806099449703,0.7086214565495403,0.24696174363610662,0.2576902173414849,0.5748299319727891,0.4823865917302288,0.20382165605095542,0.3137254901960784,0.1509433962264151,0.1792452830188679,-0.7441586377273975,-1.1035527199982806,0.40947707819362045
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,drop_routine,0,294.0,0.36054421768707484,0.7877358490566039,0.6311857122402645,0.6325378552671729,0.6488658288928904,0.21999383049467255,0.22808248702359735,0.7040816326530612,0.6472300281011643,0.5193370165745856,0.6266666666666667,0.44339622641509435,0.6509433962264151,0.10460860597041707,5.1773419152941855,0.1620921401631021
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,empirical_source,0,294.0,0.36054421768707484,0.7543657165796869,0.6832345568073113,0.6243308867712786,0.6426459097602564,0.21603758556617464,0.22500575872515133,0.7482993197278912,0.7023785628261743,0.6063829787234043,0.6951219512195121,0.5377358490566038,0.5754716981132075,-0.06689734893325618,3.672381852000971,0.20012826900525443
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,mar_age_sex_30,0,294.0,0.36054421768707484,0.7588819751103975,0.6672654481525685,0.6202172129498403,0.6439940652624878,0.21400260070771523,0.2256653571532098,0.7482993197278912,0.6879767161782417,0.5747126436781609,0.7352941176470589,0.4716981132075472,0.660377358490566,0.13781373133223734,3.879556745544185,0.20942140079357738
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,mcar_10,0,294.0,0.36054421768707484,0.7355479727017262,0.6739872999376365,0.6180773770456562,0.6486253342932649,0.21308189840846112,0.2279916571414324,0.7312925170068028,0.668506623845845,0.5433526011560693,0.7014925373134329,0.44339622641509435,0.6132075471698113,0.18761862128391654,3.2859096303416475,0.21348371489540247
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,mcar_30,0,294.0,0.36054421768707484,0.6972099558410277,0.6134531728140487,0.6334640224731704,0.6593930126192744,0.22061602084556128,0.2333485207847503,0.7006802721088435,0.6322260136491369,0.4823529411764706,0.640625,0.3867924528301887,0.5283018867924528,0.018809965848778174,3.05110697932793,0.22508341955165123
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,mcar_50,0,294.0,0.36054421768707484,0.5928843837816138,0.46935616914024897,0.664043225334317,0.6819923193124316,0.23560267593785297,0.24443818862805117,0.6530612244897959,0.6073364110798876,0.47959183673469385,0.5222222222222223,0.44339622641509435,0.4056603773584906,-0.4000565961018723,1.3296375064443848,0.325939199496896
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,natural,0,294.0,0.36054421768707484,0.7725311120032115,0.7474457692380871,0.6057182506337265,0.635641270161339,0.20693551295529758,0.22150022146158455,0.7993197278911565,0.7463869931754316,0.6666666666666666,0.8309859154929577,0.5566037735849056,0.660377358490566,0.30975707461896795,3.8518741025755325,0.2029912149682625
cleveland,va_long_beach,switzerland,hungary,5062,expert:joint_policy_dro,drop_advanced,0,294.0,0.36054421768707484,0.3152850260939382,0.2880402341350137,0.687418030268396,0.7064867956773098,0.24712482558829205,0.2566335306095368,0.6326530612244898,0.4987956643918105,0.03571428571428571,0.3333333333333333,0.018867924528301886,0.10377358490566038,-1.9369680148653445,-10.085524124366664,0.4875593284850065
cleveland,va_long_beach,switzerland,hungary,5062,expert:joint_policy_dro,drop_exercise,0,294.0,0.36054421768707484,0.5892713769570455,0.46610912256787856,0.6815064236447679,0.6868778004818741,0.24418832531304377,0.24687043356641963,0.5306122448979592,0.4663287836210357,0.26595744680851063,0.3048780487804878,0.2358490566037736,0.2358490566037736,-0.33319958554458085,6.18461744137383,0.2994041679015395
