outer_target,router_candidate,feature_mode,validation_site,router_seed,best_epoch,epoch,objective,validation_robust_risk,mean_group_risk,robust_group_risk,best_expert_robust_risk,robust_regret,natural_risk,natural_noninferiority_penalty,routing_entropy
cleveland,support_only,support_only,hungary,5062,1,1.0,0.6702051162719727,0.5610021948814392,0.6265924572944641,0.6883676648139954,0.661564826965332,0.02680283784866333,0.6214079856872559,0.0,0.6763935685157776
cleveland,support_only,support_only,switzerland,5062,20,1.0,0.6265345215797424,0.6249613761901855,0.5869566202163696,0.6674653887748718,0.6743940711021423,0.0,0.483542799949646,0.0,0.6764300465583801
cleveland,support_only,support_only,switzerland,5062,20,10.0,0.6244012117385864,0.6225661635398865,0.5863049626350403,0.6638575792312622,0.6743940711021423,0.0,0.4836793839931488,0.0,0.6800734996795654
cleveland,support_only,support_only,switzerland,5062,20,20.0,0.6221815347671509,0.6199139952659607,0.5856802463531494,0.6600494384765625,0.6743940711021423,0.0,0.48393943905830383,0.0,0.6832899451255798
cleveland,support_only,support_only,va_long_beach,5062,15,1.0,0.5709102153778076,0.7369486093521118,0.5469567775726318,0.596217930316925,0.650033175945282,0.0,0.5114219188690186,0.0,0.6771179437637329
cleveland,support_only,support_only,va_long_beach,5062,15,10.0,0.5702494978904724,0.7348254323005676,0.5468214750289917,0.5950344204902649,0.650033175945282,0.0,0.5108904838562012,0.0,0.6785065531730652
cleveland,support_only,support_only,va_long_beach,5062,15,20.0,0.5694065093994141,0.7346825003623962,0.5463972687721252,0.5937712788581848,0.650033175945282,0.0,0.5101000070571899,0.0,0.6777650713920593
cleveland,support_plus_expert_context,expert_logit_context,hungary,5062,1,1.0,0.6369147300720215,0.5736224055290222,0.6161913871765137,0.6590132713317871,0.661564826965332,0.0,0.6047396063804626,0.0,0.6875917315483093
cleveland,support_plus_expert_context,expert_logit_context,switzerland,5062,20,1.0,0.6137208342552185,0.6156314015388489,0.5860401391983032,0.6427764892578125,0.6743940711021423,0.0,0.4897044003009796,0.0,0.6874732375144958
cleveland,support_plus_expert_context,expert_logit_context,switzerland,5062,20,10.0,0.6128199696540833,0.6146858334541321,0.5861642360687256,0.6408454775810242,0.6743940711021423,0.0,0.49073857069015503,0.0,0.6849353909492493
cleveland,support_plus_expert_context,expert_logit_context,switzerland,5062,20,20.0,0.6119911670684814,0.6138679385185242,0.5863600969314575,0.638985812664032,0.6743940711021423,0.0,0.4919273257255554,0.0,0.681786060333252
