outer_target,router_candidate,validation_site,router_seed,site_worst_balanced_log_loss,natural_roc_auc
cleveland,support_only,hungary,5062,0.5539616231688785,0.8604141077381997
cleveland,support_only,switzerland,5062,0.5560390698843115,0.8563344446394104
cleveland,support_only,va_long_beach,5062,0.5540187414738709,0.859185822074048
cleveland,support_plus_expert_context,hungary,5062,0.5579836499200284,0.8590103526934549
cleveland,support_plus_expert_context,switzerland,5062,0.560947684193776,0.8572995262326724
cleveland,support_plus_expert_context,va_long_beach,5062,0.5578670679165363,0.8590980873837515
cleveland,anchor_relative_context,hungary,5062,0.5582354966961702,0.85887875065801
cleveland,anchor_relative_context,switzerland,5062,0.5608276550750604,0.8574311282681171
cleveland,anchor_relative_context,va_long_beach,5062,0.5581161759540847,0.8587910159677135
hungary,support_only,cleveland,5062,0.5173294306858516,0.9101766358892012
hungary,support_only,switzerland,5062,0.5134802443346506,0.9104275391409073
hungary,support_only,va_long_beach,5062,0.5126890516862476,0.9102769971898836
hungary,support_plus_expert_context,cleveland,5062,0.5439966621303043,0.9107788036932959
hungary,support_plus_expert_context,switzerland,5062,0.538647683829814,0.9107286230429545
hungary,support_plus_expert_context,va_long_beach,5062,0.5435036511718289,0.9106784423926134
hungary,anchor_relative_context,cleveland,5062,0.5442095587046424,0.9105780810919311
hungary,anchor_relative_context,switzerland,5062,0.5390346893950527,0.9107788036932958
hungary,anchor_relative_context,va_long_beach,5062,0.5430929957463102,0.9106784423926134
switzerland,support_only,cleveland,5062,0.6360556565598854,0.7369565217391305
switzerland,support_only,hungary,5062,0.648965962831882,0.7195652173913044
switzerland,support_only,va_long_beach,5062,0.6484253825455935,0.7184782608695652
switzerland,support_plus_expert_context,cleveland,5062,0.6395303546951357,0.7336956521739131
switzerland,support_plus_expert_context,hungary,5062,0.6450064628334131,0.7228260869565217
switzerland,support_plus_expert_context,va_long_beach,5062,0.6444895205819012,0.7250000000000001
switzerland,anchor_relative_context,cleveland,5062,0.6386290004306613,0.7336956521739131
switzerland,anchor_relative_context,hungary,5062,0.6447110389601494,0.7228260869565217
switzerland,anchor_relative_context,va_long_beach,5062,0.6445444464324306,0.7239130434782609
va_long_beach,support_only,cleveland,5062,0.6660351662033901,0.7116725884984867
va_long_beach,support_only,hungary,5062,0.6657352020103808,0.7111462034478221
va_long_beach,support_only,switzerland,5062,0.6635275023856224,0.7118041847611528
va_long_beach,support_plus_expert_context,cleveland,5062,0.6574711668902964,0.7171996315304645
va_long_beach,support_plus_expert_context,hungary,5062,0.6574352795767082,0.7177260165811291
va_long_beach,support_plus_expert_context,switzerland,5062,0.6574922070472137,0.7170680352677984
va_long_beach,anchor_relative_context,cleveland,5062,0.6571313748425334,0.7169364390051323
va_long_beach,anchor_relative_context,hungary,5062,0.6568452195998102,0.717594420318463
va_long_beach,anchor_relative_context,switzerland,5062,0.6568782629185077,0.7169364390051323
