method,reference_method,observed_difference,bootstrap_mean_difference,percentile_ci_025,percentile_ci_975,basic_ci_025,basic_ci_975,probability_better_descriptive,hospital_count,training_seed_layer_included
support_aware_router,selected_convex_blend,-0.008912900236012877,-0.006992194922971329,-0.03366289510296693,0.03974915326897392,-0.057574953740999676,0.015837094630941177,0.8,4,False
expert:prior_separated,selected_convex_blend,0.05293817027867176,0.04563765134474355,0.0052370548146031095,0.0650814745790605,0.040794865978283024,0.1006392857427404,0.1,4,False
expert:stable_anchor,selected_convex_blend,0.03272354839460623,0.03372690714820357,-0.05866729314152266,0.16826590787534096,-0.1028188110861285,0.12411438993073512,0.2,4,False
equal_logit_blend,selected_convex_blend,-0.013155305976771281,-0.012541590705861994,-0.040403004999837164,0.02721083964103957,-0.05352145159458213,0.014092393046294602,0.8,4,False
selected_best_expert,selected_convex_blend,0.0637784630549546,0.06033504917335743,0.023269678380947463,0.08180508416512922,0.04575184194477999,0.10428724772896175,0.0,4,False
