outer_target,model,weighting,calibration,policy,mask_replicate,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,ebm,site_class_balanced,raw,drop_advanced,0,303.0,0.45874587458745875,0.8630461484470959,0.863913743254654,0.4781349917994623,0.48590526668242195,0.1528346297235632,0.15612417394356992,0.7854785478547854,0.7798955957185472,0.752851711026616,0.7983870967741935,0.7122302158273381,0.7410071942446043,0.22881645522259683,1.5515200706624315,0.11177851953019607
cleveland,ebm,site_class_balanced,raw,drop_exercise,0,303.0,0.45874587458745875,0.6599403404105983,0.6469792865484957,0.6530574986812514,0.6690530781511389,0.23051395380533973,0.23778401382003356,0.6105610561056105,0.5908931391472187,0.4537037037037037,0.6363636363636364,0.35251798561151076,0.37410071942446044,0.20627439532013628,0.891149953604514,0.3007447071499255
cleveland,ebm,site_class_balanced,raw,drop_routine,0,303.0,0.45874587458745875,0.8145727320582559,0.7959648833100268,0.7708947400629997,0.7261190228257772,0.27664316578071135,0.25871536454377814,0.5214521452145214,0.5562818038252325,0.6522781774580336,0.4892086330935252,0.9784172661870504,0.6762589928057554,-1.9388203895165783,1.2579954383383414,0.28630345260773016
cleveland,ebm,site_class_balanced,raw,empirical_source,0,303.0,0.45874587458745875,0.8269433233900684,0.8180566477995903,0.5182146590840359,0.5259404151528336,0.17075052793065404,0.17413888355327883,0.7557755775577558,0.748069836813476,0.7109375,0.7777777777777778,0.6546762589928058,0.7194244604316546,0.17030448611359994,1.3866374480624155,0.13631206285184921
cleveland,ebm,site_class_balanced,raw,empirical_source,1,303.0,0.45874587458745875,0.8330847517108264,0.8127387486771248,0.512791921251918,0.5203247120795456,0.1675172092488689,0.17080888048326184,0.7491749174917491,0.7447139849096334,0.7164179104477612,0.7441860465116279,0.6906474820143885,0.6762589928057554,0.17026754175041864,1.3797060086223027,0.1429950579755339
cleveland,ebm,site_class_balanced,raw,empirical_source,2,303.0,0.45874587458745875,0.8332163537462713,0.8149974699651975,0.5109129129612585,0.5165773019065492,0.16661412654783297,0.16907119453983735,0.7656765676567657,0.760506229163011,0.7320754716981132,0.7698412698412699,0.697841726618705,0.7194244604316546,0.07234713978988333,1.3743246842699641,0.14503142158443835
cleveland,ebm,site_class_balanced,raw,empirical_source,3,303.0,0.45874587458745875,0.811370415862432,0.7867534703739212,0.5322886579821925,0.5371366272958293,0.17688425413412615,0.1790744651699578,0.7326732673267327,0.7272767152131954,0.6943396226415094,0.7301587301587301,0.6618705035971223,0.6546762589928058,0.02386369395554059,1.2552740334909356,0.15523246393308382
cleveland,ebm,site_class_balanced,raw,empirical_source,4,303.0,0.45874587458745875,0.8221617827689068,0.8150179934689826,0.5216597010631097,0.5283658960515708,0.1722390727761713,0.1751644201122829,0.7425742574257426,0.7347780312335497,0.6953125,0.7606837606837606,0.6402877697841727,0.6690647482014388,0.11039858942455541,1.342407807039908,0.14202204871738808
cleveland,ebm,site_class_balanced,raw,empirical_source,5,303.0,0.45874587458745875,0.8015879978943674,0.7952312240090895,0.5394547067739909,0.547160835707514,0.17953537859439164,0.1828175784691084,0.735973597359736,0.7292288120722934,0.6923076923076923,0.743801652892562,0.6474820143884892,0.6474820143884892,0.10636257266389867,1.2212815837373359,0.16399351985999175
cleveland,ebm,site_class_balanced,raw,empirical_source,6,303.0,0.45874587458745875,0.8348833128619054,0.8088244956009235,0.5106254792181516,0.5164811157718189,0.16777940398234054,0.17030169365651676,0.735973597359736,0.7308738375153536,0.6992481203007519,0.7322834645669292,0.6690647482014388,0.6690647482014388,0.10082038715916018,1.3822604781571808,0.13019376831601492
cleveland,ebm,site_class_balanced,raw,empirical_source,7,303.0,0.45874587458745875,0.8259782417968065,0.8201396475403122,0.5197968952243194,0.5260987749971291,0.17120610341887713,0.1739093125462402,0.7392739273927392,0.7328259343744516,0.6973180076628352,0.7459016393442623,0.6546762589928058,0.6762589928057554,0.10353672805665323,1.418564535125519,0.13873341340584006
cleveland,ebm,site_class_balanced,raw,empirical_source,8,303.0,0.45874587458745875,0.8151868748903316,0.8072003212934721,0.5259366263955482,0.5309605351055615,0.17394161409703784,0.176089637649753,0.7392739273927392,0.7350193016318652,0.7063197026022305,0.7307692307692307,0.6834532374100719,0.6690647482014388,0.014966881186466665,1.2756299045771258,0.14916794516929008
cleveland,ebm,site_class_balanced,raw,empirical_source,9,303.0,0.45874587458745875,0.8268994560449201,0.8101344238755566,0.5158442731435211,0.5217862037707247,0.16957789730505332,0.1720952031311461,0.7524752475247525,0.7466660817687314,0.714828897338403,0.7580645161290323,0.6762589928057554,0.6834532374100719,0.08849281083175148,1.3485393760709028,0.135414028618357
cleveland,ebm,site_class_balanced,raw,mar_age_sex_30,0,303.0,0.45874587458745875,0.7686874890331638,0.7675918346059343,0.5766405709952989,0.5717435402487402,0.1985729222797046,0.19674475293897048,0.6633663366336634,0.66763905948412,0.6622516556291391,0.6134969325153374,0.7194244604316546,0.5827338129496403,-0.34807512707997906,0.9423634331594241,0.1844735022746273
cleveland,ebm,site_class_balanced,raw,mar_age_sex_30,1,303.0,0.45874587458745875,0.760835234251623,0.7597415075566005,0.5866559325762659,0.5823681735753946,0.20139656133180417,0.1997597150600384,0.6798679867986799,0.682334620108791,0.6711864406779661,0.6346153846153846,0.7122302158273381,0.6115107913669064,-0.3331860646605121,0.9278275818076119,0.2031712956561334
cleveland,ebm,site_class_balanced,raw,mar_age_sex_30,2,303.0,0.45874587458745875,0.7341638884014738,0.6752290523380757,0.6305316292790522,0.6210584742028862,0.21601427111150584,0.21244376389072478,0.6567656765676567,0.6620898403228637,0.6601307189542484,0.6047904191616766,0.7266187050359713,0.5035971223021583,-0.36497561199289535,0.7231767336995343,0.25708387850910397
cleveland,ebm,site_class_balanced,raw,mar_age_sex_30,3,303.0,0.45874587458745875,0.7352167046850324,0.6773269465479297,0.6247178428142907,0.6156623883253312,0.21464700180375526,0.21113136908835625,0.6666666666666666,0.6712361817862783,0.6666666666666666,0.6158536585365854,0.7266187050359713,0.4316546762589928,-0.3584300038971452,0.7806957675870718,0.2489862564627289
cleveland,ebm,site_class_balanced,raw,mar_age_sex_30,4,303.0,0.45874587458745875,0.7705299175293912,0.7270091954953528,0.5876342286685806,0.5801676238026523,0.19979796312851877,0.1969631648994049,0.6864686468646864,0.6928189155992279,0.6925566343042071,0.6294117647058823,0.7697841726618705,0.5323741007194245,-0.37162520148874073,0.9140642617921638,0.2066603101853287
cleveland,ebm,site_class_balanced,raw,mar_age_sex_30,5,303.0,0.45874587458745875,0.7738199684155115,0.7386142242251048,0.5892819516012249,0.582765126706098,0.19966966098218758,0.19700464733941464,0.6897689768976898,0.6942226706439727,0.6887417218543046,0.6380368098159509,0.7482014388489209,0.6115107913669064,-0.3736913152498916,0.9016011774839345,0.21759245750192494
cleveland,ebm,site_class_balanced,raw,mar_age_sex_30,6,303.0,0.45874587458745875,0.7089401649412177,0.6931458146222258,0.6431660942674381,0.6374877162333754,0.22491827818421553,0.22287500996041568,0.6237623762376238,0.6266669591156343,0.6174496644295302,0.5786163522012578,0.6618705035971223,0.5251798561151079,-0.29446744920088047,0.6444736412603304,0.24937398638132108
cleveland,ebm,site_class_balanced,raw,mar_age_sex_30,7,303.0,0.45874587458745875,0.7214862256536234,0.6597491189715039,0.6388720836737217,0.6309038810690445,0.21981982597850894,0.2168513668474687,0.6534653465346535,0.6579443762063519,0.6534653465346535,0.6036585365853658,0.7122302158273381,0.5035971223021583,-0.32676650466838025,0.7207994807905092,0.27040490872151923
cleveland,ebm,site_class_balanced,raw,mar_age_sex_30,8,303.0,0.45874587458745875,0.7583347955781715,0.6960135529342444,0.6073705875982423,0.5991686596700632,0.20478310224029952,0.20178394509496705,0.7194719471947195,0.7227583786629234,0.7138047138047138,0.6708860759493671,0.762589928057554,0.5611510791366906,-0.36973882789617146,0.8336009617476338,0.2454426208826555
cleveland,ebm,site_class_balanced,raw,mar_age_sex_30,9,303.0,0.45874587458745875,0.7636866116862607,0.727632459277763,0.5979325325832958,0.5895900634480888,0.20377701344469845,0.20054889948559035,0.6897689768976898,0.694771012458326,0.6907894736842105,0.6363636363636364,0.7553956834532374,0.5899280575539568,-0.406455008565733,0.8826344241635349,0.2204305946995807
