seed,epoch,training_objective
7201,2.0,9.77477988490352
7201,4.0,9.680233225410367
7201,6.0,9.557373458956494
7202,2.0,9.748278276419933
7202,4.0,9.603225861066653
7202,6.0,9.497205245642014
7203,2.0,9.768163798767844
7203,4.0,9.659612584997106
7203,6.0,9.570768780178494
