outer_target,meta_training_site,meta_early_stop_site,meta_evaluation_site,router_seed,method,policy,mask_replicate,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,drop_advanced,0,294.0,0.36054421768707484,0.8743476515455642,0.7667214086970633,0.43191708402031787,0.46684643730523445,0.13342941962586505,0.14869422091008394,0.8333333333333334,0.8038438378161381,0.751269035532995,0.8131868131868132,0.6981132075471698,0.8113207547169812,-0.024411642525392435,1.2573177283765808,0.1106041789625676
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,drop_exercise,0,294.0,0.36054421768707484,0.8025642312324367,0.6751170915706639,0.5218377308669181,0.564479878402551,0.1719852822558295,0.19053226130071932,0.7517006802721088,0.7153251706142112,0.6294416243654822,0.6813186813186813,0.5849056603773585,0.6415094339622641,-0.003541709565327074,1.4034308616049425,0.14120054967590626
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,drop_routine,0,294.0,0.36054421768707484,0.8764050582095544,0.774479216832961,0.41739514484913653,0.44975943323478895,0.12881386848606735,0.14240094014908317,0.8299319727891157,0.8073564833400241,0.7549019607843137,0.7857142857142857,0.7264150943396226,0.8113207547169812,-0.1289264810167731,1.098737534350339,0.0949958945327852
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,empirical_source,0,294.0,0.36054421768707484,0.85457647531112,0.7470290331390907,0.46113332605993074,0.4876065055352473,0.14537111653089452,0.15709510908278618,0.8027210884353742,0.7757928542753914,0.7128712871287128,0.75,0.6792452830188679,0.8113207547169812,-0.19835815023463474,1.1890996668711598,0.1273464082945251
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,mar_age_sex_30,0,294.0,0.36054421768707484,0.8424829385788839,0.7379309169468268,0.4746015957961706,0.5103963291297517,0.15241985132397132,0.16745016657175296,0.7925170068027211,0.7678141308711361,0.7024390243902439,0.7272727272727273,0.6792452830188679,0.7452830188679245,-0.12762260009826493,1.1427386980124943,0.11779398006416239
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,mcar_10,0,294.0,0.36054421768707484,0.861350863107186,0.7576574770377846,0.4526796129823817,0.4874121304341539,0.14256243502567045,0.15760917407264888,0.8095238095238095,0.7790545965475713,0.7171717171717171,0.7717391304347826,0.6698113207547169,0.8113207547169812,-0.07987451790594464,1.2168240299692934,0.10917573296491309
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,mcar_30,0,294.0,0.36054421768707484,0.8255720594138901,0.7368455412764249,0.47743573215416996,0.5194321486178249,0.15169885069775363,0.16930708246329812,0.7993197278911565,0.7751906864712966,0.7121951219512195,0.7373737373737373,0.6886792452830188,0.8018867924528302,-0.06050546573016151,1.175289580564914,0.13826137493999924
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,mcar_50,0,294.0,0.36054421768707484,0.7864813327980731,0.6818676916913823,0.5436306097151259,0.5683668977207816,0.1828788415644402,0.19390443148191677,0.7142857142857143,0.6901846647932557,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5754716981132075,-0.34181276726312515,0.9676040630452122,0.1530339115984063
cleveland,va_long_beach,switzerland,hungary,5062,expert:prior_separated,natural,0,294.0,0.36054421768707484,0.8796668004817343,0.7679670754342833,0.4282168123211379,0.4601247673791463,0.13183546107344787,0.1459407356980403,0.8333333333333334,0.8038438378161381,0.751269035532995,0.8131868131868132,0.6981132075471698,0.8301886792452831,-0.04785923504260572,1.2749873143144046,0.10950798886818755
cleveland,va_long_beach,switzerland,hungary,5062,expert:joint_policy_dro,drop_advanced,0,294.0,0.36054421768707484,0.8873444399839423,0.7741212730241617,0.4097433166684937,0.4476616849628349,0.12953036021549375,0.14388303423414142,0.8095238095238095,0.7872842232035326,0.7281553398058253,0.75,0.7075471698113207,0.8301886792452831,-0.000251800672636766,1.0739382446224195,0.07389912892200459
cleveland,va_long_beach,switzerland,hungary,5062,expert:joint_policy_dro,drop_exercise,0,294.0,0.36054421768707484,0.815686471296668,0.6912226728900144,0.5044180562800964,0.5541199254279507,0.16841259081018176,0.18734565897838396,0.7517006802721088,0.7235547972701726,0.6439024390243903,0.6666666666666666,0.6226415094339622,0.6981132075471698,-0.06578687576240962,0.9191792176697361,0.13303808410452256
cleveland,va_long_beach,switzerland,hungary,5062,expert:joint_policy_dro,drop_routine,0,294.0,0.36054421768707484,0.8819751103974308,0.7718882801201751,0.4038158049142935,0.4468035945650754,0.12717085181270918,0.1427731764796381,0.8197278911564626,0.7932055399437976,0.736318407960199,0.7789473684210526,0.6981132075471698,0.7641509433962265,0.05123815432079087,1.078362609652357,0.07295889159650906
