experiment,backend,variant,model,weighting,parameter_id,seed,epoch,training_objective,validation_score
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7201,24.0,9.439520372284782,0.7078458179965295
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7201,26.0,9.405677146381802,0.7092400493592623
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7201,28.0,9.38593734635247,0.707564916815451
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7201,30.0,9.407529844178093,0.7169228869657793
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7202,2.0,10.0265042119556,0.7704041231418581
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7202,4.0,9.737050281630623,0.7244348037007536
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7202,6.0,9.730533520380655,0.7303214354004867
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7202,8.0,9.666731675465902,0.7262823224555275
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7202,10.0,9.676097247335646,0.7283215698020882
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7202,12.0,9.63906971613566,0.7381633448275888
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7203,2.0,10.016829861534966,0.7635403449120957
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7203,4.0,9.731413258446587,0.7206998936269986
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7203,6.0,9.670769611994425,0.713176584142343
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7203,8.0,9.654613746537102,0.719456992792153
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7203,10.0,9.64082814587487,0.7208519224003396
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7203,12.0,9.601961374282837,0.7129755053504043
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7203,14.0,9.573249922858345,0.7176091302876506
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7203,16.0,9.55398612552219,0.7212482700917189
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7203,18.0,9.502259506119621,0.7111575954072911
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7203,20.0,9.486532469590506,0.7418064960166377
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7203,22.0,9.47393974992964,0.7100602582480906
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7203,24.0,9.45793875058492,0.7143187859210502
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7203,26.0,9.408691949314541,0.7201506047395971
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7203,28.0,9.412336508433023,0.7166872260190784
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,7203,30.0,10.324153343836466,0.7418503325382954
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7201,2.0,9.754311733775669,0.7536283129540005
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7201,4.0,9.606629371643066,0.7202431040537939
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7201,6.0,9.513120730717977,0.7047923947197363
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7201,8.0,9.441807243559095,0.7207352740073159
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7201,10.0,9.381898363431295,0.7451879194926332
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7201,12.0,10.387497968143887,0.7792704359982199
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7201,14.0,10.345873369110954,0.7876567112996875
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7202,2.0,9.80562765068478,0.7443658923767797
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7202,4.0,9.642359362708198,0.7049607859688742
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7202,6.0,9.589920587009853,0.7300302956305353
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7202,8.0,9.493594103389317,0.7170329187644477
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7202,10.0,9.414027372996012,0.7008389258837899
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7202,12.0,9.330551624298096,0.7202931908253595
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7202,14.0,10.014906485875448,0.7400540385843472
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7202,16.0,10.356148415141636,0.7766912794696217
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7202,18.0,10.32673388057285,0.8035362575570126
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7203,2.0,9.784439126650492,0.7129681969233814
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7203,4.0,9.610024677382576,0.7278498889995746
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7203,6.0,9.499825371636284,0.7024186026711778
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7203,8.0,9.40758740901947,0.7331772096472644
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7203,10.0,10.365089138348898,0.7807513238597674
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7203,12.0,10.403069098790487,0.7718175108650045
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,7203,14.0,10.29620459344652,0.8555368102364498
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,7201,2.0,0.6708027083012793,0.6719662181618867
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,7201,4.0,0.6547984406352043,0.6756340535763763
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,7201,6.0,0.6352002579304907,0.6759922992468232
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,7201,8.0,0.624114430612988,0.6728306203956179
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,7201,10.0,0.611159060564306,0.6805592494876298
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,7202,2.0,0.6710439903868569,0.6728540648297985
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,7202,4.0,0.6575632443030676,0.6742295950219456
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,7202,6.0,0.641795314848423,0.6716195929455098
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,7202,8.0,0.6266374430722661,0.6725093931179306
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,7202,10.0,0.6139386735028691,0.6792737014711587
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,7202,12.0,0.60961195660962,0.6740757300304614
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,7202,14.0,0.597621813416481,0.6802527619228487
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,7203,2.0,0.6700098108914163,0.6749872794748923
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,7203,4.0,0.6489917495184474,0.6783642969567649
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,7203,6.0,0.6306438404652808,0.6759768730912772
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,7203,8.0,0.6194762777951028,0.6841343828843256
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,7203,10.0,0.6119984106885062,0.68511429209353
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,7201,2.0,0.6708979995714294,0.6716838148055206
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,7201,4.0,0.6498041293687291,0.6722141755518132
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,7201,6.0,0.6345264199707243,0.6757788299385571
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,7201,8.0,0.6267823485864533,0.6734578981088901
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,7201,10.0,0.6143428045842383,0.6789561413008324
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,7202,2.0,0.6716006423036257,0.6714952791406421
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,7202,4.0,0.6573039144277573,0.6769717610275268
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,7202,6.0,0.6389792122774653,0.6754703559106676
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,7202,8.0,0.6297013751334615,0.6784338488480389
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,7202,10.0,0.6187615858183967,0.6865994460980386
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,7203,2.0,0.669195589919885,0.6731088260969509
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,7203,4.0,0.6424026000830863,0.6700810984242249
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,7203,6.0,0.628555855817265,0.6721320636978434
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,7203,8.0,0.6193204563524988,0.6815220503437399
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,7203,10.0,0.6129682353801198,0.678654084306527
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,7203,12.0,0.6061977851721976,0.6815998304230284
