experiment,backend,variant,model,weighting,parameter_id,parameters_json,seed,best_epoch,validation_score,parameter_count,fit_seconds
pooled_erm,neural,pooled,observed_set_transformer,not_applicable,0,"{""batch_size"": 384, ""brier_beta"": 0.0, ""d_model"": 32, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 2, ""inference_batch_size"": 1024, ""learning_rate"": 0.0005, ""max_epochs"": 30, ""minimum_environment_size"": 500, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 4, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",7203,10.0,0.6886870274728745,78241.0,63.61695970001165
prior_separated,neural,prior_separated,observed_set_transformer,not_applicable,0,"{""batch_size"": 384, ""brier_beta"": 0.0, ""d_model"": 32, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 2, ""inference_batch_size"": 1024, ""learning_rate"": 0.0005, ""max_epochs"": 30, ""minimum_environment_size"": 500, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 4, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",7201,2.0,0.6757650996461577,78241.0,58.15115109999897
prior_separated,neural,prior_separated,observed_set_transformer,not_applicable,0,"{""batch_size"": 384, ""brier_beta"": 0.0, ""d_model"": 32, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 2, ""inference_batch_size"": 1024, ""learning_rate"": 0.0005, ""max_epochs"": 30, ""minimum_environment_size"": 500, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 4, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",7202,2.0,0.6812096746582477,78241.0,82.32184569998935
prior_separated,neural,prior_separated,observed_set_transformer,not_applicable,0,"{""batch_size"": 384, ""brier_beta"": 0.0, ""d_model"": 32, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 2, ""inference_batch_size"": 1024, ""learning_rate"": 0.0005, ""max_epochs"": 30, ""minimum_environment_size"": 500, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 4, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",7203,2.0,0.6858846569288377,78241.0,92.4340394000028
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,"{""batch_size"": 384, ""brier_beta"": 0.0, ""d_model"": 32, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 2, ""inference_batch_size"": 1024, ""learning_rate"": 0.0001, ""max_epochs"": 30, ""minimum_environment_size"": 500, ""mirrams_confidence"": 0.95, ""mirrams_lambda_1"": 15.0, ""mirrams_lambda_2"": 15.0, ""mirrams_mask_rate"": 0.2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 4, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",7201,22.0,0.7015175329536576,78241.0,138.1318855999998
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,"{""batch_size"": 384, ""brier_beta"": 0.0, ""d_model"": 32, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 2, ""inference_batch_size"": 1024, ""learning_rate"": 0.0001, ""max_epochs"": 30, ""minimum_environment_size"": 500, ""mirrams_confidence"": 0.95, ""mirrams_lambda_1"": 15.0, ""mirrams_lambda_2"": 15.0, ""mirrams_mask_rate"": 0.2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 4, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",7202,4.0,0.7244348037007536,78241.0,67.02090920000046
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,0,"{""batch_size"": 384, ""brier_beta"": 0.0, ""d_model"": 32, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 2, ""inference_batch_size"": 1024, ""learning_rate"": 0.0001, ""max_epochs"": 30, ""minimum_environment_size"": 500, ""mirrams_confidence"": 0.95, ""mirrams_lambda_1"": 15.0, ""mirrams_lambda_2"": 15.0, ""mirrams_mask_rate"": 0.2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 4, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",7203,22.0,0.7100602582480906,78241.0,145.571380999987
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,"{""batch_size"": 384, ""brier_beta"": 0.0, ""d_model"": 32, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 2, ""inference_batch_size"": 1024, ""learning_rate"": 0.0005, ""max_epochs"": 30, ""minimum_environment_size"": 500, ""mirrams_confidence"": 0.95, ""mirrams_lambda_1"": 15.0, ""mirrams_lambda_2"": 15.0, ""mirrams_mask_rate"": 0.2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 4, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",7201,6.0,0.7047923947197363,78241.0,111.45106699998723
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,"{""batch_size"": 384, ""brier_beta"": 0.0, ""d_model"": 32, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 2, ""inference_batch_size"": 1024, ""learning_rate"": 0.0005, ""max_epochs"": 30, ""minimum_environment_size"": 500, ""mirrams_confidence"": 0.95, ""mirrams_lambda_1"": 15.0, ""mirrams_lambda_2"": 15.0, ""mirrams_mask_rate"": 0.2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 4, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",7202,10.0,0.7008389258837899,78241.0,125.06257389999519
mirrams_equation9,neural,mirrams,observed_set_transformer,not_applicable,1,"{""batch_size"": 384, ""brier_beta"": 0.0, ""d_model"": 32, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 2, ""inference_batch_size"": 1024, ""learning_rate"": 0.0005, ""max_epochs"": 30, ""minimum_environment_size"": 500, ""mirrams_confidence"": 0.95, ""mirrams_lambda_1"": 15.0, ""mirrams_lambda_2"": 15.0, ""mirrams_mask_rate"": 0.2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 4, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",7203,6.0,0.7024186026711778,78241.0,98.3046020000038
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,"{""batch_size"": 384, ""brier_beta"": 0.0, ""d_model"": 32, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 2, ""inference_batch_size"": 1024, ""learning_rate"": 0.0005, ""max_epochs"": 30, ""minimum_environment_size"": 500, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 4, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",7201,2.0,0.6719662181618867,78241.0,251.34983289999946
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,"{""batch_size"": 384, ""brier_beta"": 0.0, ""d_model"": 32, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 2, ""inference_batch_size"": 1024, ""learning_rate"": 0.0005, ""max_epochs"": 30, ""minimum_environment_size"": 500, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 4, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",7202,6.0,0.6716195929455098,78241.0,339.02388309998787
ps_maskdro,neural,ps_maskdro,observed_set_transformer,not_applicable,0,"{""batch_size"": 384, ""brier_beta"": 0.0, ""d_model"": 32, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 2, ""inference_batch_size"": 1024, ""learning_rate"": 0.0005, ""max_epochs"": 30, ""minimum_environment_size"": 500, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 4, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",7203,2.0,0.6749872794748923,78241.0,263.8575980000023
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,"{""batch_size"": 384, ""brier_beta"": 0.0, ""d_model"": 32, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 2, ""inference_batch_size"": 1024, ""learning_rate"": 0.0005, ""max_epochs"": 30, ""minimum_environment_size"": 500, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 4, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",7201,2.0,0.6716838148055206,78241.0,319.75057169998763
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,"{""batch_size"": 384, ""brier_beta"": 0.0, ""d_model"": 32, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 2, ""inference_batch_size"": 1024, ""learning_rate"": 0.0005, ""max_epochs"": 30, ""minimum_environment_size"": 500, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 4, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",7202,2.0,0.6714952791406421,78241.0,324.5231482999952
ps_maskdro_ane,neural,ps_maskdro_ane,observed_set_transformer,not_applicable,0,"{""batch_size"": 384, ""brier_beta"": 0.0, ""d_model"": 32, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 2, ""inference_batch_size"": 1024, ""learning_rate"": 0.0005, ""max_epochs"": 30, ""minimum_environment_size"": 500, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 4, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",7203,4.0,0.6700810984242249,78241.0,381.2860209999926
