outer_target,inner_validation,experiment,variant,parameter_id,seed,epoch,objective,validation_score,mean_group_risk,robust_group_risk,mean_group_brier
cleveland,hungary,v2_attention_smoke,v2,0,5062,1.0,0.7613565921783447,0.7088198505373292,0.7613565921783447,0.7929770350456238,0.28273579478263855
cleveland,hungary,v2_attention_smoke,v2,0,5062,2.0,0.719616174697876,0.6893074618437247,0.719616174697876,0.7456594705581665,0.26301419734954834
cleveland,hungary,v2_attention_smoke,v2,0,5062,3.0,0.6905382871627808,0.6818602347895003,0.6905382871627808,0.7111214399337769,0.24872860312461853
cleveland,switzerland,v2_attention_smoke,v2,0,5062,1.0,0.753265380859375,0.6422852951206295,0.753265380859375,0.7575802803039551,0.2774374485015869
cleveland,switzerland,v2_attention_smoke,v2,0,5062,2.0,0.6901640892028809,0.6396601786357603,0.6901640892028809,0.7148129940032959,0.2483898401260376
cleveland,switzerland,v2_attention_smoke,v2,0,5062,3.0,0.6673989295959473,0.6407555405876313,0.6673989295959473,0.6994941830635071,0.23729291558265686
cleveland,va_long_beach,v2_attention_smoke,v2,0,5062,1.0,0.7159177660942078,0.7189695477466245,0.7159177660942078,0.7622308731079102,0.25956374406814575
cleveland,va_long_beach,v2_attention_smoke,v2,0,5062,2.0,0.6487289667129517,0.6884152440703877,0.6487289667129517,0.6947236657142639,0.22816413640975952
cleveland,va_long_beach,v2_attention_smoke,v2,0,5062,3.0,0.625501275062561,0.6794403970476424,0.625501275062561,0.660681962966919,0.21756620705127716
cleveland,hungary,v2_deepsets_smoke,v2,0,5062,1.0,0.7129707336425781,0.7221091233802014,0.7129707336425781,0.7132670879364014,0.2596769332885742
cleveland,hungary,v2_deepsets_smoke,v2,0,5062,2.0,0.7039264440536499,0.7134621513946922,0.7039264440536499,0.7051984667778015,0.2553054094314575
cleveland,hungary,v2_deepsets_smoke,v2,0,5062,3.0,0.6966003775596619,0.7062436108400041,0.6966003775596619,0.6988617181777954,0.2517094910144806
cleveland,switzerland,v2_deepsets_smoke,v2,0,5062,1.0,0.7025560736656189,0.694041114278962,0.7025560736656189,0.703000545501709,0.25465601682662964
cleveland,switzerland,v2_deepsets_smoke,v2,0,5062,2.0,0.6960058212280273,0.6880914676707173,0.6960058212280273,0.6969255208969116,0.25142616033554077
cleveland,switzerland,v2_deepsets_smoke,v2,0,5062,3.0,0.6902742385864258,0.683044003392073,0.6902742385864258,0.6925958395004272,0.24857595562934875
cleveland,va_long_beach,v2_deepsets_smoke,v2,0,5062,1.0,0.695281982421875,0.6920033723838734,0.695281982421875,0.6959278583526611,0.251065731048584
cleveland,va_long_beach,v2_deepsets_smoke,v2,0,5062,2.0,0.6903003454208374,0.6900053922572342,0.6903003454208374,0.6919129490852356,0.24857988953590393
cleveland,va_long_beach,v2_deepsets_smoke,v2,0,5062,3.0,0.6857210993766785,0.688075234248056,0.6857210993766785,0.6879587173461914,0.2462921440601349
hungary,cleveland,v2_attention_smoke,v2,0,5062,1.0,0.7526082992553711,0.7211736461891596,0.7526082992553711,0.7546911239624023,0.27862265706062317
hungary,cleveland,v2_attention_smoke,v2,0,5062,2.0,0.7210500836372375,0.7000791515994649,0.7210500836372375,0.7226191759109497,0.2636141777038574
hungary,cleveland,v2_attention_smoke,v2,0,5062,3.0,0.6983432769775391,0.6808230469653184,0.6983432769775391,0.6996378898620605,0.25257307291030884
hungary,switzerland,v2_attention_smoke,v2,0,5062,1.0,0.6984267234802246,0.7101761741930539,0.6984267234802246,0.699733555316925,0.25259366631507874
hungary,switzerland,v2_attention_smoke,v2,0,5062,2.0,0.6772487759590149,0.7023123826371113,0.6772487759590149,0.678034782409668,0.24218761920928955
