outer_target,inner_validation,experiment,variant,parameter_id,seed,epoch,objective,validation_score,mean_group_risk,robust_group_risk,mean_group_brier
cleveland,hungary,v0_pooled_erm,v0,0,5062,5.0,0.4544924199581146,1.0063395487226017,0.4544924199581146,0.4544924199581146,0.1424088031053543
cleveland,hungary,v0_pooled_erm,v0,0,5062,10.0,0.4076274335384369,0.6065399941458636,0.4076274335384369,0.4076274335384369,0.12478793412446976
cleveland,hungary,v0_pooled_erm,v0,0,5062,15.0,0.393696129322052,0.7431679318255482,0.393696129322052,0.393696129322052,0.12210675328969955
cleveland,hungary,v0_pooled_erm,v0,0,5062,20.0,0.3571391999721527,0.5548836811368609,0.3571391999721527,0.3571391999721527,0.10632480680942535
cleveland,hungary,v0_pooled_erm,v0,0,5062,25.0,0.3245841860771179,0.5990077770999893,0.3245841860771179,0.3245841860771179,0.09577558189630508
cleveland,hungary,v0_pooled_erm,v0,0,5062,30.0,0.3283011019229889,0.5738506386545988,0.3283011019229889,0.3283011019229889,0.09682846814393997
cleveland,hungary,v0_pooled_erm,v0,0,5062,35.0,0.292411208152771,0.5964208034053371,0.292411208152771,0.292411208152771,0.08544492721557617
cleveland,hungary,v0_pooled_erm,v0,0,5062,40.0,0.2718237042427063,0.6196174695769981,0.2718237042427063,0.2718237042427063,0.07686284929513931
cleveland,hungary,v0_pooled_erm,v0,0,5062,45.0,0.25626128911972046,0.6554702317201836,0.25626128911972046,0.25626128911972046,0.07115376740694046
cleveland,hungary,v0_pooled_erm,v0,0,5062,50.0,0.2576206624507904,0.7065377089991611,0.2576206624507904,0.2576206624507904,0.07511880993843079
cleveland,hungary,v0_pooled_erm,v0,0,5062,55.0,0.2317323386669159,0.7518821180725178,0.2317323386669159,0.2317323386669159,0.06515052169561386
cleveland,hungary,v0_pooled_erm,v0,0,5062,60.0,0.19873282313346863,0.8388674739729816,0.19873282313346863,0.19873282313346863,0.05490061268210411
cleveland,switzerland,v0_pooled_erm,v0,0,5062,5.0,0.5105529427528381,0.7090868225879488,0.5105529427528381,0.5105529427528381,0.16612623631954193
cleveland,switzerland,v0_pooled_erm,v0,0,5062,10.0,0.42450207471847534,0.7332115722690795,0.42450207471847534,0.42450207471847534,0.13491052389144897
cleveland,switzerland,v0_pooled_erm,v0,0,5062,15.0,0.404939204454422,0.7170701997477502,0.404939204454422,0.404939204454422,0.12902963161468506
cleveland,switzerland,v0_pooled_erm,v0,0,5062,20.0,0.390603244304657,0.7759551609841198,0.390603244304657,0.390603244304657,0.12442293018102646
cleveland,switzerland,v0_pooled_erm,v0,0,5062,25.0,0.3748604357242584,0.78378368188373,0.3748604357242584,0.3748604357242584,0.11692065745592117
cleveland,switzerland,v0_pooled_erm,v0,0,5062,30.0,0.3567602038383484,0.789717341604319,0.3567602038383484,0.3567602038383484,0.1117529645562172
cleveland,switzerland,v0_pooled_erm,v0,0,5062,35.0,0.3375490605831146,0.8040084917081616,0.3375490605831146,0.3375490605831146,0.10504210740327835
cleveland,switzerland,v0_pooled_erm,v0,0,5062,40.0,0.3438901901245117,0.8226600590021771,0.3438901901245117,0.3438901901245117,0.1070268303155899
cleveland,switzerland,v0_pooled_erm,v0,0,5062,45.0,0.328195184469223,0.8529277351442477,0.328195184469223,0.328195184469223,0.10162340104579926
cleveland,va_long_beach,v0_pooled_erm,v0,0,5062,5.0,0.45594125986099243,0.7784858927150522,0.45594125986099243,0.45594125986099243,0.14238972961902618
cleveland,va_long_beach,v0_pooled_erm,v0,0,5062,10.0,0.3477102816104889,0.9385446586222196,0.3477102816104889,0.3477102816104889,0.10389294475317001
cleveland,va_long_beach,v0_pooled_erm,v0,0,5062,15.0,0.32930123805999756,1.0098514648123262,0.32930123805999756,0.32930123805999756,0.09930987656116486
cleveland,va_long_beach,v0_pooled_erm,v0,0,5062,20.0,0.3095313012599945,1.0207343833421312,0.3095313012599945,0.3095313012599945,0.09260818362236023
cleveland,va_long_beach,v0_pooled_erm,v0,0,5062,25.0,0.29880183935165405,1.0174002510267874,0.29880183935165405,0.29880183935165405,0.0890239030122757
cleveland,va_long_beach,v0_pooled_erm,v0,0,5062,30.0,0.2780114412307739,1.0822462980871856,0.2780114412307739,0.2780114412307739,0.08202598243951797
cleveland,va_long_beach,v0_pooled_erm,v0,0,5062,35.0,0.26206547021865845,1.1602747724281137,0.26206547021865845,0.26206547021865845,0.07741093635559082
cleveland,va_long_beach,v0_pooled_erm,v0,0,5062,40.0,0.2581322491168976,1.19075291912229,0.2581322491168976,0.2581322491168976,0.07564191520214081
cleveland,va_long_beach,v0_pooled_erm,v0,0,5062,45.0,0.23420923948287964,1.2337702064387854,0.23420923948287964,0.23420923948287964,0.06822136789560318
cleveland,hungary,v0_pooled_erm,v0,1,5062,5.0,0.40782031416893005,0.6180239501664799,0.40782031416893005,0.40782031416893005,0.12619855999946594
cleveland,hungary,v0_pooled_erm,v0,1,5062,10.0,0.3629220426082611,0.6022695549434212,0.3629220426082611,0.3629220426082611,0.10961833596229553
cleveland,hungary,v0_pooled_erm,v0,1,5062,15.0,0.336076557636261,0.563349815453877,0.336076557636261,0.336076557636261,0.10057263821363449
cleveland,hungary,v0_pooled_erm,v0,1,5062,20.0,0.33419671654701233,0.5907143782315002,0.33419671654701233,0.33419671654701233,0.10200541466474533
cleveland,hungary,v0_pooled_erm,v0,1,5062,25.0,0.26739004254341125,0.6841546256708151,0.26739004254341125,0.26739004254341125,0.07715637236833572
cleveland,hungary,v0_pooled_erm,v0,1,5062,30.0,0.25002342462539673,0.7804310433021778,0.25002342462539673,0.25002342462539673,0.07148398458957672
cleveland,hungary,v0_pooled_erm,v0,1,5062,35.0,0.24858838319778442,0.8595045795155618,0.24858838319778442,0.24858838319778442,0.07206883281469345
cleveland,hungary,v0_pooled_erm,v0,1,5062,40.0,0.1877404749393463,0.9550338919543979,0.1877404749393463,0.1877404749393463,0.054644037038087845
cleveland,hungary,v0_pooled_erm,v0,1,5062,45.0,0.16537612676620483,0.9908257121595374,0.16537612676620483,0.16537612676620483,0.046400897204875946
