outer_target,inner_validation,model,weighting,parameter_id,parameters_json,seed,fit_seed,fit_seconds,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,hungary,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 4, ""version"": ""v3""}",5062,3850963155,2.7550304000033066,294.0,0.36054421768707484,0.889050582095544,0.8133457056744695,0.5933301221124203,0.5178598898564223,0.20165327802887995,0.17150686490663997,0.7414965986394558,0.7875853071055801,0.7266187050359713,0.5872093023255814,0.9528301886792453,0.7641509433962265,-1.8129858074322853,1.593792250220623,0.20965874143596086
cleveland,switzerland,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 4, ""version"": ""v3""}",5062,732131093,0.9824209000071278,123.0,0.9349593495934959,0.7456521739130435,0.9678737280642178,0.5338864009967546,0.6271899023215289,0.17670425182947322,0.20815824468330868,0.7642276422764228,0.6994565217391304,0.8599033816425121,0.967391304347826,0.7739130434782608,0.5652173913043478,2.5431315293784356,0.7482570510380151,0.15886651257748796
cleveland,va_long_beach,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 4, ""version"": ""v3""}",5062,380456683,0.8154999999969732,200.0,0.745,0.7237794446637716,0.8699020394215284,0.5438310071323358,0.6771235091853551,0.18060574632605608,0.2258255763025593,0.73,0.6769311751546256,0.8125,0.841726618705036,0.785234899328859,0.37583892617449666,0.6779128195761875,0.6059202269069623,0.15605508366770343
cleveland,hungary,tabpfn,pooled,1,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v3""}",5062,3850963155,1.414652899999055,294.0,0.36054421768707484,0.8893014853472501,0.8187030413559083,0.5956909768820537,0.5190218971189307,0.20266516414622718,0.17208218160086736,0.7380952380952381,0.784925732637495,0.7240143369175627,0.5838150289017341,0.9528301886792453,0.7641509433962265,-1.8294334218625854,1.5875416766798343,0.209065625656782
cleveland,switzerland,tabpfn,pooled,1,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v3""}",5062,732131093,1.5860814999905415,123.0,0.9349593495934959,0.7565217391304349,0.9689665180048207,0.5369126824948961,0.6190377087549056,0.1776976332163007,0.20596267210360175,0.7560975609756098,0.6951086956521739,0.8543689320388349,0.967032967032967,0.7652173913043478,0.6086956521739131,2.5814700456104287,0.7691745379905001,0.160816550771163
cleveland,va_long_beach,tabpfn,pooled,1,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v3""}",5062,380456683,1.1548737999983132,200.0,0.745,0.7243058297144361,0.8678769329108824,0.5517691766141722,0.6749949643306035,0.1838496479407012,0.22476818717260147,0.72,0.6702197657586524,0.8041958041958042,0.8394160583941606,0.7718120805369127,0.42953020134228187,0.7202557912081772,0.5938475757663799,0.16297264296429637
hungary,cleveland,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 4, ""version"": ""v3""}",5062,571367561,0.9679977999912808,303.0,0.45874587458745875,0.7939112124934199,0.7861598340172157,0.7886640591076215,0.7444183937033302,0.2906812519160565,0.27179711337461976,0.45874587458745875,0.5,0.6289592760180995,0.45874587458745875,1.0,0.7050359712230215,-2.458195291409716,1.798030665643272,0.30459925648657316
hungary,switzerland,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 4, ""version"": ""v3""}",5062,155135766,0.6883376000041608,123.0,0.9349593495934959,0.7206521739130435,0.9626391522380631,0.40051407378081344,0.7053437141297092,0.1216714122083074,0.2337877215078132,0.8617886178861789,0.6934782608695652,0.9230769230769231,0.9622641509433962,0.8869565217391304,0.4956521739130435,2.1169278117521335,0.672894667988957,0.07354788752423451
hungary,va_long_beach,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 4, ""version"": ""v3""}",5062,1701210208,0.7463799999968614,200.0,0.745,0.6787735228319516,0.827034496170221,0.59759827940505,0.9912264697615267,0.18090010856467664,0.3118045711026723,0.75,0.535596789051191,0.8529411764705882,0.7591623036649214,0.9731543624161074,0.46308724832214765,0.3274045889754582,0.4165176553751956,0.1793206699746384
hungary,cleveland,tabpfn,pooled,1,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v3""}",5062,571367561,1.1039111999998568,303.0,0.45874587458745875,0.7995262326723986,0.785989061074375,0.7771658137324738,0.7339668690912664,0.2860319824368029,0.2675436357520445,0.45874587458745875,0.5,0.6289592760180995,0.45874587458745875,1.0,0.6546762589928058,-2.4573926166976383,1.8375815835833118,0.30344984269879194
