experiment,macro_site_worst_mask_balanced_log_loss_3seed,worst_site_mask_balanced_log_loss_3seed,macro_natural_roc_auc_3seed,macro_site_worst_mask_balanced_log_loss_10seed,worst_site_mask_balanced_log_loss_10seed,macro_natural_roc_auc_10seed,delta_10seed_minus_3seed_primary
v4_structured_policy_bank,0.6180713536874614,0.676198140288547,0.8064506454991865,0.6004580840476486,0.664594593311332,0.8181956595576213,-0.0176132696398128
v2_prior_separated,0.6025088335421755,0.6938785648208381,0.8183222613744907,0.6034340659455871,0.6723574158826211,0.8165371390728581,0.00092523240341158
v3_mcar_augmentation,0.6159557678546476,0.6718079621409632,0.803982814141414,0.6065472056758565,0.6789033288413795,0.805687900762694,-0.009408562178791047
v5_site_mask_dro_brier,0.6164417529017989,0.6970241266884594,0.8120545766088467,0.6108123393969767,0.6971172101534573,0.810964618621685,-0.005629413504822267
v5_mask_only_dro,0.6259485409171809,0.699206911466918,0.8014861030595164,0.6111895905602818,0.6904690455831761,0.8134360830661242,-0.014758950356899114
v5_site_mask_dro,0.624153283791868,0.6978227528381729,0.8019242546835434,0.6221193337568891,0.696564039728941,0.8040214118142018,-0.0020339500349788597
v7_ane,0.6261495073598315,0.6665395209838701,0.8048828803801307,0.6225038562946512,0.6547629928577149,0.8042582821360982,-0.003645651065180333
v5_site_only_dro,0.6405003449640447,0.7393775502799708,0.8064839873055836,0.6270009541614281,0.7112347324638112,0.8128443144079388,-0.01349939080261664
v0_pooled_erm,0.6477786383237008,0.7520865629326617,0.8286153359350468,0.6391197060589282,0.7510668853973446,0.8154542808489784,-0.008658932264772545
v1_site_balanced,0.6807228543773371,0.7879792577752879,0.8036110277338113,0.6864558389061186,0.8269535093582825,0.8183314024989731,0.00573298452878146
