outer_target,inner_validation,experiment,variant,parameter_id,seed,epoch,objective,validation_score,mean_group_risk,robust_group_risk,mean_group_brier
cleveland,hungary,v0_pooled_erm,v0,0,5062,5.0,0.43709346652030945,0.8126195440806295,0.43709346652030945,0.43709346652030945,0.13796444237232208
cleveland,hungary,v0_pooled_erm,v0,0,5062,10.0,0.3906742036342621,0.7127653187327403,0.3906742036342621,0.3906742036342621,0.11982601881027222
cleveland,hungary,v0_pooled_erm,v0,0,5062,15.0,0.37754130363464355,0.5876026153417008,0.37754130363464355,0.37754130363464355,0.11539865285158157
cleveland,hungary,v0_pooled_erm,v0,0,5062,20.0,0.3613327145576477,0.5962972275806183,0.3613327145576477,0.3613327145576477,0.11209194362163544
cleveland,hungary,v0_pooled_erm,v0,0,5062,25.0,0.32782334089279175,0.5737492714849222,0.32782334089279175,0.32782334089279175,0.09917733073234558
cleveland,hungary,v0_pooled_erm,v0,0,5062,30.0,0.30722329020500183,0.5909560176440494,0.30722329020500183,0.30722329020500183,0.09143078327178955
cleveland,hungary,v0_pooled_erm,v0,0,5062,35.0,0.2875073254108429,0.6038095226054339,0.2875073254108429,0.2875073254108429,0.083936408162117
cleveland,hungary,v0_pooled_erm,v0,0,5062,40.0,0.23564472794532776,0.615922196163611,0.23564472794532776,0.23564472794532776,0.06634614616632462
cleveland,hungary,v0_pooled_erm,v0,0,5062,45.0,0.23417304456233978,0.6597892486453643,0.23417304456233978,0.23417304456233978,0.06747394055128098
cleveland,hungary,v0_pooled_erm,v0,0,5062,50.0,0.22328485548496246,0.7495326743212403,0.22328485548496246,0.22328485548496246,0.0656186118721962
cleveland,hungary,v0_pooled_erm,v0,0,5062,55.0,0.17808489501476288,0.786101774411235,0.17808489501476288,0.17808489501476288,0.05090440437197685
cleveland,hungary,v0_pooled_erm,v0,0,5062,60.0,0.15745872259140015,0.8726106640936756,0.15745872259140015,0.15745872259140015,0.04178766906261444
cleveland,hungary,v0_pooled_erm,v0,0,5062,65.0,0.1621810346841812,0.9134484088493404,0.1621810346841812,0.1621810346841812,0.04467802122235298
cleveland,hungary,v0_pooled_erm,v0,0,5063,5.0,0.45137810707092285,0.9229396919587716,0.45137810707092285,0.45137810707092285,0.14165203273296356
cleveland,hungary,v0_pooled_erm,v0,0,5063,10.0,0.41550347208976746,0.648695004843348,0.41550347208976746,0.41550347208976746,0.1282142549753189
cleveland,hungary,v0_pooled_erm,v0,0,5063,15.0,0.3841589093208313,0.5449539475607493,0.3841589093208313,0.3841589093208313,0.11878065019845963
cleveland,hungary,v0_pooled_erm,v0,0,5063,20.0,0.36925873160362244,0.5405819914636533,0.36925873160362244,0.36925873160362244,0.11008612811565399
cleveland,hungary,v0_pooled_erm,v0,0,5063,25.0,0.3429090082645416,0.5497832253157595,0.3429090082645416,0.3429090082645416,0.10100874304771423
cleveland,hungary,v0_pooled_erm,v0,0,5063,30.0,0.34482553601264954,0.5822804441631811,0.34482553601264954,0.34482553601264954,0.10111632943153381
cleveland,hungary,v0_pooled_erm,v0,0,5063,35.0,0.3278402090072632,0.5915503607446049,0.3278402090072632,0.3278402090072632,0.09720520675182343
cleveland,hungary,v0_pooled_erm,v0,0,5063,40.0,0.30229026079177856,0.5988723238909914,0.30229026079177856,0.30229026079177856,0.08744937926530838
cleveland,hungary,v0_pooled_erm,v0,0,5063,45.0,0.29731205105781555,0.6284255258698141,0.29731205105781555,0.29731205105781555,0.08613802492618561
cleveland,hungary,v0_pooled_erm,v0,0,5063,50.0,0.2682598829269409,0.7276577567880533,0.2682598829269409,0.2682598829269409,0.07764207571744919
cleveland,hungary,v0_pooled_erm,v0,0,5063,55.0,0.2749040722846985,0.7881675948552683,0.2749040722846985,0.2749040722846985,0.0805882140994072
cleveland,hungary,v0_pooled_erm,v0,0,5063,60.0,0.21594993770122528,0.8785369508510016,0.21594993770122528,0.21594993770122528,0.058286894112825394
