outer_target,model,weighting,parameters_json,seed,source_rows,source_samples,source_sites,intercept,slope
switzerland,realmlp,pooled,"{""batch_size"": 128, ""device"": ""cuda"", ""n_epochs"": 256}",5064,797,797,3,-0.016703466803862393,0.826527992979752
switzerland,tabicl,pooled,"{""batch_size"": 8, ""checkpoint_version"": ""tabicl-classifier-v2-20260212.ckpt"", ""device"": ""cuda"", ""n_estimators"": 8}",5062,797,797,3,-0.033249142766159284,0.8883367095765182
switzerland,tabicl,pooled,"{""batch_size"": 8, ""checkpoint_version"": ""tabicl-classifier-v2-20260212.ckpt"", ""device"": ""cuda"", ""n_estimators"": 8}",5063,797,797,3,0.003193702918501753,0.9037323109158917
switzerland,tabicl,pooled,"{""batch_size"": 8, ""checkpoint_version"": ""tabicl-classifier-v2-20260212.ckpt"", ""device"": ""cuda"", ""n_estimators"": 8}",5064,797,797,3,-0.035670511115254676,0.8893358120656504
switzerland,tabm,pooled,"{""batch_size"": 128, ""device"": ""cuda"", ""n_epochs"": 256, ""patience"": 20, ""tabm_k"": 16}",5062,797,797,3,0.043730606498344565,0.593220658581576
switzerland,tabm,pooled,"{""batch_size"": 128, ""device"": ""cuda"", ""n_epochs"": 256, ""patience"": 20, ""tabm_k"": 16}",5063,797,797,3,0.3036168255511063,0.3949223047888429
switzerland,tabm,pooled,"{""batch_size"": 128, ""device"": ""cuda"", ""n_epochs"": 256, ""patience"": 20, ""tabm_k"": 16}",5064,797,797,3,0.36841124318192603,0.5566181417885828
va_long_beach,ft_transformer,pooled,"{""batch_size"": 128, ""device"": ""cuda"", ""max_epochs"": 200, ""patience"": 20}",5062,720,720,3,0.004900770941884027,0.6261188202848873
va_long_beach,ft_transformer,pooled,"{""batch_size"": 128, ""device"": ""cuda"", ""max_epochs"": 200, ""patience"": 20}",5063,720,720,3,-0.4483209741035252,0.5970994530469919
va_long_beach,ft_transformer,pooled,"{""batch_size"": 128, ""device"": ""cuda"", ""max_epochs"": 200, ""patience"": 20}",5064,720,720,3,-0.18135400626996956,0.6407862975368372
va_long_beach,realmlp,pooled,"{""batch_size"": 128, ""device"": ""cuda"", ""n_epochs"": 256}",5062,720,720,3,-0.18987511511492694,0.46321049282481586
va_long_beach,realmlp,pooled,"{""batch_size"": 128, ""device"": ""cuda"", ""n_epochs"": 256}",5063,720,720,3,-0.2656543949250328,0.3393891198451406
va_long_beach,realmlp,pooled,"{""batch_size"": 128, ""device"": ""cuda"", ""n_epochs"": 256}",5064,720,720,3,0.04277336711520855,0.4558105833194657
va_long_beach,tabicl,pooled,"{""batch_size"": 8, ""checkpoint_version"": ""tabicl-classifier-v2-20260212.ckpt"", ""device"": ""cuda"", ""n_estimators"": 8}",5062,720,720,3,-0.11328445701083556,0.8100870703597874
va_long_beach,tabicl,pooled,"{""batch_size"": 8, ""checkpoint_version"": ""tabicl-classifier-v2-20260212.ckpt"", ""device"": ""cuda"", ""n_estimators"": 8}",5063,720,720,3,-0.060549338771687514,0.8339647920478276
va_long_beach,tabicl,pooled,"{""batch_size"": 8, ""checkpoint_version"": ""tabicl-classifier-v2-20260212.ckpt"", ""device"": ""cuda"", ""n_estimators"": 8}",5064,720,720,3,-0.02553200739755428,0.827708144658151
va_long_beach,tabm,pooled,"{""batch_size"": 128, ""device"": ""cuda"", ""n_epochs"": 256, ""patience"": 20, ""tabm_k"": 16}",5062,720,720,3,-0.1257360374245385,0.18938384395777033
va_long_beach,tabm,pooled,"{""batch_size"": 128, ""device"": ""cuda"", ""n_epochs"": 256, ""patience"": 20, ""tabm_k"": 16}",5063,720,720,3,-0.1101596462649328,0.5164736537430902
va_long_beach,tabm,pooled,"{""batch_size"": 128, ""device"": ""cuda"", ""n_epochs"": 256, ""patience"": 20, ""tabm_k"": 16}",5064,720,720,3,-0.1079453239524328,0.44396984496990444
