outer_target,inner_validation,control,parameter_id,parameters_json,seed,policy,mask_replicate,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,hungary,logistic_natural,0,"{""C"": 1.0}",5062,natural,0,294.0,0.36054421768707484,0.8858892011240466,0.7858822484314493,0.4183451242595987,0.48072065021047783,0.13472746681410852,0.15738485253239343,0.8163265306122449,0.7823163388197512,0.7216494845360825,0.7954545454545454,0.660377358490566,0.839622641509434,0.2724958048253736,0.9820562079684834,0.07801207479371976
cleveland,hungary,logistic_natural,0,"{""C"": 1.0}",5062,mcar_10,0,294.0,0.36054421768707484,0.871688077077479,0.7692098780975218,0.4336615072225297,0.4873444020195946,0.13869049400832684,0.15861376910365446,0.8095238095238095,0.7790545965475713,0.7171717171717171,0.7717391304347826,0.6698113207547169,0.8018867924528302,0.11864961264158361,1.0101692521142704,0.09286305218736597
cleveland,hungary,logistic_natural,0,"{""C"": 1.0}",5062,mcar_30,0,294.0,0.36054421768707484,0.811521477318346,0.6651913892083429,0.5289553952971658,0.5316083649552118,0.1768732894578312,0.17781797029215152,0.7482993197278912,0.7496989160979526,0.6837606837606838,0.625,0.7547169811320755,0.6886792452830188,-0.4994158641318224,0.8776907055792483,0.14716578819957657
cleveland,hungary,logistic_natural,0,"{""C"": 1.0}",5062,mcar_50,0,294.0,0.36054421768707484,0.7705238859895625,0.6395273713236427,0.6123567294074418,0.580421059947689,0.21287904028004456,0.19843747240546616,0.6394557823129252,0.6728221597751907,0.6131386861313869,0.5,0.7924528301886793,0.5849056603773585,-0.8394883357869682,0.962380992580847,0.2286211629639116
cleveland,hungary,logistic_natural,0,"{""C"": 1.0}",5062,drop_routine,0,294.0,0.36054421768707484,0.8831794460056202,0.770317415338943,0.5350500927914573,0.4708652994514823,0.16864347465136917,0.14703263004276867,0.782312925170068,0.8112705740666399,0.751937984496124,0.6381578947368421,0.9150943396226415,0.7735849056603774,-1.342791531173842,1.0145222973073926,0.17099148625699007
cleveland,hungary,logistic_natural,0,"{""C"": 1.0}",5062,drop_exercise,0,294.0,0.36054421768707484,0.7956142111601767,0.6134102473072727,0.545990332505512,0.6602574586066885,0.18836757368125256,0.2346221255102437,0.6700680272108843,0.5650843034925733,0.291970802919708,0.6451612903225806,0.18867924528301888,0.5849056603773585,0.6588044024655415,1.0864868606767095,0.15830625065397358
cleveland,hungary,logistic_natural,0,"{""C"": 1.0}",5062,drop_advanced,0,294.0,0.36054421768707484,0.8918606985146528,0.8056615359717438,0.4125312377469247,0.4875319425300926,0.13226800022984533,0.1596990428129264,0.826530612244898,0.7861802488960257,0.7272727272727273,0.8395061728395061,0.6415094339622641,0.8207547169811321,0.4725172033716521,1.0489532901511374,0.07592439665062911
cleveland,hungary,logistic_natural,0,"{""C"": 1.0}",5062,mar_age_sex_30,0,294.0,0.36054421768707484,0.8635588117221998,0.7565481283573653,0.442393017523651,0.4850700383050397,0.14262574366261208,0.15788829109270994,0.8061224489795918,0.7846246487354476,0.7246376811594203,0.7425742574257426,0.7075471698113207,0.7452830188679245,-0.05406483323503918,0.9492394457172089,0.09249473003711686
cleveland,hungary,logistic_natural,0,"{""C"": 1.0}",5062,empirical_source,0,294.0,0.36054421768707484,0.8577880369329587,0.7254953695596332,0.45723447499582903,0.5073521378394521,0.14616382093451105,0.16517129066028316,0.7925170068027211,0.7554696908871938,0.6839378238341969,0.7586206896551724,0.6226415094339622,0.7452830188679245,0.03077387639926527,0.9433930839288973,0.10928880001043006
cleveland,switzerland,logistic_natural,0,"{""C"": 1.0}",5062,natural,0,123.0,0.9349593495934959,0.7597826086956521,0.9731785505778376,0.8839530778897428,0.6700736654522509,0.3039717816403753,0.22522160107324832,0.5040650406504065,0.6766304347826086,0.6432748538011696,0.9821428571428571,0.4782608695652174,0.5565217391304348,3.079786117685723,0.6066007763411201,0.4547159319382291
cleveland,switzerland,logistic_natural,0,"{""C"": 1.0}",5062,mcar_10,0,123.0,0.9349593495934959,0.7336956521739131,0.971920214619415,0.8901361467247695,0.6898813245596656,0.3089072601715775,0.23454523930900667,0.5203252032520326,0.6853260869565218,0.6589595375722543,0.9827586206896551,0.4956521739130435,0.5565217391304348,2.9983688097208816,0.5451540455110232,0.44640268388823784
cleveland,switzerland,logistic_natural,0,"{""C"": 1.0}",5062,mcar_30,0,123.0,0.9349593495934959,0.75,0.9790309034711633,0.7759436132608027,0.6011455733381106,0.27331977894256126,0.20299221895428815,0.5772357723577236,0.7157608695652173,0.7111111111111111,0.9846153846153847,0.5565217391304348,0.5565217391304348,2.93808802048162,0.6765276374260425,0.39252488200647817
cleveland,switzerland,logistic_natural,0,"{""C"": 1.0}",5062,mcar_50,0,123.0,0.9349593495934959,0.691304347826087,0.9691233699469004,0.6850930737603476,0.6580216866396625,0.23838827320549916,0.22702577591147502,0.6016260162601627,0.6706521739130435,0.7351351351351352,0.9714285714285714,0.591304347826087,0.591304347826087,2.6668553807291233,0.4885709237215852,0.32143051355438657
cleveland,switzerland,logistic_natural,0,"{""C"": 1.0}",5062,drop_routine,0,123.0,0.9349593495934959,0.7630434782608696,0.9746970498775149,0.42455757571269115,0.6546521551884437,0.13516322318446003,0.21564003869073609,0.7967479674796748,0.6586956521739131,0.8826291079812206,0.9591836734693877,0.8173913043478261,0.6260869565217392,2.215956810262809,0.6450464061197021,0.08161337807842751
cleveland,switzerland,logistic_natural,0,"{""C"": 1.0}",5062,drop_exercise,0,123.0,0.9349593495934959,0.6695652173913044,0.9639393539748605,1.3547215041408007,0.831648185672253,0.49168687732813166,0.2887869164809988,0.13008130081300814,0.5347826086956522,0.13008130081300814,1.0,0.06956521739130435,0.20869565217391303,3.451098466898193,0.5773329299393671,0.8882372644911887
cleveland,switzerland,logistic_natural,0,"{""C"": 1.0}",5062,drop_advanced,0,123.0,0.9349593495934959,0.7793478260869565,0.972911198315566,0.7213547336128419,0.6036043433660916,0.2551570455269133,0.20797721550911866,0.5772357723577236,0.7157608695652173,0.7111111111111111,0.9846153846153847,0.5565217391304348,0.6782608695652174,3.1474381591872977,0.9520612615945907,0.3257457336193439
cleveland,switzerland,logistic_natural,0,"{""C"": 1.0}",5062,mar_age_sex_30,0,123.0,0.9349593495934959,0.7663043478260869,0.9721813977556291,0.7937324676734431,0.6364878087721315,0.2835006799062844,0.2167571587873627,0.5691056910569106,0.7114130434782608,0.7039106145251397,0.984375,0.5478260869565217,0.7130434782608696,3.174117642814991,0.8482835658341048,0.3809851968994856
cleveland,switzerland,logistic_natural,0,"{""C"": 1.0}",5062,empirical_source,0,123.0,0.9349593495934959,0.7402173913043478,0.9636803208591483,0.7129202906517186,0.6603527340307616,0.24632065502369005,0.22175772528247223,0.5934959349593496,0.6663043478260869,0.7282608695652174,0.9710144927536232,0.5826086956521739,0.4,2.857569865651566,0.6772229796152721,0.3358542938465238
