outer_target,inner_validation,model,weighting,parameter_id,parameters_json,seed,fit_seed,fit_seconds,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,hungary,ebm,site_class_balanced,0,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 5000, ""outer_bags"": 8}",5062,164309101,3.3730909999867436,294.0,0.36054421768707484,0.8700822962665596,0.7191529729490309,0.48751434281275235,0.5003305482210264,0.15471889281979276,0.16042944511195883,0.8027210884353742,0.7901947009233239,0.7314814814814815,0.7181818181818181,0.7452830188679245,0.8018867924528302,-0.2810223635772678,1.8869744823082641,0.10219016355046139
cleveland,hungary,ebm,site_class_balanced,0,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 5000, ""outer_bags"": 8}",5063,2534874931,2.7992570999922464,294.0,0.36054421768707484,0.8743978321959053,0.7357974868952256,0.4619449999051628,0.48748622040526907,0.14581098880083224,0.15677108304037546,0.8061224489795918,0.7846246487354476,0.7246376811594203,0.7425742574257426,0.7075471698113207,0.8207547169811321,-0.07563138891905342,1.6451179087937806,0.09120828689261481
cleveland,hungary,ebm,site_class_balanced,0,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 5000, ""outer_bags"": 8}",5064,725070001,0.3702823000057833,294.0,0.36054421768707484,0.8722902448815737,0.7355803356215456,0.48784720238275336,0.5060878594877223,0.15484156836026833,0.16303735595203145,0.8095238095238095,0.7913990365315134,0.7333333333333333,0.7403846153846154,0.7264150943396226,0.8113207547169812,-0.16532726723513183,1.9971151346028315,0.09464778052277006
cleveland,switzerland,ebm,site_class_balanced,0,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 5000, ""outer_bags"": 8}",5062,1283194435,0.31911649998801295,123.0,0.9349593495934959,0.7684782608695652,0.9734977545276424,0.6782942596562455,0.5990508128818958,0.23328021812687305,0.19905615839971208,0.6341463414634146,0.746195652173913,0.7593582887700535,0.9861111111111112,0.6173913043478261,0.6608695652173913,2.8276591272557123,0.7653847222920893,0.33141395083066205
cleveland,switzerland,ebm,site_class_balanced,0,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 5000, ""outer_bags"": 8}",5063,3930488000,0.26658739999402314,123.0,0.9349593495934959,0.7673913043478261,0.9742628735196449,0.6757003804753186,0.5979791366900136,0.23312767886207075,0.19957493852137512,0.6422764227642277,0.7505434782608695,0.7659574468085106,0.9863013698630136,0.6260869565217392,0.6521739130434783,2.8217538620417195,0.7836811150249925,0.3277255893652204
cleveland,switzerland,ebm,site_class_balanced,0,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 5000, ""outer_bags"": 8}",5064,2435454718,0.43254650000017136,123.0,0.9349593495934959,0.7619565217391304,0.9706863911408863,0.5883823435802666,0.6033658177833235,0.19913716219342176,0.20171617244895865,0.7073170731707317,0.7271739130434782,0.8181818181818182,0.9759036144578314,0.7043478260869566,0.6260869565217392,2.6147604846734707,0.9150972346799068,0.22736218151906998
cleveland,va_long_beach,ebm,site_class_balanced,0,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 5000, ""outer_bags"": 8}",5062,4184264942,0.34169960000144783,200.0,0.745,0.6958810369785499,0.874786610308516,0.5277557727005225,0.6957898046417286,0.1761480290918956,0.2496043774522759,0.73,0.554415054612449,0.8343558282208589,0.768361581920904,0.912751677852349,0.40939597315436244,0.33351679495284675,0.9398978450824276,0.14227698131717348
cleveland,va_long_beach,ebm,site_class_balanced,0,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 5000, ""outer_bags"": 8}",5063,4046080733,0.44026440000743605,200.0,0.745,0.6944334780892223,0.8776932508168045,0.5208023273547459,0.7150609947122384,0.17444916315988213,0.25611011320915655,0.735,0.5706671930517173,0.8359133126934984,0.7758620689655172,0.9060402684563759,0.4429530201342282,0.31063006193355386,0.8181428292685862,0.13787102251409558
cleveland,va_long_beach,ebm,site_class_balanced,0,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 5000, ""outer_bags"": 8}",5064,2493449356,0.48495170001115184,200.0,0.745,0.6720621134359784,0.8562028891519401,0.5439559904710436,0.8084114835405394,0.18158727547351128,0.2871740295644534,0.72,0.5219107777339124,0.8313253012048193,0.7540983606557377,0.9261744966442953,0.4966442953020134,0.31060396543021535,0.6170223875861912,0.15510549166288579
cleveland,hungary,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v2""}",5062,3850963155,2.8148412000009557,294.0,0.36054421768707484,0.8788639100762746,0.7844748916247648,0.6533370192369733,0.5607049410969446,0.22893565167372723,0.1905501932601461,0.6700680272108843,0.737906463267764,0.6819672131147541,0.5226130653266332,0.9811320754716981,0.7358490566037735,-2.2148378711523447,1.7867601938461528,0.2682275068985984
cleveland,hungary,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v2""}",5063,2966780135,1.4001284999976633,294.0,0.36054421768707484,0.8829285427539141,0.7986571328072485,0.6322465701611082,0.547136794753587,0.22008942628321093,0.18477943142093772,0.6802721088435374,0.7438277800080288,0.6866666666666666,0.5309278350515464,0.9716981132075472,0.7641509433962265,-2.0878748862820258,1.8032236127157006,0.24865946271276756
cleveland,hungary,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v2""}",5064,2283594036,1.2711926999909338,294.0,0.36054421768707484,0.8804195102368526,0.7953345159492986,0.6282290961843581,0.544088263493902,0.21759299196811477,0.18284530472614574,0.6836734693877551,0.7444299478121237,0.6868686868686869,0.5340314136125655,0.9622641509433962,0.7547169811320755,-2.055675112094202,1.7432062615388455,0.2443096656342208
cleveland,switzerland,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v2""}",5062,732131093,1.2739602000074228,123.0,0.9349593495934959,0.7260869565217392,0.9668257540088945,0.5323741469383921,0.6340522803937502,0.17475317696446002,0.21221141462526394,0.7723577235772358,0.7038043478260869,0.8653846153846154,0.967741935483871,0.782608695652174,0.4956521739130435,2.518162379090131,0.704693787075658,0.15947937657458033
cleveland,switzerland,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v2""}",5063,767492516,1.0798314999992726,123.0,0.9349593495934959,0.7239130434782608,0.9661960474501453,0.5244222320152682,0.6376072880401148,0.1721867319485546,0.21306222319848334,0.7804878048780488,0.7081521739130434,0.8708133971291866,0.9680851063829787,0.7913043478260869,0.4956521739130435,2.493021941192586,0.7222118868301168,0.15406784624840034
cleveland,switzerland,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v2""}",5064,475379960,0.9868344999995315,123.0,0.9349593495934959,0.7293478260869566,0.9671030503633236,0.5515457038528665,0.6313933648254458,0.18282471990242574,0.21021531382873515,0.7560975609756098,0.6951086956521739,0.8543689320388349,0.967032967032967,0.7652173913043478,0.5043478260869565,2.5780161131284784,0.7275915918841226,0.1742772355239177
cleveland,va_long_beach,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v2""}",5062,380456683,1.0757085000077495,200.0,0.745,0.7310172391104092,0.8704996187975358,0.5314386677524735,0.6802353759238262,0.17432172665733078,0.22723136115463594,0.745,0.6547572048953809,0.8305647840531561,0.8223684210526315,0.8389261744966443,0.47651006711409394,0.6011955862349001,0.648089842916858,0.14948117937628716
