iter,train_logloss,valid_logloss,train_auc,valid_auc,train_acc,valid_acc
0,0.667782447902157,0.665927517248929,0.8597678916827853,0.8892874222859876,0.5529891304347826,0.5543478260869565
1,0.6477189800978357,0.645546314211442,0.8918097428735726,0.9044715447154471,0.5529891304347826,0.5543478260869565
2,0.6292448138996193,0.6264294114185567,0.8959508002061194,0.9115255858440937,0.7160326086956521,0.7663043478260869
3,0.6120804730328695,0.6087012182205663,0.9006669006669007,0.9154710664753707,0.7866847826086957,0.8097826086956521
4,0.5975679369325352,0.5931203087734211,0.9055286289328842,0.9214490674318508,0.7989130434782609,0.8097826086956521
5,0.5834707294546951,0.5776100219007299,0.9060028528113635,0.9255141080822573,0.8002717391304348,0.8152173913043479
6,0.5704441599044192,0.5660336561455814,0.9074479287245245,0.9221066475370636,0.813858695652174,0.8206521739130435
7,0.5580911054271702,0.5551736430980481,0.9084710574072277,0.9195361071257772,0.8097826086956521,0.8315217391304348
8,0.5465750355742376,0.5432470756688457,0.9092103985721007,0.9207317073170732,0.8165760869565217,0.8260869565217391
9,0.5369608154681784,0.5354401603095666,0.9110886238545813,0.9191774270683883,0.8192934782608696,0.8152173913043479
10,0.5268872895414485,0.5257806872249846,0.9106704106704107,0.9173840267814443,0.8206521739130435,0.8206521739130435
11,0.5176321363510964,0.5150689733903997,0.9114806987147412,0.9203730272596844,0.8288043478260869,0.8206521739130435
12,0.5088664825754904,0.5076090199370384,0.9121154865835717,0.9197752271640364,0.8233695652173914,0.8206521739130435
13,0.500557964305485,0.4982268997319319,0.9128959022576044,0.921090387374462,0.8274456521739131,0.8206521739130435
14,0.492850591952826,0.4915763608231841,0.9128174872855724,0.9200143472022956,0.8301630434782609,0.8206521739130435
15,0.4862597320769765,0.48470810052251584,0.9138107435979776,0.9216881874701099,0.8410326086956521,0.8206521739130435
16,0.47915417813775774,0.4776610566668097,0.9145202123925528,0.9218077474892395,0.8410326086956521,0.8206521739130435
17,0.4725391324208067,0.4724906792256232,0.9152856918814366,0.9206121472979436,0.845108695652174,0.8206521739130435
18,0.46644066170990744,0.4678281016611945,0.9167718423037572,0.9194165471066476,0.845108695652174,0.8206521739130435
19,0.4602350701983375,0.46074154183530697,0.917600800579524,0.9215686274509803,0.8478260869565217,0.8206521739130435
20,0.454075727230208,0.45462388531550835,0.9194043449362598,0.9229435676709709,0.8519021739130435,0.8152173913043479
21,0.44876751157939254,0.44849769182889454,0.920868091080857,0.9240196078431373,0.8491847826086957,0.8206521739130435
22,0.44318229373778256,0.4434070781865081,0.9215140810885492,0.9254543280726925,0.8464673913043479,0.8206521739130435
23,0.4384522022225096,0.43789144606379105,0.9219621666430177,0.9259325681492109,0.8478260869565217,0.8206521739130435
24,0.4326027691860992,0.4334847835551738,0.9237470407683174,0.9258130081300813,0.8519021739130435,0.8260869565217391
25,0.4274598653033126,0.4298381428582104,0.9250464888762762,0.9250956480153036,0.8586956521739131,0.8315217391304348
26,0.422625730137317,0.42559242247077333,0.9258119683651599,0.9258727881396461,0.8600543478260869,0.8315217391304348
27,0.4183873535003211,0.42126611393358854,0.9267305437518204,0.9267097082735534,0.8586956521739131,0.8315217391304348
28,0.4141521634051829,0.4182196608561646,0.9271972995377251,0.9264705882352942,0.8586956521739131,0.8315217391304348
29,0.4104023828336686,0.4142365137651935,0.9276453850921936,0.9267097082735534,0.8573369565217391,0.8315217391304348
30,0.4069975603072357,0.41102668141643917,0.9278918321471513,0.926829268292683,0.8559782608695652,0.8315217391304348
31,0.4030629156849649,0.40812295546440397,0.9287954713486628,0.926829268292683,0.8586956521739131,0.8315217391304348
32,0.3998131398571659,0.40515856677019196,0.9291240674219398,0.9267694882831181,0.8586956521739131,0.8369565217391304
33,0.3962273525111456,0.4031690053201266,0.9301546641972174,0.9259325681492109,0.8573369565217391,0.8260869565217391
34,0.3933798965440863,0.4007259296878644,0.9304757921779199,0.9255738880918221,0.8559782608695652,0.8315217391304348
35,0.38987624829521883,0.3982779716881727,0.9314279739811655,0.9261716881874701,0.8573369565217391,0.8260869565217391
36,0.38671085959693935,0.3963010295566529,0.9323092089049536,0.9259325681492109,0.8614130434782609,0.8260869565217391
37,0.3838542208377348,0.39484377656997455,0.9328357094314541,0.9254543280726925,0.8586956521739131,0.8315217391304348
38,0.3808719130898241,0.39242381623363837,0.9334032844671143,0.9261716881874701,0.8586956521739131,0.8260869565217391
39,0.3780476106411071,0.3905829767294385,0.9341127532616894,0.9253347680535629,0.8614130434782609,0.8206521739130435
40,0.3751677894900514,0.38893605195588715,0.9348558284728498,0.9250358680057389,0.8641304347826086,0.8206521739130435
41,0.3725487542698786,0.3873937554610802,0.9356175739154463,0.9239598278335724,0.8641304347826086,0.8206521739130435
42,0.3705120896574,0.3857948241730218,0.9357968081372336,0.9241989478718317,0.8654891304347826,0.8206521739130435
43,0.3683563889508103,0.3836887601603799,0.9361552765808085,0.9250358680057389,0.8641304347826086,0.8206521739130435
44,0.3654738376617003,0.3811616908622862,0.9368498091902348,0.9252152080344332,0.8627717391304348,0.8206521739130435
45,0.3632796501223251,0.3798396762138637,0.93705891578232,0.9250956480153036,0.8641304347826086,0.8315217391304348
46,0.3615681593550982,0.3789906910237563,0.9372829585595543,0.924976087996174,0.8627717391304348,0.8315217391304348
47,0.35881265754503394,0.3768172680602461,0.9381865977610658,0.9252152080344332,0.8668478260869565,0.8315217391304348
48,0.3557798186457253,0.3760707586239991,0.9393329499712478,0.9244978479196556,0.8709239130434783,0.8369565217391304
49,0.3539522145958935,0.37523570426823555,0.9397885036182908,0.9250956480153036,0.8709239130434783,0.8315217391304348
50,0.3514155549908036,0.3739911401452959,0.9404681000425681,0.9244978479196556,0.8722826086956521,0.8369565217391304
51,0.34929839883128005,0.3728700453006424,0.9411327602816965,0.9247369679579148,0.873641304347826,0.8315217391304348
52,0.3475350905578693,0.37219893879426397,0.9416779310396332,0.9243782879005261,0.873641304347826,0.8315217391304348
53,0.3455924603855821,0.3710608864958505,0.941894505724293,0.9235413677666189,0.8722826086956521,0.8260869565217391
54,0.34284194274761776,0.3698402152982533,0.9427533363703576,0.9230631276901005,0.873641304347826,0.8260869565217391
55,0.34132261740807857,0.3693089545495158,0.943089400536209,0.922584887613582,0.875,0.8260869565217391
56,0.34011874022326444,0.36894528568113644,0.9434366668409222,0.9221664275466284,0.875,0.8260869565217391
57,0.3386288020452754,0.3684231466466381,0.9438548800250928,0.9225251076040172,0.873641304347826,0.8206521739130435
58,0.33657663689360523,0.367999638643046,0.9444597955236254,0.9212099473935916,0.876358695652174,0.8206521739130435
59,0.3342255361100784,0.367814510964136,0.9454941263451901,0.9203730272596844,0.876358695652174,0.8206521739130435
60,0.3330526766432023,0.36701699967862217,0.9455762753635094,0.9201339072214252,0.876358695652174,0.8206521739130435
61,0.3313044169523202,0.3661996811152047,0.9457928500481692,0.9201339072214252,0.876358695652174,0.8206521739130435
62,0.32950841358306654,0.3647846135952464,0.9464873826575955,0.9203730272596844,0.875,0.8260869565217391
63,0.3272064390228961,0.3645217002807384,0.9473462133036601,0.919894787183166,0.876358695652174,0.8315217391304348
64,0.3251123235019251,0.36366930362481786,0.947861511691299,0.9206121472979436,0.8777173913043478,0.8260869565217391
65,0.32309002475956444,0.36338872784269777,0.9485411081155762,0.919894787183166,0.8804347826086957,0.8315217391304348
66,0.32218312813286604,0.36321202584495416,0.9488323637259808,0.9197752271640364,0.8790760869565217,0.8315217391304348
67,0.320423823503538,0.3628699959452136,0.949213236447279,0.9189383070301291,0.8790760869565217,0.8315217391304348
68,0.319030865017032,0.36339722981344946,0.9495343644279814,0.9184600669536107,0.8790760869565217,0.8315217391304348
69,0.31739396750587373,0.36347431560398824,0.9500870032784926,0.9179818268770923,0.8790760869565217,0.8315217391304348
70,0.31585336869614594,0.36376686583179735,0.9504678759997909,0.9169057867049258,0.8804347826086957,0.8315217391304348
71,0.31505796503396694,0.3637996122548009,0.9505201526478122,0.9164275466284074,0.8790760869565217,0.8369565217391304
72,0.31401746298024713,0.36353723861227005,0.9507927380267805,0.916547106647537,0.8790760869565217,0.8369565217391304
73,0.3130546452669917,0.3642236516199951,0.9510018446188659,0.9157101865136298,0.8790760869565217,0.8315217391304348
74,0.3117182971456638,0.3637002055273951,0.951270695951547,0.915949306551889,0.8777173913043478,0.842391304347826
75,0.3108227460576795,0.3644647166501303,0.9513304406921428,0.9153515064562411,0.8777173913043478,0.8369565217391304
76,0.3091391772430773,0.3636743368758799,0.9520473775792925,0.9154710664753707,0.8845108695652174,0.842391304347826
77,0.30736015951767487,0.3638543411940955,0.9525552078743568,0.9151123864179819,0.8817934782608696,0.8369565217391304
78,0.3057194290660962,0.36339945834671533,0.9530256977065488,0.9152319464371115,0.8872282608695652,0.8369565217391304
79,0.30502571857576233,0.3635739782317859,0.9531601233728894,0.9152319464371115,0.8872282608695652,0.8369565217391304
80,0.30416158125213033,0.36453671910737684,0.9533318895021022,0.9145145863223338,0.8858695652173914,0.8369565217391304
81,0.3029979651601012,0.36451652828308095,0.9536455493902303,0.9145145863223338,0.8845108695652174,0.8369565217391304
82,0.301584375080595,0.36456540015509986,0.9539293369080604,0.9142754662840746,0.8872282608695652,0.8315217391304348
83,0.30002312587697955,0.36375744402550586,0.9545118481288694,0.9143950263032042,0.8885869565217391,0.8315217391304348
84,0.2989726670120956,0.36403836826501706,0.9546910823506568,0.9148732663797227,0.8899456521739131,0.8260869565217391
85,0.29844650286667457,0.36422734383448685,0.9548255080169974,0.9143950263032042,0.8913043478260869,0.8260869565217391
86,0.29764098726835925,0.364552908622966,0.9550570188868062,0.9146341463414634,0.8885869565217391,0.8260869565217391
87,0.29608720663641,0.36494448293971443,0.9555648491818705,0.9143950263032042,0.8872282608695652,0.8260869565217391
88,0.29504164743539163,0.36505082538674094,0.9560577432917858,0.9143950263032042,0.8872282608695652,0.8369565217391304
89,0.2942820397101637,0.3647019251494786,0.9561996370507009,0.9145145863223338,0.8858695652173914,0.8315217391304348
90,0.2936465429699635,0.36529919380411685,0.9564386160130841,0.9143950263032042,0.8858695652173914,0.8315217391304348
91,0.29248182084165486,0.3654779412929978,0.9567149354383397,0.9139167862266858,0.8872282608695652,0.8315217391304348
92,0.29079532109110956,0.3663987889506972,0.9576820534267343,0.9131994261119082,0.8872282608695652,0.8369565217391304
93,0.2896373203962194,0.36731401387416307,0.958070394240607,0.9127211860353898,0.8926630434782609,0.8369565217391304
94,0.2891443648234917,0.3676484733657762,0.958197351814373,0.9118842659014825,0.8926630434782609,0.8369565217391304
95,0.2880792718652117,0.36863549681451224,0.958667841646565,0.9122429459588713,0.8926630434782609,0.8369565217391304
96,0.28743576257092684,0.3692781868460755,0.9588620120535014,0.9117647058823529,0.8926630434782609,0.8369565217391304
97,0.2867027334561937,0.3696803778577829,0.9592428847747997,0.9111669057867049,0.8926630434782609,0.8369565217391304
98,0.2862544173453217,0.3700730348603823,0.9593549061634168,0.9105691056910569,0.8926630434782609,0.8369565217391304
99,0.2858305866920479,0.3705847791415477,0.9595341403852042,0.910210425633668,0.8926630434782609,0.8369565217391304
100,0.28466865804902897,0.3695794224524634,0.9598104598104598,0.9110473457675753,0.8953804347826086,0.8315217391304348
101,0.28323128400163816,0.3695914544668734,0.9603855029386944,0.9108082257293161,0.8953804347826086,0.8369565217391304
102,0.28228850396941924,0.3709354410741856,0.9606095457159287,0.9106886657101865,0.8940217391304348,0.8369565217391304
103,0.2816774815592948,0.37187823729016106,0.9607439713822693,0.9103299856527977,0.8940217391304348,0.8369565217391304
104,0.28110203117724075,0.3726478901658352,0.9608335884931629,0.9096126255380201,0.8940217391304348,0.8315217391304348
105,0.27976247148166966,0.3719899829556192,0.9613936954362486,0.910210425633668,0.8980978260869565,0.8369565217391304
106,0.27815671621517174,0.3713863875799882,0.9621405046936962,0.9094930655188905,0.8967391304347826,0.8369565217391304
107,0.2768732069716432,0.3713879054204542,0.9626632711739095,0.9096126255380201,0.8980978260869565,0.842391304347826
108,0.27615805524938625,0.37113986419347456,0.962969462969463,0.9096126255380201,0.8967391304347826,0.842391304347826
109,0.27548271272918956,0.3722744009683346,0.9630142715249098,0.9092539454806313,0.8940217391304348,0.842391304347826
110,0.2744869740082482,0.37216674675004197,0.9633727399684846,0.9100908656145384,0.8940217391304348,0.8478260869565217
111,0.2729905371417334,0.37188462343189976,0.9639776554670172,0.9099713055954088,0.8967391304347826,0.8478260869565217
112,0.27183235471252265,0.371259766317606,0.9642614429848473,0.9098517455762793,0.8967391304347826,0.8478260869565217
113,0.27076075752889056,0.3710625946307754,0.9645676347804008,0.9097321855571497,0.8980978260869565,0.8478260869565217
114,0.26983748200577473,0.3712928008018,0.9648439542056564,0.9099713055954088,0.8980978260869565,0.8478260869565217
115,0.2690196328590772,0.3718618141930171,0.9652696354824014,0.9094930655188905,0.8980978260869565,0.8478260869565217
116,0.26842446004095555,0.3717470212901266,0.9655011463522102,0.9098517455762793,0.8980978260869565,0.8478260869565217
117,0.26803903431845016,0.3722706837069317,0.9656355720185508,0.9094930655188905,0.8980978260869565,0.8478260869565217
118,0.266600365217306,0.3726547256087748,0.9661135299433172,0.9091343854615017,0.8967391304347826,0.8478260869565217
119,0.2659611293978147,0.37287849745551643,0.9662106151467854,0.9088952654232425,0.8980978260869565,0.8478260869565217
120,0.26520058719024053,0.3730954995690099,0.9665018707571899,0.9087757054041129,0.8980978260869565,0.8478260869565217
121,0.26372522553349437,0.37250596784495926,0.9671291905334458,0.9087757054041129,0.8980978260869565,0.8478260869565217
122,0.2626263938737927,0.3734666920363545,0.967368169495829,0.9086561453849833,0.8994565217391304,0.8478260869565217
123,0.26219202546960585,0.3738183823861725,0.9674428504215739,0.9082974653275945,0.8994565217391304,0.8478260869565217
124,0.2610107490090476,0.3738033703353598,0.96785359551317,0.9085365853658537,0.8994565217391304,0.8478260869565217
125,0.2604120194953271,0.37416145976106424,0.9680178935498085,0.9084170253467241,0.9008152173913043,0.8478260869565217
126,0.25895735696139277,0.37431998012203177,0.9684958514745748,0.9080583452893353,0.9021739130434783,0.8532608695652174
127,0.25824361596580653,0.374193125783165,0.9685630643077452,0.9082974653275945,0.9021739130434783,0.8532608695652174
128,0.25749648030857075,0.3750756299038449,0.968891660381022,0.9075801052128168,0.9035326086956522,0.8478260869565217
129,0.2565559132378108,0.37486226720557,0.9690410222325115,0.9079387852702057,0.9035326086956522,0.8532608695652174
130,0.2556692032563698,0.3756773663041045,0.9692874692874693,0.9075801052128168,0.90625,0.8478260869565217
131,0.2546070695229868,0.37515828524155753,0.9696832781939165,0.9079387852702057,0.90625,0.842391304347826
132,0.2535104800233392,0.37509124092741647,0.9700865551929382,0.9084170253467241,0.907608695652174,0.842391304347826
133,0.25270073669447374,0.37509651189206705,0.9703778108033427,0.9082974653275945,0.907608695652174,0.842391304347826
134,0.2516965548907892,0.37564244497847615,0.9706391940434493,0.9075801052128168,0.90625,0.842391304347826
135,0.25062514756758486,0.375656052041704,0.9709603220241518,0.9073409851745576,0.907608695652174,0.842391304347826
136,0.2501018221950323,0.3760655031484034,0.9711096838756413,0.9068627450980392,0.907608695652174,0.842391304347826
137,0.24947482930164708,0.37622466674830163,0.9712291733568329,0.9068627450980392,0.90625,0.842391304347826
138,0.24823380526305625,0.37587894498991564,0.9715577694301099,0.9078192252510761,0.907608695652174,0.842391304347826
139,0.24757825798949665,0.37548514733604604,0.9717071312815994,0.9081779053084649,0.907608695652174,0.8478260869565217
140,0.24695819485844497,0.3759703687481726,0.9718714293182378,0.9081779053084649,0.907608695652174,0.8478260869565217
141,0.2466601206670027,0.3760665300330029,0.9720058549845784,0.9081779053084649,0.90625,0.8478260869565217
142,0.24566292459731276,0.376507228951638,0.972439004353898,0.9073409851745576,0.9089673913043478,0.8478260869565217
143,0.24458965169694133,0.376099017992602,0.9727003875940046,0.9075801052128168,0.9089673913043478,0.8478260869565217
144,0.24403213448267194,0.37677897628745227,0.9728721537232176,0.9067431850789096,0.9103260869565217,0.8478260869565217
145,0.24276010872875933,0.37775000239892365,0.973208217889069,0.9063845050215208,0.9103260869565217,0.842391304347826
146,0.24207711205728846,0.3785553231437518,0.9734621330366011,0.9057867049258728,0.9103260869565217,0.8369565217391304
147,0.24168549004960552,0.378633061764663,0.9735218777771969,0.9059062649450024,0.9103260869565217,0.8369565217391304
148,0.24130365310048743,0.37883149470141986,0.9736338991658141,0.9057867049258728,0.9116847826086957,0.8478260869565217
149,0.2407401269351075,0.37935423749290814,0.973805665295027,0.9053084648493543,0.9116847826086957,0.842391304347826
150,0.24017174490106322,0.3795078867950373,0.9739550271465165,0.9055475848876136,0.9144021739130435,0.842391304347826
151,0.23923268777216614,0.3799046661537257,0.9742910913123679,0.9051889048302247,0.9144021739130435,0.842391304347826
152,0.2388984121601165,0.37993674887056395,0.9743284317752403,0.9051889048302247,0.9144021739130435,0.842391304347826
153,0.2383431395197387,0.3806885655029843,0.9744927298118787,0.9045911047345767,0.9157608695652174,0.842391304347826
154,0.23803878878613924,0.381028409737832,0.9745674107376235,0.9042324246771879,0.9157608695652174,0.842391304347826
155,0.23741126420128436,0.38100090711500983,0.9748511982554535,0.9042324246771879,0.9144021739130435,0.8369565217391304
156,0.23674515729944243,0.3811742061669136,0.9749632196440707,0.9048302247728359,0.9198369565217391,0.8369565217391304
157,0.23598412764635765,0.38271215230137656,0.9750976453104113,0.9039933046389288,0.9198369565217391,0.842391304347826
158,0.2356927082333449,0.3831707212577858,0.97532915618022,0.90363462458154,0.9211956521739131,0.8369565217391304
159,0.23452495472433385,0.3831056791060589,0.9756204117906245,0.9038737446197992,0.9211956521739131,0.8315217391304348
160,0.23424580272080112,0.3835715737454968,0.9756502841609225,0.9037541846006696,0.9211956521739131,0.8315217391304348
161,0.23308575281946392,0.38408592274308123,0.9761282420856889,0.9037541846006696,0.9225543478260869,0.8315217391304348
162,0.23274698058435367,0.3845694093049587,0.9762925401223274,0.9032759445241512,0.9225543478260869,0.8315217391304348
163,0.23207203535003104,0.38533756015135745,0.9764717743441148,0.903036824485892,0.9239130434782609,0.8315217391304348
164,0.23156542422282253,0.38610600714369164,0.9765912638253064,0.9029172644667623,0.9252717391304348,0.8369565217391304
165,0.23064533602006615,0.3856672863647164,0.9768750513431365,0.9031563845050216,0.9252717391304348,0.8369565217391304
166,0.22996287768608348,0.38744778808707026,0.9770841579352217,0.9023194643711143,0.9252717391304348,0.8369565217391304
167,0.22943737375368617,0.38779170804122964,0.9772111155089879,0.9019607843137255,0.9252717391304348,0.8369565217391304
168,0.22906105324361584,0.38767531276535033,0.9772260516941368,0.9021999043519847,0.9252717391304348,0.8369565217391304
169,0.22850022092323996,0.38775385860268846,0.9775173073045413,0.9024390243902439,0.9252717391304348,0.8369565217391304
170,0.2279774573887643,0.3885090152661752,0.9776442648783075,0.9024390243902439,0.9279891304347826,0.8369565217391304
171,0.2269850960363303,0.39092232804898824,0.9778459033778183,0.9011238641798183,0.9293478260869565,0.842391304347826
172,0.22667062240258246,0.3911892572030961,0.9778608395629672,0.9008847441415591,0.9307065217391304,0.8478260869565217
