iter,train_logloss,valid_logloss,train_auc,valid_auc,train_acc,valid_acc
0,0.6675856093187695,0.6661288174598113,0.8510825000186703,0.853897656623625,0.5529891304347826,0.5543478260869565
1,0.6479209835600593,0.6453668944861578,0.8877433664667708,0.9085365853658537,0.5529891304347826,0.5543478260869565
2,0.6294464434942474,0.6254270148018132,0.9013091566283056,0.9231229076996652,0.7024456521739131,0.7228260869565217
3,0.6133017413237173,0.6088847098467143,0.9105210488189212,0.9301171688187471,0.7744565217391304,0.7880434782608696
4,0.598422739452318,0.5945463326314221,0.9104762402634743,0.9290411286465806,0.7948369565217391,0.7880434782608696
5,0.5841719803359845,0.5789299281718938,0.9096622181728564,0.931910569105691,0.8084239130434783,0.8206521739130435
6,0.5707658947971852,0.5644727959904982,0.910894453447645,0.9326279292204687,0.8247282608695652,0.8369565217391304
7,0.5580771093297264,0.5514567649882772,0.9168203849054913,0.9343615494978479,0.8328804347826086,0.842391304347826
8,0.5466236649081111,0.5400571065104526,0.9174775770520451,0.9346006695361071,0.845108695652174,0.842391304347826
9,0.5359628728550413,0.5291747656529364,0.9175634601166516,0.9340626494500239,0.8491847826086957,0.8478260869565217
10,0.5262753460961191,0.519155512523392,0.9196545260375047,0.936154949784792,0.8478260869565217,0.8478260869565217
11,0.5156756273025404,0.50839036654519,0.9202258351194521,0.9357962697274032,0.8559782608695652,0.8532608695652174
12,0.5073158881910469,0.4992952377575895,0.9197329410095367,0.9353778096604496,0.8654891304347826,0.8369565217391304
13,0.49799350070078735,0.4903187502337539,0.9218912197635601,0.935856049736968,0.8641304347826086,0.8478260869565217
14,0.4902198071713033,0.48414413890113,0.9223505074568904,0.9331061692969871,0.8559782608695652,0.8260869565217391
15,0.48361810912256653,0.4783790211962617,0.9226977737616036,0.9323888091822095,0.8559782608695652,0.8315217391304348
16,0.4762759581208229,0.4716385099227014,0.9230413060200294,0.9331061692969871,0.8614130434782609,0.842391304347826
17,0.4693430602631491,0.46621768484297005,0.9246245416458182,0.9328670492587279,0.8614130434782609,0.8369565217391304
18,0.46281891142058634,0.4608508495856886,0.9247627013584461,0.9314323290291726,0.8573369565217391,0.8315217391304348
19,0.4564203817559325,0.45451640410591726,0.9266035861780543,0.9327474892395983,0.8586956521739131,0.842391304347826
20,0.45016045724649145,0.44954919304860674,0.9268575013255864,0.9315518890483022,0.8600543478260869,0.8369565217391304
21,0.4447320989211616,0.44336891344384005,0.9270591398250972,0.9325083692013391,0.8586956521739131,0.842391304347826
22,0.4392169926760961,0.4386812738426354,0.9286759818674712,0.9314323290291726,0.8641304347826086,0.842391304347826
23,0.43400158012366813,0.43398010771235696,0.9290045779407482,0.9316714490674318,0.8627717391304348,0.842391304347826
24,0.4294775227773125,0.4296571647181459,0.9298634085868128,0.9322692491630798,0.8600543478260869,0.842391304347826
25,0.42497413016288826,0.42630485339981056,0.9314279739811655,0.9331061692969871,0.8627717391304348,0.842391304347826
26,0.42093015850886056,0.42188411286991573,0.9319507404613787,0.9327474892395983,0.8654891304347826,0.8369565217391304
27,0.4161932234368894,0.4185180046150218,0.9324660388490176,0.9325681492109039,0.8654891304347826,0.8478260869565217
28,0.4115146562133146,0.4147437064220076,0.9335153058557314,0.9323290291726447,0.8654891304347826,0.8478260869565217
29,0.4075491588522235,0.4106417714577654,0.9341127532616894,0.9332855093256814,0.8668478260869565,0.842391304347826
30,0.40336430295492,0.4069954872779224,0.9352441692867225,0.9340028694404591,0.8695652173913043,0.842391304347826
