outer_target,experiment,variant,epochs,config_sha256,policy,mask_replicate,diagnostic_mode,calibration_intercept,calibration_slope,estimated_target_prevalence_mlls,estimated_target_prevalence_soft_bbse,diagnostic_best_prior,diagnostic_best_statistic,diagnostic_p_value,diagnostic_accepted_interval_low,diagnostic_accepted_interval_high,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max,adaptation_allowed
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mar_age_sex_30,2.0,composite_multiview_v3,-0.1634714378106981,0.6923042302509411,0.2819365085311688,0.4234359577002365,0.45,0.2053434266538085,0.005,,,True,True,0.2343234323432343,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mar_age_sex_30,3.0,composite_multiview_v3,-0.1459782320264588,0.7214600274734329,0.2944908513535653,0.4101437596883646,0.45,0.2033395683028277,0.005,,,True,True,0.1551155115511551,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mar_age_sex_30,4.0,composite_multiview_v3,-0.1003621328700274,0.7305439281897288,0.3481510322269929,0.4470205750975688,0.45,0.1626359297853621,0.005,,,True,True,0.1914191419141914,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mar_age_sex_30,5.0,composite_multiview_v3,-0.1306209865599507,0.6581628587453945,0.2705012706023967,0.4194625999464202,0.5,0.1946757091095252,0.005,,,True,True,0.1584158415841584,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mar_age_sex_30,6.0,composite_multiview_v3,-0.1137376684460494,0.7481635652092012,0.3355764422422048,0.4183713347256616,0.45,0.1553987603526958,0.005,,,True,True,0.2145214521452145,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mar_age_sex_30,7.0,composite_multiview_v3,-0.1283024109722855,0.7249298613139799,0.2982188997470115,0.4253124982951312,0.45,0.233400813945581,0.005,,,True,True,0.1452145214521452,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mar_age_sex_30,8.0,composite_multiview_v3,-0.136840813477525,0.7626356350032625,0.3217781450022799,0.4296677746108875,0.45,0.1775142707716743,0.005,,,True,True,0.1881188118811881,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mar_age_sex_30,9.0,composite_multiview_v3,-0.148686046040713,0.7765104865543564,0.2979165682556218,0.4106360148993962,0.45,0.1853159348015034,0.005,,,True,True,0.1782178217821782,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_10,0.0,composite_multiview_v3,-0.1802437451665331,0.6351337882041891,0.2711452583365525,0.4356043089393234,0.5,0.2689833284478963,0.005,,,True,True,0.1386138613861386,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_10,1.0,composite_multiview_v3,-0.1481545453010227,0.7141990048904925,0.325755370915913,0.4409951509343175,0.5,0.2823057647581363,0.005,,,True,True,0.3531353135313531,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_10,2.0,composite_multiview_v3,-0.122301017731135,0.6161406005194527,0.3301577698265293,0.4703167728949531,0.6,0.2937766741477062,0.005,,,True,True,0.3597359735973597,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_10,3.0,composite_multiview_v3,-0.1320713489881295,0.672776220272807,0.3341565575903946,0.4605589781656239,0.5,0.2873395687723452,0.005,,,True,True,0.1089108910891089,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_10,4.0,composite_multiview_v3,-0.1519560076702626,0.6719629190305725,0.299807206392314,0.4459198225340975,0.5,0.3052761867629395,0.005,,,True,True,0.0759075907590759,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_10,5.0,composite_multiview_v3,-0.1244630455340057,0.7891404501497394,0.345310478152305,0.428878174530586,0.5,0.2934646644096725,0.005,,,True,True,0.3102310231023102,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_10,6.0,composite_multiview_v3,-0.1271545323820014,0.6704812793318201,0.3323463160091805,0.4484829773019782,0.5,0.2601905823619042,0.005,,,True,True,0.3762376237623762,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_10,7.0,composite_multiview_v3,-0.1417717565966742,0.6612588185975478,0.3251802789410006,0.4632968781935147,0.55,0.2220090605307642,0.005,,,True,True,0.3762376237623762,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_10,8.0,composite_multiview_v3,-0.1672676936243712,0.6715221030019551,0.2894013423237604,0.4276850680642665,0.45,0.2358739224165222,0.005,,,True,True,0.0825082508250825,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_10,9.0,composite_multiview_v3,-0.1534449509338536,0.6788149498728028,0.3058080044788875,0.4447167136600551,0.45,0.2522343002192626,0.005,,,True,True,0.3663366336633663,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_30,0.0,composite_multiview_v3,-0.0331634159791855,0.611412205393833,0.2950572265689223,0.4391191325737646,0.55,0.1661954866045353,0.005,,,True,True,0.1584158415841584,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_30,1.0,composite_multiview_v3,-0.0555609306087365,0.6551184980973203,0.3643233540604236,0.4763987170879351,0.5,0.1778254996120011,0.005,,,True,True,0.1089108910891089,0.2307692307692307,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_30,2.0,composite_multiview_v3,-0.0328685223357269,0.6190043603112946,0.3899399920249539,0.5177054153181477,0.6,0.1738487819689394,0.005,,,True,True,0.1155115511551155,0.2307692307692307,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_30,3.0,composite_multiview_v3,0.0251100919220704,0.6626781791774727,0.4490966039937283,0.534446609408502,0.6,0.1277032896210974,0.005,,,True,True,0.165016501650165,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_30,4.0,composite_multiview_v3,-0.0586345058192269,0.6469850017335782,0.3587144320269448,0.5131767496021645,0.6,0.1761831614760546,0.005,,,True,True,0.1287128712871287,0.2307692307692307,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_30,5.0,composite_multiview_v3,-0.0495225514389174,0.6307630819024916,0.3802223533894538,0.5035744660005813,0.55,0.1417713042944246,0.005,,,True,True,0.1122112211221122,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_30,6.0,composite_multiview_v3,-0.0126693675344482,0.6383487993933038,0.4197160840139508,0.507288727593231,0.55,0.1849155681459173,0.005,,,True,True,0.099009900990099,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_30,7.0,composite_multiview_v3,-0.0490502626569046,0.6755533279893068,0.4135142829056521,0.5184959332812118,0.6,0.1783552620564775,0.005,,,True,True,0.1056105610561056,0.2307692307692307,0.2307692307692307,False
