outer_target,experiment,variant,epochs,config_sha256,view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,policy,mask_replicate,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,evidence,0.35,0.0004878225846948,0.0023292954261532,0.535,True,0.05,128.0,1.0025883920060383,empirical_source,2.0,composite_multiview_v3,False,False,False,0.9504950495049505,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,core,0.4,0.0191836869158966,0.0030859353198676,0.005,False,0.05,128.0,2.2128682345625577,empirical_source,2.0,composite_multiview_v3,False,False,False,0.9504950495049505,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mask,0.85,0.0529814842715203,0.0039784063292132,0.005,False,0.05,128.0,3.7762570195413048,empirical_source,2.0,composite_multiview_v3,False,False,False,0.9504950495049505,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,composite,0.35,0.0265931669840739,0.0026264129877685,0.005,False,0.05,384.0,,empirical_source,2.0,composite_multiview_v3,False,False,False,0.9504950495049505,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,evidence,0.3,0.0005644488424244,0.0015368774626733,0.265,True,0.05,128.0,1.0096395473341635,empirical_source,3.0,composite_multiview_v3,False,True,True,0.943894389438944,0.0769230769230769,0.1538461538461538
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,core,0.45,0.0192425345696193,0.0037091288075417,0.005,False,0.05,128.0,2.2128682345625577,empirical_source,3.0,composite_multiview_v3,False,True,True,0.943894389438944,0.0769230769230769,0.1538461538461538
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mask,0.7,0.0478575185706211,0.0042703154603443,0.005,False,0.05,128.0,3.4669716447709877,empirical_source,3.0,composite_multiview_v3,False,True,True,0.943894389438944,0.0769230769230769,0.1538461538461538
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,composite,0.4,0.0247871896300795,0.0027752493586217,0.005,False,0.05,384.0,,empirical_source,3.0,composite_multiview_v3,False,True,True,0.943894389438944,0.0769230769230769,0.1538461538461538
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,evidence,0.3,0.000719876291675,0.0019564775266126,0.365,True,0.05,128.0,1.0043080248607303,empirical_source,4.0,composite_multiview_v3,False,False,False,0.9735973597359736,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,core,0.35,0.0174873283758037,0.0037469610139645,0.005,False,0.05,128.0,2.2128682345625577,empirical_source,4.0,composite_multiview_v3,False,False,False,0.9735973597359736,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mask,0.9,0.0356888160977569,0.0042003613958135,0.005,False,0.05,128.0,3.823572203051489,empirical_source,4.0,composite_multiview_v3,False,False,False,0.9735973597359736,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,composite,0.35,0.0209068643885045,0.0025774800096249,0.005,False,0.05,384.0,,empirical_source,4.0,composite_multiview_v3,False,False,False,0.9735973597359736,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,evidence,0.3,0.0011808103449151,0.0023584797267047,0.185,True,0.05,128.0,1.0044701498780078,empirical_source,5.0,composite_multiview_v3,False,False,False,0.9603960396039604,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,core,0.4,0.0195534104806431,0.0038847999727139,0.005,False,0.05,128.0,2.2128682345625577,empirical_source,5.0,composite_multiview_v3,False,False,False,0.9603960396039604,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mask,0.9,0.0535096581237641,0.0049844220279892,0.005,False,0.05,128.0,3.7920344265995807,empirical_source,5.0,composite_multiview_v3,False,False,False,0.9603960396039604,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,composite,0.35,0.0291119300806681,0.0026492656662968,0.005,False,0.05,384.0,,empirical_source,5.0,composite_multiview_v3,False,False,False,0.9603960396039604,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,evidence,0.3,0.0005250448525325,0.0017165082267985,0.345,True,0.05,128.0,1.0103243628643637,empirical_source,6.0,composite_multiview_v3,False,False,False,0.9801980198019802,0.0,0.0769230769230769
